Code,Description,Default_Translation (en-en),Target_Translation (de-de),Has_Translation
I18N_BEST_PRATICES_MESSAGE,I18NCode for Best Pratices Message on page,It is crucial for us to make clear what good practices are necessary for the proper operation of Reporting2You and in this sense we would like you to pay attention to the 10 points shown below:,"Für uns ist es von entscheidender Bedeutung, klarzustellen, welche guten Praktiken für den ordnungsgemäßen Betrieb von Reporting2You erforderlich sind. In diesem Sinne möchten wir Sie bitten, die folgenden 10 Punkte zu beachten:",Yes
I18N_BEST_PRATICES_NOTE,I18NCode for Best Pratices Note,NOTE: Reporting2You is not responsible for any report based on faulty or incomplete information resulting from noncompliance with any of the points shown above.,"HINWEIS: Reporting2You ist nicht verantwortlich für Berichte, die auf fehlerhaften oder unvollständigen Informationen basieren, die auf die Nichteinhaltung eines der oben genannten Punkte zurückzuführen sind.",Yes
I18N_BNI_DAYS,I18NCode for BNI Days,BNI Days,BNI-Tage,Yes
I18N_BNI_GAME_INFORMATION,I18NCode for Bni Game Information,BNI Game Information,BNI-Spielinformationen,Yes
I18N_BNI_GAME_NAME,I18NCode for BNI Game Name,BNI Game Name,BNI-Spielname,Yes
I18N_BNI_GAMES,I18NCode for Bni Games Menu,BNI Games,BNI-Spiele,Yes
I18N_BNI_KPI_VIEW,I18NCode for Bni KPI View,KPI Vision in the Game,KPI-Vision im Spiel,Yes
I18N_BNI_TEAM_NAME,I18NCode for Bni Team Name,Team Name,Teamname,Yes
I18N_BNI_TEAM_VIEW,I18NCode for Bni Team View,Bni Teams Vision,Die Vision von Bni Teams,Yes
I18N_BROUGHT_NO_VISITOR_ON_LAST,I18NCode for Brought No Visitor On Last,Brought No Visitor On Last,Hat zuletzt keinen Besucher mitgebracht,Yes
I18N_BUSINESS_PROFILE,I18NCode for Business Profile,Business profile,Unternehmensprofil,Yes
I18N_CANCEL,I18NCode for Cancel,Cancel,Stornieren,Yes
I18N_CANCEL_CANCEL_BUTTON,I18NCode for Cancel Cancel Button,"No, return","Nein, zurück",Yes
I18N_CANCEL_CONFIRM_BUTTON,I18NCode for Cancel Confirm Button,"Yes, cancel it!","Ja, kündigen Sie es!",Yes
I18N_CANCEL_MODAL,I18NCode for Cancel Modal,Are you sure you would like to cancel?,"Sind Sie sicher, dass Sie stornieren möchten?",Yes
I18N_CANCEL_WARNING_TEXT,I18NCode for Cancel Warning Text,Your form has not been cancelled!,"Sind Sie sicher, dass Sie stornieren möchten?",Yes
I18N_CC,I18NCode for #CC,#CC,#CC,Yes
I18N_CC_NONEWMEMBERS_15_DAYS,I18NCode for Core Chapters with no new members in the last 15 days,Core Chapters with no new members in the last 15 days,Kernkapitel ohne neue Mitglieder in den letzten 15 Tagen,Yes
I18N_CELLPHONE,I18NCode for Cellphone,Cellphone,Kernkapitel ohne neue Mitglieder in den letzten 15 Tagen,Yes
I18N_CEU,I18NCode for CEU,CEU,CEU,Yes
I18N_CEU_IS_REQUIRED,I18NCode for CEU is required,Ceu is required,Ceu ist erforderlich,Yes
I18N_CEU_THE_REGION,I18NCode for CEU The Region,CEU,CEU,Yes
I18N_CHAIR_VALUE,I18NCode for chair value,Chair Value,Stuhlwert,Yes
I18N_CHANGE_IMAGE,I18NCode for Change Image,Change image,Bild ändern,Yes
I18N_CHANGE_SEARCH,I18NCode for Change Search Message,Change your search,Bild ändern,Yes
I18N_CHANGES_MAKE_MESSAGE,I18NCode for Changes Make Message in Modal Confirmation,Changes successfully saved!,Änderungen erfolgreich gespeichert!,Yes
I18N_CHAPTER_AVG,Chapter AVG,Chapter AVG,Kapitel AVG,Yes
I18N_CHAPTER_DETAIL_PAGE,I18NCode for Chapter detail page,Chapter Detail Page,Kapiteldetailseite,Yes
I18N_CHAPTER_GOAL,I18NCode for Chapter Goal,Chapter Goal,Kapitelziel,Yes
I18N_CHAPTER_GOAL_EDIT,I18NCode for Chapter Goal Edit,Edit Chapter Goal ,Kapitelziel bearbeiten,Yes
I18N_CHAPTER_GOAL_MENU,I18NCode for Chapter Goal Menu,Chapter,Kapitel,Yes
I18N_CHAPTER_HEALTH_FORMATION,I18NCode for Chapter Health & Formation,Chapter Health & Formation,Kapitel Gesundheit & Ausbildung,Yes
I18N_CHAPTER_IS_REQUIRED,I18NCode for Chapter is required,Chapter is required,Kapitel Gesundheit & Ausbildung,Yes
I18N_CHAPTER_LAUNCH_MONTHS,I18NCode for Chapter Launch Months on tooltip in Kpi Correlation page,Time After Launch,Zeit nach dem Start,Yes
I18N_CHAPTER_SINGULAR,I18NCode for Chapter in singular,Chapter,Kapitel,Yes
I18N_CHAPTERS,I18nCode for chapters,Chapters,Kapitel,Yes
I18N_CHAT_GROUP_NAME,I18NCode for Chat group name,Chat group name,Name der Chat-Gruppe,Yes
I18N_CHAT_PRIVATELY_WITH_A_CONTACT,I18NCode for Chat privately with a contact,Chat privately with a contact,Chatten Sie privat mit einem Kontakt,Yes
I18N_CHATS,i18NCode for Chats,chats,Chats,Yes
I18N_CHOOSE_THE_TYPE_OF_CHAT,I18NCode for Choose the type of chat,Choose the type of chat,Wählen Sie die Art des Chats,Yes
I18N_CITY,I18NCode for City,City,Stadt,Yes
I18N_CLASSIFICATION,I18N for Member Activity Classification (Category),Category,Kategorie,Yes
I18N_CLEAR_SELECTION,"I18NCode for Clear selection
",Clear selection,Klare Auswahl,Yes
I18N_CLICK_BELOW_TO_SELECT,I18NCode for Click below to select,Click below to select,Klare Auswahl,Yes
I18N_CLICK_TO_SEND_AN_EMAIL,I18NCode for Click to send an email,Click to send an email,"Klicken Sie hier, um eine E-Mail zu senden",Yes
I18N_CLOSE,I18Ncode button close,Close,Schließen,Yes
I18N_CLOSE_ADVANCED_SEARCH,"I18NCode for Close advanced search
",Close advanced search,Erweiterte Suche schließen,Yes
I18N_CLOSE_CONFIRM_BUTTON,I18NCode for Close Confirm Button,"Yes, close it!","Ja, schließen Sie es!",Yes
I18N_CLOSE_MODAL,I18NCode for Close Modal Text,Are you sure you would like to close?,"Sind Sie sicher, dass Sie schließen möchten?",Yes
I18N_CLOSED_CHAPTERS,I18NCode for Closed Chapters,Closed,Geschlossen,Yes
I18N_CM,I18NCode for #CM,#CM,#CM,Yes
I18N_CODE,,Code,Code,Yes
I18N_COMPANY,I18NCode for Company,Company,Unternehmen,Yes
I18N_COMPANY_INFORMATION,I18NCode for Company Information,Company information,Firmeninformationen,Yes
I18N_COMPANY_NAME,I18NCode for Company Name,Company Name,Name der Firma,Yes
I18N_COMPLETE_THE_ACCOUNT_SETUP_PROCESS_TO_GET_STARTED,I18NCode for Complete the account setup process to get started.,Complete the account setup process to get started,"Schließen Sie den Kontoeinrichtungsprozess ab, um loszulegen",Yes
I18N_COMPLETED,I18NCode to Completed,Completed,Vollendet,Yes
I18N_CONFIG,I18NCode for Config,Config,Konfig,Yes
I18N_CONFIGURATION_AND_GAME_PERIOD,I18NCode for Configuration and Game Period,Configuration and Game Period,Konfiguration und Spielzeitraum,Yes
I18N_CONFIRM_PASSWORD,i18NCode for Confirm Password,Confirm Password,Passwort bestätigen,Yes
I18N_CONSISTENT_GROWTH,I18NCode for Consistent Growth,Consistent Growth,Kontinuierliches Wachstum,Yes
I18N_CONTACT,I18NCode for Contact,Contact,Kontakt,Yes
I18N_CONTACT_DETAILS_OF_OUR_DATA_PROTECTION_OFFICER,I18NCode for Contact details of our Data Protection Officer,Contact details of our Data Protection Officer,Kontaktdaten unseres Datenschutzbeauftragten,Yes
I18N_CONTACT_INFORMATION,I18NCode for Contact Information,Contact Information,Kontaktinformationen,Yes
I18N_CONTACT_SPHERE,I18NCode for Contact Sphere,Contact Sphere,Kontaktkugel,Yes
I18N_CONTACT_SPHERES,I18NCode for Contact Spheres,Contact Spheres,Kontaktkugeln,Yes
I18N_CONTACT_SPHERES_OPTION_NO_DATA,I18NCode Contact Spheres Option no data,"To activate Contact Spheres Option please send and email to info@reporting2you.com asking to activate it for your region.  By default only DCs and EDs will have access to it, to change it you need to go to Regional Administration\Regional Settings\Reports and set it after it has been activated.","Um die Contact Spheres-Option zu aktivieren, senden Sie bitte eine E-Mail an info@reporting2you.com mit der Bitte, sie für Ihre Region zu aktivieren.",Yes
I18N_CONTACT_US,I18NCode for ContactUs,Contact Us,Kontaktieren Sie uns,Yes
I18N_CONTACTS,I18NCode for Contacts,Contacts,Kontakte,Yes
I18N_CONTENT_MANANGMENT,I18NCodes for Content managment,Content Manangment,Content-Management,Yes
I18N_CONTEXT,I18NCode for Context,Context,Kontext,Yes
I18N_CONTEXT_CODE,,Context,Kontext,Yes
I18N_CONTEXT_DESCRIPTION,,Context description,Kontextbeschreibung,Yes
I18N_CONTEXT_NAME,,Context Name,Kontextname,Yes
I18N_CONTEXTS,I18NCodes for Contexts,Contexts,Kontexte,Yes
I18N_CONTRACT_DATE,I18NCode for Contract Date,Contract Date,Vertragsdatum,Yes
I18N_CONV,I18NCode for Conv,Conv.,Konv.,Yes
I18N_CONVERSION,I18NCode for Conversion,Conversion,Konvertierung,Yes
I18N_CONVERSION_6_MONTHS,I18NCode Conversion 6 months,Conversion (6 month),Konvertierung (6 Monate),Yes
I18N_CONVERSION_IS_REQUIRED,I18NCode for Conversion is required,Conversion is required,Eine Konvertierung ist erforderlich,Yes
I18N_COOKIE_MANAGEMENT,I18NCode for Cookie management,Cookie management,Cookie-Verwaltung,Yes
I18N_COOKIES_POLICY,I18NCode for Cookies Policy,Cookies Policy,Cookie-Richtlinie,Yes
I18N_COORDINATING_TEAM,I18N for Coordinating Team,Coordinating Team,Koordinierendes Team,Yes
I18N_COPY,I18NCode for Copy,Copy,Kopie,Yes
I18N_CORE,I18NCode for Core,Core,Kern,Yes
I18N_CORE_CHAPTER,I18NCode for Core Chapter Caption,Core Chapters,Kernkapitel,Yes
I18N_CORE_CHAPTER_NO_NEW_MEMBER,I18NCode for Core Chapter No New Member,Core Chapter No New Member,Kernkapitel Kein neues Mitglied,Yes
I18N_CORE_CHAPTERS_IS_REQUIRED,I18NCode for Core chapters is required,Core chapters is required,Kernkapitel Kein neues Mitglied,Yes
I18N_CORE_CHAPTERS_THE_REGION,I18NCode for Core Chapters The Region,Core Chapters,Kernkapitel Kein neues Mitglied,Yes
I18N_CORE_GROUP,I18NCode for Core Group,Core,Kern,Yes
I18N_CORE_GROUP_MEMBERS,I18NCode for Core Group Members,Core Members,Kernmitglieder,Yes
I18N_CORE_MEMBER,I18NCode for Core Member Caption,Core Members,Kernmitglieder,Yes
I18N_CORE_MEMBERS,I18NCode for Code Members Kpi Graph,Core Members,Kernmitglieder,Yes
I18N_CORE_MEMBERS_IS_REQUIRED,I18NCode for Core members is required,Core Members is required,Kernmitglieder sind erforderlich,Yes
I18N_CORE_MEMBERS_THE_REGION,I18NCode for Core Members The Region,Core Members,Kernmitglieder,Yes
I18N_COUNTRY,I18NCode for Country,Country,Land,Yes
I18N_COUNTRY_AVG,I18NCode for Country AVG,Country Avg,Landdurchschn,Yes
I18N_COUNTRY_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Country cannot exceed 50 characters,Country cannot exceed 50 characteres,Das Land darf nicht länger als 50 Zeichen sein,Yes
I18N_COUNTRY_DEVELOPMENT,I18nCode for Country Development,Country Development,Länderentwicklung,Yes
I18N_COUNTRY_EVOLUTION,I18NCode for Country Evolution Page,Country Evolution,Länderentwicklung,Yes
I18N_COUNTRY_GOAL_EDIT,I18NCode for Country GOAL EDIT,Edit Country Goal,Länderziel bearbeiten,Yes
I18N_COUNTRY_GOAL_MENU,I18NCode for Country Goal Menu,Country,Land,Yes
I18N_COUNTRY_IS_REQUIRED,I18NCode for Country is required,Country is required,Land ist erforderlich,Yes
I18N_COUNTRY_LAST_MONTH,I18NCode for Country Last Month,Country Last Month,Land letzten Monat,Yes
I18N_COUNTRY_TABLE,I18NCode for Country Label,Country,Land,Yes
I18N_CREATE,I18NCode for Create,Create,Erstellen,Yes
I18N_CREATE_A_GROUP_FOR_YOUR_CONTACTS,I18NCode for Create a group for your contacts,Create a group chat for your contacts,Erstellen Sie einen Gruppenchat für Ihre Kontakte,Yes
I18N_CREATE_AN_ACCOUNT,I18NCode for Create an Account,Create an account,Ein Konto erstellen,Yes
I18N_CREATE_CHAT,i18NCode for Create Chat,Create chat,Chat erstellen,Yes
I18N_CREATE_GROUP,I18NCode for Create group,Create group,Gruppe erstellen,Yes
I18N_CREATE_NEW_CHAT,I18NCode for Create New Chat,Create New Chat,Neuen Chat erstellen,Yes
I18N_CREATE_POLL,I18NCode for Create Poll,Create Poll,Umfrage erstellen,Yes
I18N_CREATE_USER_ERROR_MESSAGE,I18NCode for Create User Error Message,"System could not find the profile with this email, please contact our support.",Das System konnte das Profil mit dieser E-Mail nicht finden. Bitte wenden Sie sich an unseren Support.,Yes
I18N_CREATED_AT,,Created at,Das System konnte das Profil mit dieser E-Mail nicht finden. Bitte wenden Sie sich an unseren Support.,Yes
I18N_CURRENCY,I18Ncode for currency ,$,$,Yes
I18N_CURRENT,I18NCode for Current,Current,Aktuell,Yes
I18N_CURRENT_COUNT,"I18NCode for Current Count
",Current Count,Aktueller Zählerstand,Yes
I18N_CURRENT_MONTH,I18NCodefor Current Month,Current Month,Aktueller Monat,Yes
I18N_CURRENT_MOTH,I18NCode to represent current moth,Current Month,Aktueller Monat,Yes
I18N_CURRENT_REPORTS,I18NCode for Current Reports,Current reports,Aktuelle Berichte,Yes
I18N_CURRENT_STATUS,I18NCode for Current Status,Current status,Aktueller Stand,Yes
I18N_DA,I18NCode for Area Director,Area Director,Aktueller Stand,Yes
I18N_DA_SHORTNAME_,I18NCode for DA ShortName	,AD,Aktueller Stand,Yes
I18N_DASHBOARDS,I18NCode for dashboards,Dashboard,Armaturenbrett,Yes
I18N_DATA_ANALYSIS,,Data Analysis,Datenanalyse,Yes
I18N_DATE,I18NCode for Date,Date,Datum,Yes
I18N_DAYS,I18NCode for Days,Days,Tage,Yes
I18N_DAYS_TO_END,I18NCode for Days to end,Days till End,Tage bis zum Ende,Yes
I18N_DAYS_TO_START,I18NCode for Days to start,Days to start,Tage zum Start,Yes
I18N_DAYS_TOTAL,I18NCode for Days Total,Total Days,Gesamtzahl der Tage,Yes
I18N_DC,I18NCode for Consultant Director,Consultant Director,Beratender Direktor,Yes
I18N_DC_PROFILE,I18NCode for DC,DC,Gleichstrom,Yes
I18N_DC_SHORTNAME,I18NCode for DC ShortName,CD,CD,Yes
I18N_DC_TOTAL,I18NCode for DC Total,DC,Gleichstrom,Yes
I18N_DECEMBER,I18NCode for December,December,Dezember,Yes
I18N_DEFINE_GOALS__TRACK_AND_IMPROVE_PRODUCTIVITY_AND_MONITORING_INDICATORS_FOR_ALL_,"I18NCode for Define goals, track and improve Productivity and Monitoring indicators for all.","Define goals, track and improve Productivity and Monitoring indicators for all","Definieren Sie Ziele, verfolgen und verbessern Sie Produktivitäts- und Überwachungsindikatoren für alle",Yes
I18N_DEFINED,I18NCode for Defined,defined.,definiert.,Yes
I18N_DEFINED_GOALS,I18NCode for Defined Goals,,,Yes
I18N_DELETE_CANCEL_BUTTON,I18NCode for Delete Cancel Button,"No, cancel","Nein, abbrechen",Yes
I18N_DELETE_CHAT,I18NCode for Delete Chat,Delete Chat,Chat löschen,Yes
I18N_DELETE_CHAT_MESSAGE_MODAL,I18NCode for Delete Chat Message Modal,Are you sure you want to delete this chat?,"Sind Sie sicher, dass Sie diesen Chat löschen möchten?",Yes
I18N_DELETE_CONFIRM_BUTTON,I18NCode for Delete Confirm Button,"Yes, delete it!","Ja, löschen Sie es!",Yes
I18N_DELETE_MESSAGE_MODAL,I18NCode for Delete Message Modal,Are you sure you want to delete this message?,"Sind Sie sicher, dass Sie diese Nachricht löschen möchten?",Yes
I18N_DELETE_MESSAGE_SUCCESS,I18NCode for Delete Message Success,Message delete with success,Nachricht erfolgreich gelöscht,Yes
I18N_DELETE_MODAL,I18NCode for Delete Modal Text,Are you sure you want to delete this item?,"Sind Sie sicher, dass Sie dieses Element löschen möchten?",Yes
I18N_DELETE_SUCCESS_MODAL,I18NCode for Delete Success Modal Text,Deleted with Success,Mit Erfolg gelöscht,Yes
I18N_DELETE_WARNING_TEXT,I18NCode for Delete Warning Text,The item was not deleted!,Der Artikel wurde nicht gelöscht!,Yes
I18N_DEMOTE_TO_MEMBER,"I18NCode for Demote to member
",Demote to member,Zum Mitglied herabstufen,Yes
I18N_DESCRIPTION,,Description,Beschreibung,Yes
I18N_DETAILS,I18NCode for details,Details,Details,Yes
I18N_DEVELOPMENT,I18NCode for Franchise Development,Development,Entwicklung,Yes
I18N_DEX,I18NCode for DEX,DEX,DEX,Yes
I18N_DIF,I18NCode for Dif,Dif.,Diff.,Yes
I18N_DIFUSION,I18NCode for Difusion,Difusion,Verbreitung,Yes
I18N_DIRECTOR,I18NCode fo Director,Director,Director,Yes
I18N_DIRECTOR_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Director cannot exceed 50 characters,Director cannot exceed 50 characters,Der Regisseur darf nicht länger als 50 Zeichen sein,Yes
I18N_DIRECTOR_CONSULTANTS,I18NCode for Director Consultants,Director Consultants,Direktor Berater,Yes
I18N_DIRECTOR_DO_NOT_PAY,I18NCode for Director Don´t Pay label,Allow the Director not to pay,"Erlauben Sie dem Direktor, nicht zu zahlen",Yes
I18N_DIRECTOR_DO_NOT_PAY_MEMBERSHIP,I18NCode for Director Don't Pay Membership,Director Don't Pay Membership,Direktor zahlt keine Mitgliedschaft,Yes
I18N_DIRECTOR_GOAL,I18NCode for Director Goal ,Edit Director Goal,Bearbeiten Sie das Director-Ziel,Yes
I18N_DIRECTOR_GOAL_MENU,I18NCode for Diretor Goals Menu,Director,Director,Yes
I18N_DIRECTOR_IS_REQUIRED,I18NCode for Director is required,Director is required,Regisseur ist erforderlich,Yes
I18N_DIRECTOR_PROFILE_PAGE,I18NCode for Director Profile Page,,,Yes
I18N_DIRECTOR_TYPE,I18NCode for Director Type,Director Type,Regisseurtyp,Yes
I18N_DIRECTOR_TYPE_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Director Type cannot exceed 50 characters,Director type cannot exceed 50 characters,Der Regisseurtyp darf 50 Zeichen nicht überschreiten,Yes
I18N_DIRECTOR_TYPE_IS_REQUIRED,I18NCode for Director Type is Required,Director type is required,Der Typ „Direktor“ ist erforderlich,Yes
I18N_DIRECTORS,I18NCode for Directors,Directors,Directors,Yes
I18N_DISCARD,I18NCode for the discard button,Cancel,Stornieren,Yes
I18N_DO_MEMBERS_HAVE_ACCESS_TO_R2Y,I18NCode for Do members have access to R2Y,Do members have access to R2Y,Haben Mitglieder Zugriff auf R2Y?,Yes
I18N_DOLAR_MEMBER,I18NCode for $ /Member,/Member,/Mitglied,Yes
I18N_DOLAR12M,I18NCode for $ /12m,/12m,/12m,Yes
I18N_DONT_EXIST_MEMBERS,I18NCode for Dont Exist Members,Don't exist members,Es sind keine Mitglieder vorhanden,Yes
I18N_DOWN,I18NCode for Down,Down,Runter,Yes
I18N_DOWNLOAD_COMPLETED,"I18NCode for Download completed
",Download completed,Download abgeschlossen,Yes
I18N_DOWNLOAD_DOCUMENT_HERE,I18NCode for Download Document here,Download the document here,Laden Sie das Dokument hier herunter,Yes
I18N_DOWNLOAD_FAILED,I18NCode for Download failed,Download failed,Der Download ist fehlgeschlagen,Yes
I18N_DOWNLOADED_SUCCESSFULLY,"I18NCode for Downloaded Successfully

",Downloaded successfully,Erfolgreich heruntergeladen,Yes
I18N_DROP_TYPE,I18NCode for Drop Type,Drop Type,Drop-Typ,Yes
I18N_DROPPED,I18NCode for Dropped,Dropped,Gefallen,Yes
I18N_DROPPED_MEMBERS,I18NCode for Dropped Members,Dropped Members,Ausscheidende Mitglieder,Yes
I18N_DROPPED_MEMBERS_ACTIVE_CHAPTERS,I18NCode for Dropped Members Active Chapters,Dropped Members / Active Chapters,Weggefallene Mitglieder / Aktive Kapitel,Yes
I18N_DROPS,I18NCode for Drops,Drops,Tropfen,Yes
I18N_DROPS_IS_REQUIRED,I18NCode for Drops is required,Drops is required,Tropfen sind erforderlich,Yes
I18N_DROPS_THE_REGION,I18NCode for Drops The Region,Drops,Tropfen,Yes
I18N_DROPSS,I18NCode for Drops,Drops,Tropfen,Yes
I18N_DUPLICATE_CONFIRM_BUTTON,I18NCode for Duplicate Confirm Button,"Yes, duplicate!",Tropfen,Yes
I18N_DUPLICATE_VALUE,I18NCode for Duplicate Value,Duplicate Value,Doppelter Wert,Yes
I18N_DURATION_OF_COOKIES,"I18NCode for Duration of cookies
",Duration of cookies,Dauer von Cookies,Yes
I18N_ED,I18NCode for ED,ED,ED,Yes
I18N_EDIT,I18NCode for Edit ,Edit,Bearbeiten,Yes
I18N_EDIT_CHAPTER_NAME,I18NCode for Edit Chapter Name,Edit Chapter Name,Bearbeiten Sie den Kapitelnamen,Yes
I18N_EDIT_MEMBER_NAME,I18NCode for Edit Member Name,Edit Member Name,Bearbeiten Sie den Mitgliedsnamen,Yes
I18N_EDIT_REGION_NAME,I18NCode for Edit Region Name,Edit Region Name,Regionsnamen bearbeiten,Yes
I18N_EDIT_TEAM,I18NCode for Edit Team,Editing Team,Redaktionsteam,Yes
I18N_EDIT_VALUES,I18NCode for Edit Values,Edit Value,Wert bearbeiten,Yes
I18N_EL,I18NCode for EL,LT,LT,Yes
I18N_ELECTRONIC_CONTACT,"I18NCode for Electronic contact
",Electronic Contact,Elektronischer Kontakt,Yes
I18N_EMAIL,I18NCode for Email label,Email,E-Mail,Yes
I18N_EMAIL_IS_REQUIRED,I18NCode for Email Is Required,Email is a required field,E-Mail ist ein Pflichtfeld,Yes
I18N_EMAIL_SENT_SUCCESSFULLY,I18NCode for Email Sent Successfully,Email sent successfully!,E-Mail erfolgreich gesendet!,Yes
I18N_EMPTY_TEAM,I18NCode for Empty Team,Empty Team,Leeres Team,Yes
I18N_EMPTY_TRANSLATIONS,No translations available for the selected item.,No translations available for the selected item.,Für das ausgewählte Element sind keine Übersetzungen verfügbar.,Yes
I18N_ENABLE_CALCULATIONS,I18NCode for Enable Calculations,Enable Calculations,Berechnungen aktivieren,Yes
I18N_END_DATE,I18NCode for End Date,End Date,Berechnungen aktivieren,Yes
I18N_END_DATE_IS_REQUIRED,I18NCode for  End Date is required,End date is required,Enddatum ist erforderlich,Yes
I18N_ENTER_YOUR_EMAIL_TO_RESET_YOUR_PASSWORD_,"I18NCode for Enter your email to reset your password.
",Enter your email to reset your password,"Geben Sie Ihre E-Mail-Adresse ein, um Ihr Passwort zurückzusetzen",Yes
I18N_ENTREPRISE,I18NCode for hidden row in Upcoming Renewels Page,Company,Unternehmen,Yes
I18N_EQUAL,I18NCode for Equal,Equal,Gleich,Yes
I18N_ERROR,I18NCode for Error,Error,Fehler,Yes
I18N_ERROR_PROCESSING_REQUEST,I18NCode for Error Processing Request,Erros processing your request,Fehler bei der Bearbeitung Ihrer Anfrage,Yes
I18N_EVENT_NAME,18NCode for Event Name,Event Name,Ereignisname,Yes
I18N_EVOLUCAO,I18NCode for Evolution,Evolution,Evolution,Yes
I18N_EVOLUTION_REPORT,I18NCode for Evolution Report,Evolution Report,Evolutionsbericht,Yes
I18N_EVOLUTIONS,I18NCode for Evolution page title,Evolutions,Entwicklungen,Yes
I18N_EXCLUDED,I18NCode for Excluded,Excluded,Entwicklungen,Yes
I18N_EXECUTIVE_DIRECTOR,I18NCode for Executive Director,Executive Director,Ausgeschlossen,Yes
I18N_EXISTING_REPORTS,I18NCode for Existing Reports,Existing Reports,Vorhandene Berichte,Yes
I18N_EXIT,I18NCode for Exit,Exit,Ausfahrt,Yes
I18N_EXPIRED,I18NCode for Expired Tasks,Expired,Abgelaufen,Yes
I18N_EXPORT,I18NCode for Export,Export,Export,Yes
I18N_EXPORT_COPY,I18NCode user for copy  on export dropdown,Copy to clipboard,In die Zwischenablage kopieren,Yes
I18N_EXPORT_CSV,I18NCode user for export as csv on dropdown,Export as CSV,Als CSV exportieren,Yes
I18N_EXPORT_EVOLUTION_PDF,I18NCode for Export Evolution Pdf Button,Export Evolution PDF,Evolution PDF exportieren,Yes
I18N_EXPORT_EXCEL,I18NCode user for export as excel on dropdown,Export as Excel,Evolution PDF exportieren,Yes
I18N_EXPORT_GENERAL_REPORT,I18NCode for Export General Report in Notable Networkers Page,Export General Report,Gesamtbericht exportieren,Yes
I18N_EXPORT_PDF,I18NCode user for export as pdf on dropdown,Export as PDF,Gesamtbericht exportieren,Yes
I18N_EXPORT_REPORT,I18NCode for label on export dropdown,Export Report,Bericht exportieren,Yes
I18N_EXPORT_TRANSLATIONS,I18NCode for Export Translations,Export Translations,Übersetzungen exportieren,Yes
I18N_EXTERNAL,I18NCode for External,External,Extern,Yes
I18N_FAILED_TO_CREATE_ACCOUNT,I18NCode for Failed To Create Account,Failed to create account,Konto konnte nicht erstellt werden,Yes
I18N_FAILED_TO_RESET_PASSWORD,I18NCode for Failed to reset Password,Failed to reset Password,Das Zurücksetzen des Passworts ist fehlgeschlagen,Yes
I18N_FAILED_TO_SEND_EMAIL,I18NCode for Failed To Send Email,Failed to send email,E-Mail konnte nicht gesendet werden,Yes
I18N_FALLING_MEMBERS,I18NCode for Falling members,Falling,Fallen,Yes
I18N_FAQ_1,I18NCode for Faq 1,"Chapter President shows as ""N/A"", why?","Kapitelpräsident wird als „N/A“ angezeigt, warum?",Yes
I18N_FAQ_1_ANSWER,I18NCode for Faq 1 Answer,"When Chapter Leadership name shows as ""N/A"" it means that his/her email was changed. Need to update his/her email on reporting2you","Wenn der Name der Kapitelleitung als „N/A“ angezeigt wird, bedeutet dies, dass seine/ihre E-Mail-Adresse geändert wurde.",Yes
I18N_FAQ_2,I18NCode for Faq 2,Where can I find Chapter Reports?,Wo finde ich Kapitelberichte?,Yes
I18N_FAQ_2_ANSWER,I18NCode for Faq 2 Answer,"Go to Reports Menu click the plus sign (""+"") to open Chapters tree and then click on the chapters name, you will get the list of reports from current month to that chapter.<br/> If you want to get a previous report you should click the ""History"" item in the Chapters list and you will be able to get reports from the past 12 month.","Gehen Sie zum Menü „Berichte“, klicken Sie auf das Pluszeichen („+“), um die Kapitelstruktur zu öffnen, und klicken Sie dann auf den Kapitelnamen. Sie erhalten die Liste der Berichte vom aktuellen Monat bis zu diesem Kapitel.<br/> Wenn Sie einen früheren Bericht erhalten möchten, klicken Sie auf das Element „Verlauf“ in der Kapitelliste und Sie können Berichte der letzten 12 Monate abrufen.",Yes
I18N_FAQS,I18NCode for Faqs,Faqs,FAQs,Yes
I18N_FAST__EFFICIENT_AND_PRODUCTIVE,"I18NCode for Fast, Efficient and Productive
","Fast, Efficient and Productive","Schnell, effizient und produktiv",Yes
I18N_FEBRUARY,I18NCode for February,February,Februar,Yes
I18N_FEE,I18NCode for Fee,Fee,Gebühr,Yes
I18N_FILES,I18NCode for Files,Files,Dateien,Yes
I18N_FILL,I18NCode for Fill,Fill,Füllen,Yes
I18N_FILL_CHAPTERS,I18NCode for Fill Chapters,Fill Chapters,Kapitel füllen,Yes
I18N_FILTER,I18NCode for Filter,Filter,Filter,Yes
I18N_FILTER_OPTIONS,I18NCode for Filter Options,Filter options,Filteroptionen,Yes
I18N_FIRST,I18NCode for First,First,Erste,Yes
I18N_FIRST_MEMBERS_IN_TRAFFIC_LIGHTS,I18NCode for First Members in Traffic Lights,First Members in Traffic Lights,Erste Mitglieder in Ampeln,Yes
I18N_FIRST_NAME,I18NCode for First Name label,First Name,Vorname,Yes
I18N_FIRST_YEAR_RETAIN,I18NCode for First Year Retain,First Year,Erstes Jahr,Yes
I18N_FIRST_YEAR_RETENTION,I18NCode for First Year Retention,First Year Retention,Aufbewahrung im ersten Jahr,Yes
I18N_FLAG,I18NCode for the flag,Flag,Flagge,Yes
I18N_FOLLOW_UP,I18NCode for Follow Up Page in Tasks Menu,Follow Up,Nachverfolgen,Yes
