Code,Description,Default_Translation (en-en),Target_Translation (pl-pl),Has_Translation
I18N_BEST_PRATICES_CONTENT,I18NCode for BEST PRATICES Content,"<ul class=""m-4"">
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Entry and Exit of Members during the previous month can only take place by 16:00 of the second working day of each month, as the information which will form the basis for the monthly calculation shall be downloaded at the end of that day;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Monthly PALMS reports should be entered by the second working day of each month as Member Traffic Lights will be calculated at the end of that day;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">PALMS reports should be entered during the 48h following the meeting and cannot be more than 4 weeks late, as they will not be considered by Reporting2You;</span>
        </li>
        <li class=""text-primary m-6"">
            <span class=""text-gray-600 fs-6"">
                Members should not be allowed to change their names and if this happens, a notification should be sent to 
                <a href=""mailto:info@reporting2you.com"" class=""text-primary text-decoration-none hover:text-primary""
                   title=""Enviar email para info@reporting2you.com"">
                    info@reporting2you.com
                </a>
                ;
            </span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Groups should not be allowed to change their names and if this happens, a notification should be sent to  <a
                    href=""mailto:info@reporting2you.com"" class=""text-primary text-decoration-none hover:text-primary""
                    title=""Enviar email para info@reporting2you.com"">
                info@reporting2you.com
            </a>;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">All Groups should have a Director Consultant and Area Director on BNI Connect</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">In order to use the Core Group report as soon as the director enters the PALMS report on BNI Connect, an e-mail should be sent to  <a
                    href=""mailto:info@reporting2you.com"" class=""text-primary text-decoration-none hover:text-primary""
                    title=""Enviar email para info@reporting2you.com"">
                info@reporting2you.com
            </a>;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Regions using Group goals will have a more detailed weekly report for Leadership Teams, as it will contain the evolution of the 8 Key Success Factors over the last two months and the current month;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Monthly Reports shall be calculated at the end of the second working day of each month;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Leadership Teams should be up to date by 16:00 of the second working day of April and October. If any changes occur, a notification should be sent to  <a
                    href=""mailto:info@reporting2you.com"" class=""text-primary text-decoration-none hover:text-primary""
                    title=""Enviar email para info@reporting2you.com"">
                info@reporting2you.com
            </a>;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">If you want to stop receiving email with the reports, you need to uncheck the “Send emails” at “Regional Administration->Regional Settings->The Region” menu at reporting2you.com;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">You should use “Regional Administration->Regional Settings->Reports” menu to set who receives each report;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">You must write the word “substitution” in the drop notes, if the drop reason is really for substitute the member.</span>
        </li>
    </ul>","<ul class=""m-4"">
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Entry and Exit of Members during the previous month can only take place by 16:00 of the second working day of each month, as the information which will form the basis for the monthly calculation shall be downloaded at the end of that day;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Monthly PALMS reports should be entered by the second working day of each month as Member Traffic Lights will be calculated at the end of that day;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">PALMS reports should be entered during the 48h following the meeting and cannot be more than 4 weeks late, as they will not be considered by Reporting2You;</span>
        </li>
        <li class=""text-primary m-6"">
            <span class=""text-gray-600 fs-6"">
                Members should not be allowed to change their names and if this happens, a notification should be sent to 
                <a href=""mailto:info@reporting2you.com"" class=""text-primary text-decoration-none hover:text-primary""
                   title=""Enviar email para info@reporting2you.com"">
                    info@reporting2you.com
                </a>
                ;
            </span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Groups should not be allowed to change their names and if this happens, a notification should be sent to  <a
                    href=""mailto:info@reporting2you.com"" class=""text-primary text-decoration-none hover:text-primary""
                    title=""Enviar email para info@reporting2you.com"">
                info@reporting2you.com
            </a>;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">All Groups should have a Director Consultant and Area Director on BNI Connect</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">In order to use the Core Group report as soon as the director enters the PALMS report on BNI Connect, an e-mail should be sent to  <a
                    href=""mailto:info@reporting2you.com"" class=""text-primary text-decoration-none hover:text-primary""
                    title=""Enviar email para info@reporting2you.com"">
                info@reporting2you.com
            </a>;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Regions using Group goals will have a more detailed weekly report for Leadership Teams, as it will contain the evolution of the 8 Key Success Factors over the last two months and the current month;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Monthly Reports shall be calculated at the end of the second working day of each month;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Leadership Teams should be up to date by 16:00 of the second working day of April and October. If any changes occur, a notification should be sent to  <a
                    href=""mailto:info@reporting2you.com"" class=""text-primary text-decoration-none hover:text-primary""
                    title=""Enviar email para info@reporting2you.com"">
                info@reporting2you.com
            </a>;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">If you want to stop receiving email with the reports, you need to uncheck the “Send emails” at “Regional Administration->Regional Settings->The Region” menu at reporting2you.com;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">You should use “Regional Administration->Regional Settings->Reports” menu to set who receives each report;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">You must write the word “substitution” in the drop notes, if the drop reason is really for substitute the member.</span>
        </li>
    </ul>",Yes
I18N_BEST_PRATICES_MESSAGE,I18NCode for Best Pratices Message on page,It is crucial for us to make clear what good practices are necessary for the proper operation of Reporting2You and in this sense we would like you to pay attention to the 10 points shown below:,It is crucial for us to make clear what good practices are necessary for the proper operation of Reporting2You and in this sense we would like you to pay attention to the 10 points shown below:,Yes
I18N_BEST_PRATICES_NOTE,I18NCode for Best Pratices Note,NOTE: Reporting2You is not responsible for any report based on faulty or incomplete information resulting from noncompliance with any of the points shown above.,NOTE: Reporting2You is not responsible for any report based on faulty or incomplete information resulting from noncompliance with any of the points shown above.,Yes
I18N_BNI_DAYS,I18NCode for BNI Days,BNI Days,BNI Days,Yes
I18N_BNI_GAME_INFORMATION,I18NCode for Bni Game Information,BNI Game Information,BNI Game Information,Yes
I18N_BNI_GAME_NAME,I18NCode for BNI Game Name,BNI Game Name,BNI Game Name,Yes
I18N_BNI_GAMES,I18NCode for Bni Games Menu,BNI Games,BNI Games,Yes
I18N_BNI_KPI_VIEW,I18NCode for Bni KPI View,KPI Vision in the Game,KPI Vision in the Game,Yes
I18N_BNI_TEAM_NAME,I18NCode for Bni Team Name,Team Name,Team Name,Yes
I18N_BNI_TEAM_VIEW,I18NCode for Bni Team View,Bni Teams Vision,Bni Teams Vision,Yes
I18N_BROUGHT_NO_VISITOR_ON_LAST,I18NCode for Brought No Visitor On Last,Brought No Visitor On Last,Brought No Visitor On Last,Yes
I18N_BUSINESS_PROFILE,I18NCode for Business Profile,Business profile,Business profile,Yes
I18N_CANCEL,I18NCode for Cancel,Cancel,Cancel,Yes
I18N_CANCEL_CANCEL_BUTTON,I18NCode for Cancel Cancel Button,"No, return","No, return",Yes
I18N_CANCEL_CONFIRM_BUTTON,I18NCode for Cancel Confirm Button,"Yes, cancel it!","Yes, cancel it!",Yes
I18N_CANCEL_MODAL,I18NCode for Cancel Modal,Are you sure you would like to cancel?,Are you sure you would like to cancel?,Yes
I18N_CANCEL_WARNING_TEXT,I18NCode for Cancel Warning Text,Your form has not been cancelled!,Your form has not been cancelled!,Yes
I18N_CC,I18NCode for #CC,#CC,#CC,Yes
I18N_CC_NONEWMEMBERS_15_DAYS,I18NCode for Core Chapters with no new members in the last 15 days,Core Chapters with no new members in the last 15 days,Core Chapters with no new members in the last 15 days,Yes
I18N_CELLPHONE,I18NCode for Cellphone,Cellphone,Cellphone,Yes
I18N_CEU,I18NCode for CEU,CEU,CEU,Yes
I18N_CEU_IS_REQUIRED,I18NCode for CEU is required,Ceu is required,Ceu is required,Yes
I18N_CEU_THE_REGION,I18NCode for CEU The Region,CEU,CEU,Yes
I18N_CHAIR_VALUE,I18NCode for chair value,Chair Value,Chair Value,Yes
I18N_CHANGE_IMAGE,I18NCode for Change Image,Change image,Change image,Yes
I18N_CHANGE_SEARCH,I18NCode for Change Search Message,Change your search,Change your search,Yes
I18N_CHANGES_MAKE_MESSAGE,I18NCode for Changes Make Message in Modal Confirmation,Changes successfully saved!,Changes successfully saved!,Yes
I18N_CHAPTER_AVG,Chapter AVG,Chapter AVG,Chapter AVG,Yes
I18N_CHAPTER_DETAIL_PAGE,I18NCode for Chapter detail page,Chapter Detail Page,Chapter Detail Page,Yes
I18N_CHAPTER_GOAL,I18NCode for Chapter Goal,Chapter Goal,Chapter Goal,Yes
I18N_CHAPTER_GOAL_EDIT,I18NCode for Chapter Goal Edit,Edit Chapter Goal ,Edit Chapter Goal ,Yes
I18N_CHAPTER_GOAL_MENU,I18NCode for Chapter Goal Menu,Chapter,Chapter,Yes
I18N_CHAPTER_HEALTH_FORMATION,I18NCode for Chapter Health & Formation,Chapter Health & Formation,Chapter Health & Formation,Yes
I18N_CHAPTER_IS_REQUIRED,I18NCode for Chapter is required,Chapter is required,Chapter is required,Yes
I18N_CHAPTER_LAUNCH_MONTHS,I18NCode for Chapter Launch Months on tooltip in Kpi Correlation page,Time After Launch,Time After Launch,Yes
I18N_CHAPTER_SINGULAR,I18NCode for Chapter in singular,Chapter,Chapter,Yes
I18N_CHAPTERS,I18nCode for chapters,Chapters,Chapters,Yes
I18N_CHAT_GROUP_NAME,I18NCode for Chat group name,Chat group name,Chat group name,Yes
I18N_CHAT_PRIVATELY_WITH_A_CONTACT,I18NCode for Chat privately with a contact,Chat privately with a contact,Chat privately with a contact,Yes
I18N_CHATS,i18NCode for Chats,chats,chats,Yes
I18N_CHOOSE_THE_TYPE_OF_CHAT,I18NCode for Choose the type of chat,Choose the type of chat,Choose the type of chat,Yes
I18N_CITY,I18NCode for City,City,City,Yes
I18N_CLASSIFICATION,I18N for Member Activity Classification (Category),Category,Category,Yes
I18N_CLEAR_SELECTION,"I18NCode for Clear selection
",Clear selection,Clear selection,Yes
I18N_CLICK_BELOW_TO_SELECT,I18NCode for Click below to select,Click below to select,Click below to select,Yes
I18N_CLICK_TO_SEND_AN_EMAIL,I18NCode for Click to send an email,Click to send an email,Click to send an email,Yes
I18N_CLOSE,I18Ncode button close,Close,Close,Yes
I18N_CLOSE_ADVANCED_SEARCH,"I18NCode for Close advanced search
",Close advanced search,Close advanced search,Yes
I18N_CLOSE_CONFIRM_BUTTON,I18NCode for Close Confirm Button,"Yes, close it!","Yes, close it!",Yes
I18N_CLOSE_MODAL,I18NCode for Close Modal Text,Are you sure you would like to close?,Are you sure you would like to close?,Yes
I18N_CLOSED_CHAPTERS,I18NCode for Closed Chapters,Closed,Closed,Yes
I18N_CM,I18NCode for #CM,#CM,#CM,Yes
I18N_CODE,,Code,Code,Yes
I18N_COMPANY,I18NCode for Company,Company,Company,Yes
I18N_COMPANY_INFORMATION,I18NCode for Company Information,Company information,Company information,Yes
I18N_COMPANY_NAME,I18NCode for Company Name,Company Name,Company Name,Yes
I18N_COMPLETE_THE_ACCOUNT_SETUP_PROCESS_TO_GET_STARTED,I18NCode for Complete the account setup process to get started.,Complete the account setup process to get started,Complete the account setup process to get started,Yes
I18N_COMPLETED,I18NCode to Completed,Completed,Completed,Yes
I18N_CONFIG,I18NCode for Config,Config,Config,Yes
I18N_CONFIGURATION_AND_GAME_PERIOD,I18NCode for Configuration and Game Period,Configuration and Game Period,Configuration and Game Period,Yes
I18N_CONFIRM_PASSWORD,i18NCode for Confirm Password,Confirm Password,Confirm Password,Yes
I18N_CONSISTENT_GROWTH,I18NCode for Consistent Growth,Consistent Growth,Consistent Growth,Yes
I18N_CONTACT,I18NCode for Contact,Contact,Contact,Yes
I18N_CONTACT_DETAILS_OF_OUR_DATA_PROTECTION_OFFICER,I18NCode for Contact details of our Data Protection Officer,Contact details of our Data Protection Officer,Contact details of our Data Protection Officer,Yes
I18N_CONTACT_INFORMATION,I18NCode for Contact Information,Contact Information,Contact Information,Yes
I18N_CONTACT_SPHERE,I18NCode for Contact Sphere,Contact Sphere,Contact Sphere,Yes
I18N_CONTACT_SPHERES,I18NCode for Contact Spheres,Contact Spheres,Contact Spheres,Yes
I18N_CONTACT_SPHERES_OPTION_NO_DATA,I18NCode Contact Spheres Option no data,"To activate Contact Spheres Option please send and email to info@reporting2you.com asking to activate it for your region.  By default only DCs and EDs will have access to it, to change it you need to go to Regional Administration\Regional Settings\Reports and set it after it has been activated.","To activate Contact Spheres Option please send and email to info@reporting2you.com asking to activate it for your region.  By default only DCs and EDs will have access to it, to change it you need to go to Regional Administration\Regional Settings\Reports and set it after it has been activated.",Yes
I18N_CONTACT_US,I18NCode for ContactUs,Contact Us,Contact Us,Yes
I18N_CONTACTS,I18NCode for Contacts,Contacts,Contacts,Yes
I18N_CONTENT_MANANGMENT,I18NCodes for Content managment,Content Manangment,Content Manangment,Yes
I18N_CONTEXT,I18NCode for Context,Context,Context,Yes
I18N_CONTEXT_CODE,,Context,Context,Yes
I18N_CONTEXT_DESCRIPTION,,Context description,Context description,Yes
I18N_CONTEXT_NAME,,Context Name,Context Name,Yes
I18N_CONTEXTS,I18NCodes for Contexts,Contexts,Contexts,Yes
I18N_CONTRACT_DATE,I18NCode for Contract Date,Contract Date,Contract Date,Yes
I18N_CONV,I18NCode for Conv,Conv.,Conv.,Yes
I18N_CONVERSION,I18NCode for Conversion,Conversion,Conversion,Yes
I18N_CONVERSION_6_MONTHS,I18NCode Conversion 6 months,Conversion (6 month),Conversion (6 month),Yes
I18N_CONVERSION_IS_REQUIRED,I18NCode for Conversion is required,Conversion is required,Conversion is required,Yes
I18N_COOKIE_MANAGEMENT,I18NCode for Cookie management,Cookie management,Cookie management,Yes
I18N_COOKIES_POLICY,I18NCode for Cookies Policy,Cookies Policy,Cookies Policy,Yes
I18N_COORDINATING_TEAM,I18N for Coordinating Team,Coordinating Team,Coordinating Team,Yes
I18N_COPY,I18NCode for Copy,Copy,Copy,Yes
I18N_CORE,I18NCode for Core,Core,Core,Yes
I18N_CORE_CHAPTER,I18NCode for Core Chapter Caption,Core Chapters,Core Chapters,Yes
I18N_CORE_CHAPTER_NO_NEW_MEMBER,I18NCode for Core Chapter No New Member,Core Chapter No New Member,Core Chapter No New Member,Yes
I18N_CORE_CHAPTERS_IS_REQUIRED,I18NCode for Core chapters is required,Core chapters is required,Core chapters is required,Yes
I18N_CORE_CHAPTERS_THE_REGION,I18NCode for Core Chapters The Region,Core Chapters,Core Chapters,Yes
I18N_CORE_GROUP,I18NCode for Core Group,Core,Core,Yes
I18N_CORE_GROUP_MEMBERS,I18NCode for Core Group Members,Core Members,Core Members,Yes
I18N_CORE_MEMBER,I18NCode for Core Member Caption,Core Members,Core Members,Yes
I18N_CORE_MEMBERS,I18NCode for Code Members Kpi Graph,Core Members,Core Members,Yes
I18N_CORE_MEMBERS_IS_REQUIRED,I18NCode for Core members is required,Core Members is required,Core Members is required,Yes
I18N_CORE_MEMBERS_THE_REGION,I18NCode for Core Members The Region,Core Members,Core Members,Yes
I18N_COUNTRY,I18NCode for Country,Country,Country,Yes
I18N_COUNTRY_AVG,I18NCode for Country AVG,Country Avg,Country Avg,Yes
I18N_COUNTRY_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Country cannot exceed 50 characters,Country cannot exceed 50 characteres,Country cannot exceed 50 characteres,Yes
I18N_COUNTRY_DEVELOPMENT,I18nCode for Country Development,Country Development,Country Development,Yes
I18N_COUNTRY_EVOLUTION,I18NCode for Country Evolution Page,Country Evolution,Country Evolution,Yes
I18N_COUNTRY_GOAL_EDIT,I18NCode for Country GOAL EDIT,Edit Country Goal,Edit Country Goal,Yes
I18N_COUNTRY_GOAL_MENU,I18NCode for Country Goal Menu,Country,Country,Yes
I18N_COUNTRY_IS_REQUIRED,I18NCode for Country is required,Country is required,Country is required,Yes
I18N_COUNTRY_LAST_MONTH,I18NCode for Country Last Month,Country Last Month,Country Last Month,Yes
I18N_COUNTRY_TABLE,I18NCode for Country Label,Country,Country,Yes
I18N_CREATE,I18NCode for Create,Create,Create,Yes
I18N_CREATE_A_GROUP_FOR_YOUR_CONTACTS,I18NCode for Create a group for your contacts,Create a group chat for your contacts,Create a group chat for your contacts,Yes
I18N_CREATE_AN_ACCOUNT,I18NCode for Create an Account,Create an account,Create an account,Yes
I18N_CREATE_CHAT,i18NCode for Create Chat,Create chat,Create chat,Yes
I18N_CREATE_GROUP,I18NCode for Create group,Create group,Create group,Yes
I18N_CREATE_NEW_CHAT,I18NCode for Create New Chat,Create New Chat,Create New Chat,Yes
I18N_CREATE_POLL,I18NCode for Create Poll,Create Poll,Create Poll,Yes
I18N_CREATE_USER_ERROR_MESSAGE,I18NCode for Create User Error Message,"System could not find the profile with this email, please contact our support.","System could not find the profile with this email, please contact our support.",Yes
I18N_CREATED_AT,,Created at,Created at,Yes
I18N_CURRENCY,I18Ncode for currency ,$,$,Yes
I18N_CURRENT,I18NCode for Current,Current,Current,Yes
I18N_CURRENT_COUNT,"I18NCode for Current Count
",Current Count,Current Count,Yes
I18N_CURRENT_MONTH,I18NCodefor Current Month,Current Month,Current Month,Yes
I18N_CURRENT_MOTH,I18NCode to represent current moth,Current Month,Current Month,Yes
I18N_CURRENT_REPORTS,I18NCode for Current Reports,Current reports,Current reports,Yes
I18N_CURRENT_STATUS,I18NCode for Current Status,Current status,Current status,Yes
I18N_DA,I18NCode for Area Director,Area Director,Area Director,Yes
I18N_DA_SHORTNAME_,I18NCode for DA ShortName	,AD,AD,Yes
I18N_DASHBOARDS,I18NCode for dashboards,Dashboard,Dashboard,Yes
I18N_DATA_ANALYSIS,,Data Analysis,Data Analysis,Yes
I18N_DATE,I18NCode for Date,Date,Date,Yes
I18N_DAYS,I18NCode for Days,Days,Days,Yes
I18N_DAYS_TO_END,I18NCode for Days to end,Days till End,Days till End,Yes
I18N_DAYS_TO_START,I18NCode for Days to start,Days to start,Days to start,Yes
I18N_DAYS_TOTAL,I18NCode for Days Total,Total Days,Total Days,Yes
I18N_DC,I18NCode for Consultant Director,Consultant Director,Consultant Director,Yes
I18N_DC_PROFILE,I18NCode for DC,DC,DC,Yes
I18N_DC_SHORTNAME,I18NCode for DC ShortName,CD,CD,Yes
I18N_DC_TOTAL,I18NCode for DC Total,DC,DC,Yes
I18N_DECEMBER,I18NCode for December,December,December,Yes
I18N_DEFINE_GOALS__TRACK_AND_IMPROVE_PRODUCTIVITY_AND_MONITORING_INDICATORS_FOR_ALL_,"I18NCode for Define goals, track and improve Productivity and Monitoring indicators for all.","Define goals, track and improve Productivity and Monitoring indicators for all","Define goals, track and improve Productivity and Monitoring indicators for all",Yes
I18N_DEFINED,I18NCode for Defined,defined.,defined.,Yes
I18N_DEFINED_GOALS,I18NCode for Defined Goals,,,Yes
I18N_DELETE_CANCEL_BUTTON,I18NCode for Delete Cancel Button,"No, cancel","No, cancel",Yes
I18N_DELETE_CHAT,I18NCode for Delete Chat,Delete Chat,Delete Chat,Yes
I18N_DELETE_CHAT_MESSAGE_MODAL,I18NCode for Delete Chat Message Modal,Are you sure you want to delete this chat?,Are you sure you want to delete this chat?,Yes
I18N_DELETE_CONFIRM_BUTTON,I18NCode for Delete Confirm Button,"Yes, delete it!","Yes, delete it!",Yes
I18N_DELETE_MESSAGE_MODAL,I18NCode for Delete Message Modal,Are you sure you want to delete this message?,Are you sure you want to delete this message?,Yes
I18N_DELETE_MESSAGE_SUCCESS,I18NCode for Delete Message Success,Message delete with success,Message delete with success,Yes
I18N_DELETE_MODAL,I18NCode for Delete Modal Text,Are you sure you want to delete this item?,Are you sure you want to delete this item?,Yes
I18N_DELETE_SUCCESS_MODAL,I18NCode for Delete Success Modal Text,Deleted with Success,Deleted with Success,Yes
I18N_DELETE_WARNING_TEXT,I18NCode for Delete Warning Text,The item was not deleted!,The item was not deleted!,Yes
I18N_DEMOTE_TO_MEMBER,"I18NCode for Demote to member
",Demote to member,Demote to member,Yes
I18N_DESCRIPTION,,Description,Description,Yes
I18N_DETAILS,I18NCode for details,Details,Details,Yes
I18N_DEVELOPMENT,I18NCode for Franchise Development,Development,Development,Yes
I18N_DEX,I18NCode for DEX,DEX,DEX,Yes
I18N_DIF,I18NCode for Dif,Dif.,Dif.,Yes
I18N_DIFUSION,I18NCode for Difusion,Difusion,Difusion,Yes
I18N_DIRECTOR,I18NCode fo Director,Director,Director,Yes
I18N_DIRECTOR_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Director cannot exceed 50 characters,Director cannot exceed 50 characters,Director cannot exceed 50 characters,Yes
I18N_DIRECTOR_CONSULTANTS,I18NCode for Director Consultants,Director Consultants,Director Consultants,Yes
I18N_DIRECTOR_DO_NOT_PAY,I18NCode for Director Don´t Pay label,Allow the Director not to pay,Allow the Director not to pay,Yes
I18N_DIRECTOR_DO_NOT_PAY_MEMBERSHIP,I18NCode for Director Don't Pay Membership,Director Don't Pay Membership,Director Don't Pay Membership,Yes
I18N_DIRECTOR_GOAL,I18NCode for Director Goal ,Edit Director Goal,Edit Director Goal,Yes
I18N_DIRECTOR_GOAL_MENU,I18NCode for Diretor Goals Menu,Director,Director,Yes
I18N_DIRECTOR_IS_REQUIRED,I18NCode for Director is required,Director is required,Director is required,Yes
I18N_DIRECTOR_PROFILE_PAGE,I18NCode for Director Profile Page,,,Yes
I18N_DIRECTOR_TYPE,I18NCode for Director Type,Director Type,Director Type,Yes
I18N_DIRECTOR_TYPE_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Director Type cannot exceed 50 characters,Director type cannot exceed 50 characters,Director type cannot exceed 50 characters,Yes
I18N_DIRECTOR_TYPE_IS_REQUIRED,I18NCode for Director Type is Required,Director type is required,Director type is required,Yes
I18N_DIRECTORS,I18NCode for Directors,Directors,Directors,Yes
I18N_DISCARD,I18NCode for the discard button,Cancel,Cancel,Yes
I18N_DO_MEMBERS_HAVE_ACCESS_TO_R2Y,I18NCode for Do members have access to R2Y,Do members have access to R2Y,Do members have access to R2Y,Yes
I18N_DOLAR_MEMBER,I18NCode for $ /Member,/Member,/Member,Yes
I18N_DOLAR12M,I18NCode for $ /12m,/12m,/12m,Yes
I18N_DONT_EXIST_MEMBERS,I18NCode for Dont Exist Members,Don't exist members,Don't exist members,Yes
I18N_DOWN,I18NCode for Down,Down,Down,Yes
I18N_DOWNLOAD_COMPLETED,"I18NCode for Download completed
",Download completed,Download completed,Yes
I18N_DOWNLOAD_DOCUMENT_HERE,I18NCode for Download Document here,Download the document here,Download the document here,Yes
I18N_DOWNLOAD_FAILED,I18NCode for Download failed,Download failed,Download failed,Yes
I18N_DOWNLOADED_SUCCESSFULLY,"I18NCode for Downloaded Successfully

",Downloaded successfully,Downloaded successfully,Yes
I18N_DROP_TYPE,I18NCode for Drop Type,Drop Type,Drop Type,Yes
I18N_DROPPED,I18NCode for Dropped,Dropped,Dropped,Yes
I18N_DROPPED_MEMBERS,I18NCode for Dropped Members,Dropped Members,Dropped Members,Yes
I18N_DROPPED_MEMBERS_ACTIVE_CHAPTERS,I18NCode for Dropped Members Active Chapters,Dropped Members / Active Chapters,Dropped Members / Active Chapters,Yes
I18N_DROPS,I18NCode for Drops,Drops,Drops,Yes
I18N_DROPS_IS_REQUIRED,I18NCode for Drops is required,Drops is required,Drops is required,Yes
I18N_DROPS_THE_REGION,I18NCode for Drops The Region,Drops,Drops,Yes
I18N_DROPSS,I18NCode for Drops,Drops,Drops,Yes
I18N_DUPLICATE_CONFIRM_BUTTON,I18NCode for Duplicate Confirm Button,"Yes, duplicate!","Yes, duplicate!",Yes
I18N_DUPLICATE_VALUE,I18NCode for Duplicate Value,Duplicate Value,Duplicate Value,Yes
I18N_DURATION_OF_COOKIES,"I18NCode for Duration of cookies
",Duration of cookies,Duration of cookies,Yes
I18N_ED,I18NCode for ED,ED,ED,Yes
I18N_EDIT,I18NCode for Edit ,Edit,Edit,Yes
I18N_EDIT_CHAPTER_NAME,I18NCode for Edit Chapter Name,Edit Chapter Name,Edit Chapter Name,Yes
I18N_EDIT_MEMBER_NAME,I18NCode for Edit Member Name,Edit Member Name,Edit Member Name,Yes
I18N_EDIT_REGION_NAME,I18NCode for Edit Region Name,Edit Region Name,Edit Region Name,Yes
I18N_EDIT_TEAM,I18NCode for Edit Team,Editing Team,Editing Team,Yes
I18N_EDIT_VALUES,I18NCode for Edit Values,Edit Value,Edit Value,Yes
I18N_EL,I18NCode for EL,LT,LT,Yes
I18N_ELECTRONIC_CONTACT,"I18NCode for Electronic contact
",Electronic Contact,Electronic Contact,Yes
I18N_EMAIL,I18NCode for Email label,Email,Email,Yes
I18N_EMAIL_IS_REQUIRED,I18NCode for Email Is Required,Email is a required field,Email is a required field,Yes
I18N_EMAIL_SENT_SUCCESSFULLY,I18NCode for Email Sent Successfully,Email sent successfully!,Email sent successfully!,Yes
I18N_EMPTY_TEAM,I18NCode for Empty Team,Empty Team,Empty Team,Yes
I18N_EMPTY_TRANSLATIONS,No translations available for the selected item.,No translations available for the selected item.,No translations available for the selected item.,Yes
I18N_ENABLE_CALCULATIONS,I18NCode for Enable Calculations,Enable Calculations,Enable Calculations,Yes
I18N_END_DATE,I18NCode for End Date,End Date,End Date,Yes
I18N_END_DATE_IS_REQUIRED,I18NCode for  End Date is required,End date is required,End date is required,Yes
I18N_ENTER_YOUR_EMAIL_TO_RESET_YOUR_PASSWORD_,"I18NCode for Enter your email to reset your password.
",Enter your email to reset your password,Enter your email to reset your password,Yes
I18N_ENTREPRISE,I18NCode for hidden row in Upcoming Renewels Page,Company,Company,Yes
I18N_EQUAL,I18NCode for Equal,Equal,Equal,Yes
I18N_ERROR,I18NCode for Error,Error,Error,Yes
I18N_ERROR_PROCESSING_REQUEST,I18NCode for Error Processing Request,Erros processing your request,Erros processing your request,Yes
I18N_EVENT_NAME,18NCode for Event Name,Event Name,Event Name,Yes
I18N_EVOLUCAO,I18NCode for Evolution,Evolution,Evolution,Yes
I18N_EVOLUTION_REPORT,I18NCode for Evolution Report,Evolution Report,Evolution Report,Yes
I18N_EVOLUTIONS,I18NCode for Evolution page title,Evolutions,Evolutions,Yes
I18N_EXCLUDED,I18NCode for Excluded,Excluded,Excluded,Yes
I18N_EXECUTIVE_DIRECTOR,I18NCode for Executive Director,Executive Director,Executive Director,Yes
I18N_EXISTING_REPORTS,I18NCode for Existing Reports,Existing Reports,Existing Reports,Yes
I18N_EXIT,I18NCode for Exit,Exit,Exit,Yes
I18N_EXPIRED,I18NCode for Expired Tasks,Expired,Expired,Yes
I18N_EXPORT,I18NCode for Export,Export,Export,Yes
I18N_EXPORT_COPY,I18NCode user for copy  on export dropdown,Copy to clipboard,Copy to clipboard,Yes
I18N_EXPORT_CSV,I18NCode user for export as csv on dropdown,Export as CSV,Export as CSV,Yes
I18N_EXPORT_EVOLUTION_PDF,I18NCode for Export Evolution Pdf Button,Export Evolution PDF,Export Evolution PDF,Yes
I18N_EXPORT_EXCEL,I18NCode user for export as excel on dropdown,Export as Excel,Export as Excel,Yes
I18N_EXPORT_GENERAL_REPORT,I18NCode for Export General Report in Notable Networkers Page,Export General Report,Export General Report,Yes
I18N_EXPORT_PDF,I18NCode user for export as pdf on dropdown,Export as PDF,Export as PDF,Yes
