Code,Description,Default_Translation (en-en),Target_Translation (lt-lt),Has_Translation
I18N_BEST_PRATICES_NOTE,I18NCode for Best Pratices Note,NOTE: Reporting2You is not responsible for any report based on faulty or incomplete information resulting from noncompliance with any of the points shown above.,"PASTABA: Reporting2You neatsako už jokią ataskaitą, pagrįstą klaidinga arba neišsamia informacija, atsiradusią dėl kurio nors iš aukščiau nurodytų punktų nesilaikymo.",Yes
I18N_BNI_DAYS,I18NCode for BNI Days,BNI Days,BNI dienos,Yes
I18N_BNI_GAME_INFORMATION,I18NCode for Bni Game Information,BNI Game Information,BNI žaidimo informacija,Yes
I18N_BNI_GAME_NAME,I18NCode for BNI Game Name,BNI Game Name,BNI žaidimo pavadinimas,Yes
I18N_BNI_GAMES,I18NCode for Bni Games Menu,BNI Games,BNI žaidimai,Yes
I18N_BNI_KPI_VIEW,I18NCode for Bni KPI View,KPI Vision in the Game,KPI vizija žaidime,Yes
I18N_BNI_TEAM_NAME,I18NCode for Bni Team Name,Team Name,Komandos pavadinimas,Yes
I18N_BNI_TEAM_VIEW,I18NCode for Bni Team View,Bni Teams Vision,Bni Teams vizija,Yes
I18N_BROUGHT_NO_VISITOR_ON_LAST,I18NCode for Brought No Visitor On Last,Brought No Visitor On Last,Paskutinį kartą nepritraukė nė vieno lankytojo,Yes
I18N_BUSINESS_PROFILE,I18NCode for Business Profile,Business profile,Verslo profilis,Yes
I18N_CANCEL,I18NCode for Cancel,Cancel,Atšaukti,Yes
I18N_CANCEL_CANCEL_BUTTON,I18NCode for Cancel Cancel Button,"No, return","Ne, grįžk",Yes
I18N_CANCEL_CONFIRM_BUTTON,I18NCode for Cancel Confirm Button,"Yes, cancel it!","Taip, atšaukite!",Yes
I18N_CANCEL_MODAL,I18NCode for Cancel Modal,Are you sure you would like to cancel?,Ar tikrai norite atšaukti?,Yes
I18N_CANCEL_WARNING_TEXT,I18NCode for Cancel Warning Text,Your form has not been cancelled!,Jūsų forma nebuvo atšaukta!,Yes
I18N_CC,I18NCode for #CC,#CC,Jūsų forma nebuvo atšaukta!,Yes
I18N_CC_NONEWMEMBERS_15_DAYS,I18NCode for Core Chapters with no new members in the last 15 days,Core Chapters with no new members in the last 15 days,"Pagrindiniai skyriai, kuriuose per pastarąsias 15 dienų nebuvo naujų narių",Yes
I18N_CELLPHONE,I18NCode for Cellphone,Cellphone,Mobilusis telefonas,Yes
I18N_CEU,I18NCode for CEU,CEU,CEU,Yes
I18N_CEU_IS_REQUIRED,I18NCode for CEU is required,Ceu is required,Ceu reikia,Yes
I18N_CEU_THE_REGION,I18NCode for CEU The Region,CEU,CEU,Yes
I18N_CHAIR_VALUE,I18NCode for chair value,Chair Value,Kėdės vertė,Yes
I18N_CHANGE_IMAGE,I18NCode for Change Image,Change image,Keisti vaizdą,Yes
I18N_CHANGE_SEARCH,I18NCode for Change Search Message,Change your search,Pakeiskite paiešką,Yes
I18N_CHANGES_MAKE_MESSAGE,I18NCode for Changes Make Message in Modal Confirmation,Changes successfully saved!,Pakeitimai sėkmingai išsaugoti!,Yes
I18N_CHAPTER_AVG,Chapter AVG,Chapter AVG,AVG skyrius,Yes
I18N_CHAPTER_DETAIL_PAGE,I18NCode for Chapter detail page,Chapter Detail Page,Skyriaus informacijos puslapis,Yes
I18N_CHAPTER_GOAL,I18NCode for Chapter Goal,Chapter Goal,Skyriaus tikslas,Yes
I18N_CHAPTER_GOAL_EDIT,I18NCode for Chapter Goal Edit,Edit Chapter Goal ,Redaguoti skyriaus tikslą,Yes
I18N_CHAPTER_GOAL_MENU,I18NCode for Chapter Goal Menu,Chapter,skyrius,Yes
I18N_CHAPTER_HEALTH_FORMATION,I18NCode for Chapter Health & Formation,Chapter Health & Formation,Skyrius Sveikata ir formavimasis,Yes
I18N_CHAPTER_IS_REQUIRED,I18NCode for Chapter is required,Chapter is required,Reikalingas skyrius,Yes
I18N_CHAPTER_LAUNCH_MONTHS,I18NCode for Chapter Launch Months on tooltip in Kpi Correlation page,Time After Launch,Laikas po paleidimo,Yes
I18N_CHAPTER_SINGULAR,I18NCode for Chapter in singular,Chapter,skyrius,Yes
I18N_CHAPTERS,I18nCode for chapters,Chapters,Skyriai,Yes
I18N_CHAT_GROUP_NAME,I18NCode for Chat group name,Chat group name,Pokalbių grupės pavadinimas,Yes
I18N_CHAT_PRIVATELY_WITH_A_CONTACT,I18NCode for Chat privately with a contact,Chat privately with a contact,Kalbėkitės privačiai su kontaktu,Yes
I18N_CHATS,i18NCode for Chats,chats,pokalbiai,Yes
I18N_CHOOSE_THE_TYPE_OF_CHAT,I18NCode for Choose the type of chat,Choose the type of chat,Pasirinkite pokalbio tipą,Yes
I18N_CITY,I18NCode for City,City,Miestas,Yes
I18N_CLASSIFICATION,I18N for Member Activity Classification (Category),Category,Kategorija,Yes
I18N_CLEAR_SELECTION,"I18NCode for Clear selection
",Clear selection,Išvalyti pasirinkimą,Yes
I18N_CLICK_BELOW_TO_SELECT,I18NCode for Click below to select,Click below to select,"Spustelėkite žemiau, kad pasirinktumėte",Yes
I18N_CLICK_TO_SEND_AN_EMAIL,I18NCode for Click to send an email,Click to send an email,Spustelėkite norėdami išsiųsti el. laišką,Yes
I18N_CLOSE,I18Ncode button close,Close,Uždaryti,Yes
I18N_CLOSE_ADVANCED_SEARCH,"I18NCode for Close advanced search
",Close advanced search,Uždaryti išplėstinę paiešką,Yes
I18N_CLOSE_CONFIRM_BUTTON,I18NCode for Close Confirm Button,"Yes, close it!","Taip, uždarykite!",Yes
I18N_CLOSE_MODAL,I18NCode for Close Modal Text,Are you sure you would like to close?,Ar tikrai norite uždaryti?,Yes
I18N_CLOSED_CHAPTERS,I18NCode for Closed Chapters,Closed,Uždaryta,Yes
I18N_CM,I18NCode for #CM,#CM,#CM,Yes
I18N_CODE,,Code,Kodas,Yes
I18N_COMPANY,I18NCode for Company,Company,Įmonė,Yes
I18N_COMPANY_INFORMATION,I18NCode for Company Information,Company information,Įmonės informacija,Yes
I18N_COMPANY_NAME,I18NCode for Company Name,Company Name,Įmonės pavadinimas,Yes
I18N_COMPLETE_THE_ACCOUNT_SETUP_PROCESS_TO_GET_STARTED,I18NCode for Complete the account setup process to get started.,Complete the account setup process to get started,"Norėdami pradėti, užbaikite paskyros sąrankos procesą",Yes
I18N_COMPLETED,I18NCode to Completed,Completed,Baigta,Yes
I18N_CONFIG,I18NCode for Config,Config,konfig,Yes
I18N_CONFIGURATION_AND_GAME_PERIOD,I18NCode for Configuration and Game Period,Configuration and Game Period,Konfigūracija ir žaidimo laikotarpis,Yes
I18N_CONFIRM_PASSWORD,i18NCode for Confirm Password,Confirm Password,Patvirtinkite slaptažodį,Yes
I18N_CONSISTENT_GROWTH,I18NCode for Consistent Growth,Consistent Growth,Nuoseklus augimas,Yes
I18N_CONTACT,I18NCode for Contact,Contact,Susisiekite,Yes
I18N_CONTACT_DETAILS_OF_OUR_DATA_PROTECTION_OFFICER,I18NCode for Contact details of our Data Protection Officer,Contact details of our Data Protection Officer,Mūsų duomenų apsaugos pareigūno kontaktiniai duomenys,Yes
I18N_CONTACT_INFORMATION,I18NCode for Contact Information,Contact Information,Kontaktinė informacija,Yes
I18N_CONTACT_SPHERE,I18NCode for Contact Sphere,Contact Sphere,Kontaktinė sfera,Yes
I18N_CONTACT_SPHERES,I18NCode for Contact Spheres,Contact Spheres,Kontaktinės sferos,Yes
I18N_CONTACT_SPHERES_OPTION_NO_DATA,I18NCode Contact Spheres Option no data,"To activate Contact Spheres Option please send and email to info@reporting2you.com asking to activate it for your region.  By default only DCs and EDs will have access to it, to change it you need to go to Regional Administration\Regional Settings\Reports and set it after it has been activated.","Norėdami suaktyvinti kontaktinių sferų parinktį, atsiųskite ir atsiųskite el. laišką adresu info@reporting2you.com, prašydami suaktyvinti ją jūsų regione.",Yes
I18N_CONTACT_US,I18NCode for ContactUs,Contact Us,Susisiekite su mumis,Yes
I18N_CONTACTS,I18NCode for Contacts,Contacts,Kontaktai,Yes
I18N_CONTENT_MANANGMENT,I18NCodes for Content managment,Content Manangment,Turinio valdymas,Yes
I18N_CONTEXT,I18NCode for Context,Context,Kontekstas,Yes
I18N_CONTEXT_CODE,,Context,Kontekstas,Yes
I18N_CONTEXT_DESCRIPTION,,Context description,Konteksto aprašymas,Yes
I18N_CONTEXT_NAME,,Context Name,Konteksto pavadinimas,Yes
I18N_CONTEXTS,I18NCodes for Contexts,Contexts,Kontekstai,Yes
I18N_CONTRACT_DATE,I18NCode for Contract Date,Contract Date,Sutarties data,Yes
I18N_CONV,I18NCode for Conv,Conv.,Konv.,Yes
I18N_CONVERSION,I18NCode for Conversion,Conversion,Konversija,Yes
I18N_CONVERSION_6_MONTHS,I18NCode Conversion 6 months,Conversion (6 month),Konversija (6 mėn.),Yes
I18N_CONVERSION_IS_REQUIRED,I18NCode for Conversion is required,Conversion is required,Būtina konvertuoti,Yes
I18N_COOKIE_MANAGEMENT,I18NCode for Cookie management,Cookie management,Slapukų valdymas,Yes
I18N_COOKIES_POLICY,I18NCode for Cookies Policy,Cookies Policy,Slapukų politika,Yes
I18N_COORDINATING_TEAM,I18N for Coordinating Team,Coordinating Team,Koordinavimo komanda,Yes
I18N_COPY,I18NCode for Copy,Copy,Kopijuoti,Yes
I18N_CORE,I18NCode for Core,Core,Šerdis,Yes
I18N_CORE_CHAPTER,I18NCode for Core Chapter Caption,Core Chapters,Pagrindiniai skyriai,Yes
I18N_CORE_CHAPTER_NO_NEW_MEMBER,I18NCode for Core Chapter No New Member,Core Chapter No New Member,Pagrindinis skyrius Naujų narių nėra,Yes
I18N_CORE_CHAPTERS_IS_REQUIRED,I18NCode for Core chapters is required,Core chapters is required,Reikalingi pagrindiniai skyriai,Yes
I18N_CORE_CHAPTERS_THE_REGION,I18NCode for Core Chapters The Region,Core Chapters,Pagrindiniai skyriai,Yes
I18N_CORE_GROUP,I18NCode for Core Group,Core,Šerdis,Yes
I18N_CORE_GROUP_MEMBERS,I18NCode for Core Group Members,Core Members,Pagrindiniai nariai,Yes
I18N_CORE_MEMBER,I18NCode for Core Member Caption,Core Members,Pagrindiniai nariai,Yes
I18N_CORE_MEMBERS,I18NCode for Code Members Kpi Graph,Core Members,Pagrindiniai nariai,Yes
I18N_CORE_MEMBERS_IS_REQUIRED,I18NCode for Core members is required,Core Members is required,Reikalingi pagrindiniai nariai,Yes
I18N_CORE_MEMBERS_THE_REGION,I18NCode for Core Members The Region,Core Members,Pagrindiniai nariai,Yes
I18N_COUNTRY,I18NCode for Country,Country,Šalis,Yes
I18N_COUNTRY_AVG,I18NCode for Country AVG,Country Avg,Šalies vid,Yes
I18N_COUNTRY_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Country cannot exceed 50 characters,Country cannot exceed 50 characteres,Šalis negali viršyti 50 simbolių,Yes
I18N_COUNTRY_DEVELOPMENT,I18nCode for Country Development,Country Development,Šalies plėtra,Yes
I18N_COUNTRY_EVOLUTION,I18NCode for Country Evolution Page,Country Evolution,Šalies evoliucija,Yes
I18N_COUNTRY_GOAL_EDIT,I18NCode for Country GOAL EDIT,Edit Country Goal,Redaguoti šalies tikslą,Yes
I18N_COUNTRY_GOAL_MENU,I18NCode for Country Goal Menu,Country,Šalis,Yes
I18N_COUNTRY_IS_REQUIRED,I18NCode for Country is required,Country is required,Būtina nurodyti šalį,Yes
I18N_COUNTRY_LAST_MONTH,I18NCode for Country Last Month,Country Last Month,Šalis praėjusį mėnesį,Yes
I18N_COUNTRY_TABLE,I18NCode for Country Label,Country,Šalis,Yes
I18N_CREATE,I18NCode for Create,Create,Sukurti,Yes
I18N_CREATE_A_GROUP_FOR_YOUR_CONTACTS,I18NCode for Create a group for your contacts,Create a group chat for your contacts,Sukurkite grupės pokalbį savo kontaktams,Yes
I18N_CREATE_AN_ACCOUNT,I18NCode for Create an Account,Create an account,Susikurti paskyrą,Yes
I18N_CREATE_CHAT,i18NCode for Create Chat,Create chat,Sukurti pokalbį,Yes
I18N_CREATE_GROUP,I18NCode for Create group,Create group,Sukurti grupę,Yes
I18N_CREATE_NEW_CHAT,I18NCode for Create New Chat,Create New Chat,Sukurti naują pokalbį,Yes
I18N_CREATE_POLL,I18NCode for Create Poll,Create Poll,Sukurti apklausą,Yes
I18N_CREATE_USER_ERROR_MESSAGE,I18NCode for Create User Error Message,"System could not find the profile with this email, please contact our support.","Sistemai nepavyko rasti profilio su šiuo el. paštu, susisiekite su mūsų palaikymo tarnyba.",Yes
I18N_CREATED_AT,,Created at,Sukurta,Yes
I18N_CURRENCY,I18Ncode for currency ,$,$,Yes
I18N_CURRENT,I18NCode for Current,Current,Dabartinė,Yes
I18N_CURRENT_COUNT,"I18NCode for Current Count
",Current Count,Dabartinis skaičius,Yes
I18N_CURRENT_MONTH,I18NCodefor Current Month,Current Month,Dabartinis mėnuo,Yes
I18N_CURRENT_MOTH,I18NCode to represent current moth,Current Month,Dabartinis mėnuo,Yes
I18N_CURRENT_REPORTS,I18NCode for Current Reports,Current reports,Dabartinės ataskaitos,Yes
I18N_CURRENT_STATUS,I18NCode for Current Status,Current status,Dabartinė būsena,Yes
I18N_DA,I18NCode for Area Director,Area Director,Rajono direktorius,Yes
I18N_DA_SHORTNAME_,I18NCode for DA ShortName	,AD,AD,Yes
I18N_DASHBOARDS,I18NCode for dashboards,Dashboard,Prietaisų skydelis,Yes
I18N_DATA_ANALYSIS,,Data Analysis,Duomenų analizė,Yes
I18N_DATE,I18NCode for Date,Date,Data,Yes
I18N_DAYS,I18NCode for Days,Days,Dienos,Yes
I18N_DAYS_TO_END,I18NCode for Days to end,Days till End,Dienos iki pabaigos,Yes
I18N_DAYS_TO_START,I18NCode for Days to start,Days to start,Dienos pradėti,Yes
I18N_DAYS_TOTAL,I18NCode for Days Total,Total Days,Iš viso dienų,Yes
I18N_DC,I18NCode for Consultant Director,Consultant Director,Direktorius konsultantas,Yes
I18N_DC_PROFILE,I18NCode for DC,DC,DC,Yes
I18N_DC_SHORTNAME,I18NCode for DC ShortName,CD,CD,Yes
I18N_DC_TOTAL,I18NCode for DC Total,DC,DC,Yes
I18N_DECEMBER,I18NCode for December,December,gruodį,Yes
I18N_DEFINE_GOALS__TRACK_AND_IMPROVE_PRODUCTIVITY_AND_MONITORING_INDICATORS_FOR_ALL_,"I18NCode for Define goals, track and improve Productivity and Monitoring indicators for all.","Define goals, track and improve Productivity and Monitoring indicators for all",gruodį,Yes
I18N_DEFINED,I18NCode for Defined,defined.,apibrėžta.,Yes
I18N_DEFINED_GOALS,I18NCode for Defined Goals,,,Yes
I18N_DELETE_CANCEL_BUTTON,I18NCode for Delete Cancel Button,"No, cancel","Ne, atšaukti",Yes
I18N_DELETE_CHAT,I18NCode for Delete Chat,Delete Chat,Ištrinti pokalbį,Yes
I18N_DELETE_CHAT_MESSAGE_MODAL,I18NCode for Delete Chat Message Modal,Are you sure you want to delete this chat?,Ar tikrai norite ištrinti šį pokalbį?,Yes
I18N_DELETE_CONFIRM_BUTTON,I18NCode for Delete Confirm Button,"Yes, delete it!","Taip, ištrinkite!",Yes
I18N_DELETE_MESSAGE_MODAL,I18NCode for Delete Message Modal,Are you sure you want to delete this message?,Ar tikrai norite ištrinti šį pranešimą?,Yes
I18N_DELETE_MESSAGE_SUCCESS,I18NCode for Delete Message Success,Message delete with success,Sėkmingai ištrinkite pranešimą,Yes
I18N_DELETE_MODAL,I18NCode for Delete Modal Text,Are you sure you want to delete this item?,Ar tikrai norite ištrinti šį elementą?,Yes
I18N_DELETE_SUCCESS_MODAL,I18NCode for Delete Success Modal Text,Deleted with Success,Ištrinta sėkmingai,Yes
I18N_DELETE_WARNING_TEXT,I18NCode for Delete Warning Text,The item was not deleted!,Elementas nebuvo ištrintas!,Yes
I18N_DEMOTE_TO_MEMBER,"I18NCode for Demote to member
",Demote to member,Pažeminti į narį,Yes
I18N_DESCRIPTION,,Description,Aprašymas,Yes
I18N_DETAILS,I18NCode for details,Details,Detalės,Yes
I18N_DEVELOPMENT,I18NCode for Franchise Development,Development,Plėtra,Yes
I18N_DEX,I18NCode for DEX,DEX,DEX,Yes
I18N_DIF,I18NCode for Dif,Dif.,Skirt.,Yes
I18N_DIFUSION,I18NCode for Difusion,Difusion,Difuzija,Yes
I18N_DIRECTOR,I18NCode fo Director,Director,direktorius,Yes
I18N_DIRECTOR_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Director cannot exceed 50 characters,Director cannot exceed 50 characters,Režisierius negali viršyti 50 simbolių,Yes
I18N_DIRECTOR_CONSULTANTS,I18NCode for Director Consultants,Director Consultants,Direktorius konsultantai,Yes
I18N_DIRECTOR_DO_NOT_PAY,I18NCode for Director Don´t Pay label,Allow the Director not to pay,Leiskite direktoriui nemokėti,Yes
I18N_DIRECTOR_DO_NOT_PAY_MEMBERSHIP,I18NCode for Director Don't Pay Membership,Director Don't Pay Membership,Direktorius nemoka narystės,Yes
I18N_DIRECTOR_GOAL,I18NCode for Director Goal ,Edit Director Goal,Redaguoti direktoriaus tikslą,Yes
I18N_DIRECTOR_GOAL_MENU,I18NCode for Diretor Goals Menu,Director,direktorius,Yes
I18N_DIRECTOR_IS_REQUIRED,I18NCode for Director is required,Director is required,Reikalingas direktorius,Yes
I18N_DIRECTOR_PROFILE_PAGE,I18NCode for Director Profile Page,,,Yes
I18N_DIRECTOR_TYPE,I18NCode for Director Type,Director Type,Režisieriaus tipas,Yes
I18N_DIRECTOR_TYPE_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Director Type cannot exceed 50 characters,Director type cannot exceed 50 characters,Režisieriaus tipas negali viršyti 50 simbolių,Yes
I18N_DIRECTOR_TYPE_IS_REQUIRED,I18NCode for Director Type is Required,Director type is required,Reikalingas režisieriaus tipas,Yes
I18N_DIRECTORS,I18NCode for Directors,Directors,Direktoriai,Yes
I18N_DISCARD,I18NCode for the discard button,Cancel,Atšaukti,Yes
I18N_DO_MEMBERS_HAVE_ACCESS_TO_R2Y,I18NCode for Do members have access to R2Y,Do members have access to R2Y,Ar nariai turi prieigą prie R2Y,Yes
I18N_DOLAR_MEMBER,I18NCode for $ /Member,/Member,/Narys,Yes
I18N_DOLAR12M,I18NCode for $ /12m,/12m,/12m,Yes
I18N_DONT_EXIST_MEMBERS,I18NCode for Dont Exist Members,Don't exist members,Narių nėra,Yes
I18N_DOWN,I18NCode for Down,Down,Žemyn,Yes
I18N_DOWNLOAD_COMPLETED,"I18NCode for Download completed
",Download completed,Atsisiuntimas baigtas,Yes
I18N_DOWNLOAD_DOCUMENT_HERE,I18NCode for Download Document here,Download the document here,Atsisiųskite dokumentą čia,Yes
I18N_DOWNLOAD_FAILED,I18NCode for Download failed,Download failed,Atsisiųsti nepavyko,Yes
I18N_DOWNLOADED_SUCCESSFULLY,"I18NCode for Downloaded Successfully

",Downloaded successfully,Downloaded successfully,Yes
I18N_DROP_TYPE,I18NCode for Drop Type,Drop Type,Drop tipas,Yes
I18N_DROPPED,I18NCode for Dropped,Dropped,Nukrito,Yes
I18N_DROPPED_MEMBERS,I18NCode for Dropped Members,Dropped Members,Atleisti nariai,Yes
I18N_DROPPED_MEMBERS_ACTIVE_CHAPTERS,I18NCode for Dropped Members Active Chapters,Dropped Members / Active Chapters,Pašalinti nariai / aktyvūs skyriai,Yes
I18N_DROPS,I18NCode for Drops,Drops,Lašai,Yes
I18N_DROPS_IS_REQUIRED,I18NCode for Drops is required,Drops is required,Reikalingi lašai,Yes
I18N_DROPS_THE_REGION,I18NCode for Drops The Region,Drops,Lašai,Yes
I18N_DROPSS,I18NCode for Drops,Drops,Lašai,Yes
I18N_DUPLICATE_CONFIRM_BUTTON,I18NCode for Duplicate Confirm Button,"Yes, duplicate!","Taip, dublikatas!",Yes
I18N_DUPLICATE_VALUE,I18NCode for Duplicate Value,Duplicate Value,Pasikartojanti vertė,Yes
I18N_DURATION_OF_COOKIES,"I18NCode for Duration of cookies
",Duration of cookies,Slapukų trukmė,Yes
I18N_ED,I18NCode for ED,ED,ED,Yes
I18N_EDIT,I18NCode for Edit ,Edit,Redaguoti,Yes
I18N_EDIT_CHAPTER_NAME,I18NCode for Edit Chapter Name,Edit Chapter Name,Redaguoti skyriaus pavadinimą,Yes
I18N_EDIT_MEMBER_NAME,I18NCode for Edit Member Name,Edit Member Name,Redaguoti nario vardą,Yes
I18N_EDIT_REGION_NAME,I18NCode for Edit Region Name,Edit Region Name,Redaguoti regiono pavadinimą,Yes
I18N_EDIT_TEAM,I18NCode for Edit Team,Editing Team,Redagavimo komanda,Yes
I18N_EDIT_VALUES,I18NCode for Edit Values,Edit Value,Redaguoti vertę,Yes
I18N_EL,I18NCode for EL,LT,LT,Yes
I18N_ELECTRONIC_CONTACT,"I18NCode for Electronic contact
",Electronic Contact,Elektroninis kontaktas,Yes
I18N_EMAIL,I18NCode for Email label,Email,El. paštas,Yes
I18N_EMAIL_IS_REQUIRED,I18NCode for Email Is Required,Email is a required field,El. pašto adresas yra privalomas laukas,Yes
I18N_EMAIL_SENT_SUCCESSFULLY,I18NCode for Email Sent Successfully,Email sent successfully!,El. laiškas sėkmingai išsiųstas!,Yes
I18N_EMPTY_TEAM,I18NCode for Empty Team,Empty Team,Tuščia komanda,Yes
I18N_EMPTY_TRANSLATIONS,No translations available for the selected item.,No translations available for the selected item.,Nėra pasirinkto elemento vertimų.,Yes
I18N_ENABLE_CALCULATIONS,I18NCode for Enable Calculations,Enable Calculations,Įgalinti skaičiavimus,Yes
I18N_END_DATE,I18NCode for End Date,End Date,Pabaigos data,Yes
I18N_END_DATE_IS_REQUIRED,I18NCode for  End Date is required,End date is required,Būtina nurodyti pabaigos datą,Yes
I18N_ENTER_YOUR_EMAIL_TO_RESET_YOUR_PASSWORD_,"I18NCode for Enter your email to reset your password.
",Enter your email to reset your password,"Įveskite savo el. pašto adresą, kad iš naujo nustatytumėte slaptažodį",Yes
I18N_ENTREPRISE,I18NCode for hidden row in Upcoming Renewels Page,Company,Įmonė,Yes
I18N_EQUAL,I18NCode for Equal,Equal,Lygus,Yes
I18N_ERROR,I18NCode for Error,Error,Klaida,Yes
I18N_ERROR_PROCESSING_REQUEST,I18NCode for Error Processing Request,Erros processing your request,Apdorojant jūsų užklausą įvyko klaida,Yes
I18N_EVENT_NAME,18NCode for Event Name,Event Name,Renginio pavadinimas,Yes
I18N_EVOLUCAO,I18NCode for Evolution,Evolution,Evoliucija,Yes
I18N_EVOLUTION_REPORT,I18NCode for Evolution Report,Evolution Report,Evoliucijos ataskaita,Yes
I18N_EVOLUTIONS,I18NCode for Evolution page title,Evolutions,Evoliucijos,Yes
I18N_EXCLUDED,I18NCode for Excluded,Excluded,Išskirta,Yes
I18N_EXECUTIVE_DIRECTOR,I18NCode for Executive Director,Executive Director,Vykdomasis direktorius,Yes
I18N_EXISTING_REPORTS,I18NCode for Existing Reports,Existing Reports,Esamos ataskaitos,Yes
I18N_EXIT,I18NCode for Exit,Exit,Išeiti,Yes
I18N_EXPIRED,I18NCode for Expired Tasks,Expired,Baigėsi galiojimo laikas,Yes
I18N_EXPORT,I18NCode for Export,Export,Eksportuoti,Yes
I18N_EXPORT_COPY,I18NCode user for copy  on export dropdown,Copy to clipboard,Kopijuoti į mainų sritį,Yes
I18N_EXPORT_CSV,I18NCode user for export as csv on dropdown,Export as CSV,Eksportuoti kaip CSV,Yes
I18N_EXPORT_EVOLUTION_PDF,I18NCode for Export Evolution Pdf Button,Export Evolution PDF,Eksportuoti Evolution PDF,Yes
I18N_EXPORT_EXCEL,I18NCode user for export as excel on dropdown,Export as Excel,Eksportuoti kaip Excel,Yes
I18N_EXPORT_GENERAL_REPORT,I18NCode for Export General Report in Notable Networkers Page,Export General Report,Eksporto bendroji ataskaita,Yes
I18N_EXPORT_PDF,I18NCode user for export as pdf on dropdown,Export as PDF,Eksportuoti kaip PDF,Yes
I18N_EXPORT_REPORT,I18NCode for label on export dropdown,Export Report,Eksporto ataskaita,Yes
I18N_EXPORT_TRANSLATIONS,I18NCode for Export Translations,Export Translations,Eksportuoti vertimus,Yes
I18N_EXTERNAL,I18NCode for External,External,Išorinis,Yes
I18N_FAILED_TO_CREATE_ACCOUNT,I18NCode for Failed To Create Account,Failed to create account,Nepavyko sukurti paskyros,Yes
I18N_FAILED_TO_RESET_PASSWORD,I18NCode for Failed to reset Password,Failed to reset Password,Nepavyko iš naujo nustatyti slaptažodžio,Yes
I18N_FAILED_TO_SEND_EMAIL,I18NCode for Failed To Send Email,Failed to send email,Nepavyko išsiųsti el,Yes
I18N_FALLING_MEMBERS,I18NCode for Falling members,Falling,Kritimas,Yes
I18N_FAQ_1,I18NCode for Faq 1,"Chapter President shows as ""N/A"", why?","Skyriaus pirmininkas rodo kaip „N/A“, kodėl?",Yes
I18N_FAQ_1_ANSWER,I18NCode for Faq 1 Answer,"When Chapter Leadership name shows as ""N/A"" it means that his/her email was changed. Need to update his/her email on reporting2you","Kai skyriaus vadovo pavadinimas rodomas kaip „N/A“, tai reiškia, kad jo/jos el. pašto adresas buvo pakeistas.",Yes
I18N_FAQ_2,I18NCode for Faq 2,Where can I find Chapter Reports?,Kur galiu rasti skyrių ataskaitas?,Yes
I18N_FAQ_2_ANSWER,I18NCode for Faq 2 Answer,"Go to Reports Menu click the plus sign (""+"") to open Chapters tree and then click on the chapters name, you will get the list of reports from current month to that chapter.<br/> If you want to get a previous report you should click the ""History"" item in the Chapters list and you will be able to get reports from the past 12 month.","Eikite į Ataskaitų meniu spustelėkite pliuso ženklą (""+""), kad atidarytumėte skyrių medį, tada spustelėkite skyrių pavadinimą, gausite ataskaitų sąrašą nuo einamojo mėnesio iki to skyriaus.<br/> Jei norite gauti ankstesnę ataskaitą, skyrių sąraše spustelėkite elementą ""Istorija"" ir galėsite gauti pastarųjų 12 mėnesių ataskaitas.",Yes
I18N_FAQS,I18NCode for Faqs,Faqs,DUK,Yes
I18N_FAST__EFFICIENT_AND_PRODUCTIVE,"I18NCode for Fast, Efficient and Productive
","Fast, Efficient and Productive","Greitai, efektyviai ir produktyviai",Yes
I18N_FEBRUARY,I18NCode for February,February,vasario mėn,Yes
I18N_FEE,I18NCode for Fee,Fee,Mokestis,Yes
I18N_FILES,I18NCode for Files,Files,Failai,Yes
I18N_FILL,I18NCode for Fill,Fill,Užpildykite,Yes
I18N_FILL_CHAPTERS,I18NCode for Fill Chapters,Fill Chapters,Užpildykite skyrius,Yes
I18N_FILTER,I18NCode for Filter,Filter,Filtruoti,Yes
I18N_FILTER_OPTIONS,I18NCode for Filter Options,Filter options,Filtro parinktys,Yes
I18N_FIRST,I18NCode for First,First,Pirma,Yes
I18N_FIRST_MEMBERS_IN_TRAFFIC_LIGHTS,I18NCode for First Members in Traffic Lights,First Members in Traffic Lights,Pirmieji nariai šviesoforuose,Yes
I18N_FIRST_NAME,I18NCode for First Name label,First Name,Vardas,Yes
I18N_FIRST_YEAR_RETAIN,I18NCode for First Year Retain,First Year,Pirmieji metai,Yes
I18N_FIRST_YEAR_RETENTION,I18NCode for First Year Retention,First Year Retention,Pirmųjų metų išlaikymas,Yes
I18N_FLAG,I18NCode for the flag,Flag,Vėliava,Yes
I18N_FOLLOW_UP,I18NCode for Follow Up Page in Tasks Menu,Follow Up,Stebėti,Yes
I18N_FOR,"i18NCode for ""For""",for,už,Yes
I18N_FOR_SUBSTITUTION,"I18NCode for ""For Substitution""",For Substitution,Dėl pakeitimo,Yes
I18N_FORGOT_PASSWORD_,I18NCode for Forgot Password?,Forgot Password?,Dėl pakeitimo,Yes
I18N_FORMATION,I18NCode for Formation,Formation,Formavimas,Yes
I18N_FORMATIONS,I18NCode for Formations,Formations,Dariniai,Yes
I18N_FORMATS,I18NCode for Formats,Formats,Formatai,Yes
