Code,Description,Default_Translation (en-en),Target_Translation (lv-lv),Has_Translation
I18N_BEST_PRATICES_MESSAGE,I18NCode for Best Pratices Message on page,It is crucial for us to make clear what good practices are necessary for the proper operation of Reporting2You and in this sense we would like you to pay attention to the 10 points shown below:,"Mums ir ļoti svarīgi skaidri norādīt, kāda laba prakse ir nepieciešama pareizai Reporting2You darbībai, un šajā ziņā mēs vēlamies, lai jūs pievērstu uzmanību tālāk norādītajiem 10 punktiem.",Yes
I18N_BEST_PRATICES_NOTE,I18NCode for Best Pratices Note,NOTE: Reporting2You is not responsible for any report based on faulty or incomplete information resulting from noncompliance with any of the points shown above.,"Mums ir ļoti svarīgi skaidri norādīt, kāda laba prakse ir nepieciešama pareizai Reporting2You darbībai, un šajā ziņā mēs vēlamies, lai jūs pievērstu uzmanību tālāk norādītajiem 10 punktiem.",Yes
I18N_BNI_DAYS,I18NCode for BNI Days,BNI Days,BNI dienas,Yes
I18N_BNI_GAME_INFORMATION,I18NCode for Bni Game Information,BNI Game Information,BNI spēles informācija,Yes
I18N_BNI_GAME_NAME,I18NCode for BNI Game Name,BNI Game Name,BNI spēles nosaukums,Yes
I18N_BNI_GAMES,I18NCode for Bni Games Menu,BNI Games,BNI spēles,Yes
I18N_BNI_KPI_VIEW,I18NCode for Bni KPI View,KPI Vision in the Game,BNI spēles,Yes
I18N_BNI_TEAM_NAME,I18NCode for Bni Team Name,Team Name,Komandas nosaukums,Yes
I18N_BNI_TEAM_VIEW,I18NCode for Bni Team View,Bni Teams Vision,Bni Teams Vīzija,Yes
I18N_BROUGHT_NO_VISITOR_ON_LAST,I18NCode for Brought No Visitor On Last,Brought No Visitor On Last,Pēdējais apmeklētājs netika piesaistīts,Yes
I18N_BUSINESS_PROFILE,I18NCode for Business Profile,Business profile,Uzņēmuma profils,Yes
I18N_CANCEL,I18NCode for Cancel,Cancel,Atcelt,Yes
I18N_CANCEL_CANCEL_BUTTON,I18NCode for Cancel Cancel Button,"No, return","Nē, atgriezies",Yes
I18N_CANCEL_CONFIRM_BUTTON,I18NCode for Cancel Confirm Button,"Yes, cancel it!","Jā, atceliet to!",Yes
I18N_CANCEL_MODAL,I18NCode for Cancel Modal,Are you sure you would like to cancel?,Vai tiešām vēlaties atcelt?,Yes
I18N_CANCEL_WARNING_TEXT,I18NCode for Cancel Warning Text,Your form has not been cancelled!,Jūsu veidlapa nav atcelta!,Yes
I18N_CC,I18NCode for #CC,#CC,#CC,Yes
I18N_CC_NONEWMEMBERS_15_DAYS,I18NCode for Core Chapters with no new members in the last 15 days,Core Chapters with no new members in the last 15 days,"Galvenās nodaļas, kurās pēdējo 15 dienu laikā nav neviena jauna dalībnieka",Yes
I18N_CELLPHONE,I18NCode for Cellphone,Cellphone,Mobilais telefons,Yes
I18N_CEU,I18NCode for CEU,CEU,CEU,Yes
I18N_CEU_IS_REQUIRED,I18NCode for CEU is required,Ceu is required,Ceu ir nepieciešams,Yes
I18N_CEU_THE_REGION,I18NCode for CEU The Region,CEU,CEU,Yes
I18N_CHAIR_VALUE,I18NCode for chair value,Chair Value,Krēsla vērtība,Yes
I18N_CHANGE_IMAGE,I18NCode for Change Image,Change image,Mainīt attēlu,Yes
I18N_CHANGE_SEARCH,I18NCode for Change Search Message,Change your search,Mainiet meklēšanu,Yes
I18N_CHANGES_MAKE_MESSAGE,I18NCode for Changes Make Message in Modal Confirmation,Changes successfully saved!,Izmaiņas veiksmīgi saglabātas!,Yes
I18N_CHAPTER_AVG,Chapter AVG,Chapter AVG,Nodaļa AVG,Yes
I18N_CHAPTER_DETAIL_PAGE,I18NCode for Chapter detail page,Chapter Detail Page,Nodaļas detalizēta lapa,Yes
I18N_CHAPTER_GOAL,I18NCode for Chapter Goal,Chapter Goal,nodaļas mērķis,Yes
I18N_CHAPTER_GOAL_EDIT,I18NCode for Chapter Goal Edit,Edit Chapter Goal ,Rediģēt nodaļas mērķi,Yes
I18N_CHAPTER_GOAL_MENU,I18NCode for Chapter Goal Menu,Chapter,nodaļa,Yes
I18N_CHAPTER_HEALTH_FORMATION,I18NCode for Chapter Health & Formation,Chapter Health & Formation,Nodaļa Veselība un veidošanās,Yes
I18N_CHAPTER_IS_REQUIRED,I18NCode for Chapter is required,Chapter is required,Nepieciešama nodaļa,Yes
I18N_CHAPTER_LAUNCH_MONTHS,I18NCode for Chapter Launch Months on tooltip in Kpi Correlation page,Time After Launch,Laiks pēc palaišanas,Yes
I18N_CHAPTER_SINGULAR,I18NCode for Chapter in singular,Chapter,nodaļa,Yes
I18N_CHAPTERS,I18nCode for chapters,Chapters,nodaļas,Yes
I18N_CHAT_GROUP_NAME,I18NCode for Chat group name,Chat group name,Tērzēšanas grupas nosaukums,Yes
I18N_CHAT_PRIVATELY_WITH_A_CONTACT,I18NCode for Chat privately with a contact,Chat privately with a contact,Tērzējiet privāti ar kontaktpersonu,Yes
I18N_CHATS,i18NCode for Chats,chats,tērzēšana,Yes
I18N_CHOOSE_THE_TYPE_OF_CHAT,I18NCode for Choose the type of chat,Choose the type of chat,Izvēlieties tērzēšanas veidu,Yes
I18N_CITY,I18NCode for City,City,Pilsēta,Yes
I18N_CLASSIFICATION,I18N for Member Activity Classification (Category),Category,Kategorija,Yes
I18N_CLEAR_SELECTION,"I18NCode for Clear selection
",Clear selection,Notīrīt atlasi,Yes
I18N_CLICK_BELOW_TO_SELECT,I18NCode for Click below to select,Click below to select,"Noklikšķiniet tālāk, lai atlasītu",Yes
I18N_CLICK_TO_SEND_AN_EMAIL,I18NCode for Click to send an email,Click to send an email,"Noklikšķiniet, lai nosūtītu e-pastu",Yes
I18N_CLOSE,I18Ncode button close,Close,Aizvērt,Yes
I18N_CLOSE_ADVANCED_SEARCH,"I18NCode for Close advanced search
",Close advanced search,Aizvērt izvērsto meklēšanu,Yes
I18N_CLOSE_CONFIRM_BUTTON,I18NCode for Close Confirm Button,"Yes, close it!","Jā, aizveriet!",Yes
I18N_CLOSE_MODAL,I18NCode for Close Modal Text,Are you sure you would like to close?,Vai tiešām vēlaties aizvērt?,Yes
I18N_CLOSED_CHAPTERS,I18NCode for Closed Chapters,Closed,Slēgts,Yes
I18N_CM,I18NCode for #CM,#CM,#CM,Yes
I18N_CODE,,Code,Kods,Yes
I18N_COMPANY,I18NCode for Company,Company,Uzņēmums,Yes
I18N_COMPANY_INFORMATION,I18NCode for Company Information,Company information,Uzņēmuma informācija,Yes
I18N_COMPANY_NAME,I18NCode for Company Name,Company Name,Uzņēmuma nosaukums,Yes
I18N_COMPLETE_THE_ACCOUNT_SETUP_PROCESS_TO_GET_STARTED,I18NCode for Complete the account setup process to get started.,Complete the account setup process to get started,"Lai sāktu, pabeidziet konta iestatīšanas procesu",Yes
I18N_COMPLETED,I18NCode to Completed,Completed,Pabeigts,Yes
I18N_CONFIG,I18NCode for Config,Config,Konfig,Yes
I18N_CONFIGURATION_AND_GAME_PERIOD,I18NCode for Configuration and Game Period,Configuration and Game Period,Konfigurācija un spēles periods,Yes
I18N_CONFIRM_PASSWORD,i18NCode for Confirm Password,Confirm Password,Apstipriniet paroli,Yes
I18N_CONSISTENT_GROWTH,I18NCode for Consistent Growth,Consistent Growth,Pastāvīga izaugsme,Yes
I18N_CONTACT,I18NCode for Contact,Contact,Sazināties,Yes
I18N_CONTACT_DETAILS_OF_OUR_DATA_PROTECTION_OFFICER,I18NCode for Contact details of our Data Protection Officer,Contact details of our Data Protection Officer,Mūsu datu aizsardzības speciālista kontaktinformācija,Yes
I18N_CONTACT_INFORMATION,I18NCode for Contact Information,Contact Information,Kontaktinformācija,Yes
I18N_CONTACT_SPHERE,I18NCode for Contact Sphere,Contact Sphere,Kontakta sfēra,Yes
I18N_CONTACT_SPHERES,I18NCode for Contact Spheres,Contact Spheres,Kontaktu sfēras,Yes
I18N_CONTACT_SPHERES_OPTION_NO_DATA,I18NCode Contact Spheres Option no data,"To activate Contact Spheres Option please send and email to info@reporting2you.com asking to activate it for your region.  By default only DCs and EDs will have access to it, to change it you need to go to Regional Administration\Regional Settings\Reports and set it after it has been activated.","Lai aktivizētu opciju Contact Spheres, lūdzu, nosūtiet un nosūtiet e-pastu uz info@reporting2you.com, aicinot to aktivizēt jūsu reģionā.",Yes
I18N_CONTACT_US,I18NCode for ContactUs,Contact Us,Sazinieties ar mums,Yes
I18N_CONTACTS,I18NCode for Contacts,Contacts,Kontakti,Yes
I18N_CONTENT_MANANGMENT,I18NCodes for Content managment,Content Manangment,Satura pārvaldība,Yes
I18N_CONTEXT,I18NCode for Context,Context,Konteksts,Yes
I18N_CONTEXT_CODE,,Context,Konteksts,Yes
I18N_CONTEXT_DESCRIPTION,,Context description,Konteksta apraksts,Yes
I18N_CONTEXT_NAME,,Context Name,Konteksta nosaukums,Yes
I18N_CONTEXTS,I18NCodes for Contexts,Contexts,Konteksti,Yes
I18N_CONTRACT_DATE,I18NCode for Contract Date,Contract Date,Līguma datums,Yes
I18N_CONV,I18NCode for Conv,Conv.,Reklāmguv.,Yes
I18N_CONVERSION,I18NCode for Conversion,Conversion,Pārvēršana,Yes
I18N_CONVERSION_6_MONTHS,I18NCode Conversion 6 months,Conversion (6 month),Reklāmguvums (6 mēneši),Yes
I18N_CONVERSION_IS_REQUIRED,I18NCode for Conversion is required,Conversion is required,Nepieciešama konvertēšana,Yes
I18N_COOKIE_MANAGEMENT,I18NCode for Cookie management,Cookie management,Sīkdatņu pārvaldība,Yes
I18N_COOKIES_POLICY,I18NCode for Cookies Policy,Cookies Policy,Sīkdatņu politika,Yes
I18N_COORDINATING_TEAM,I18N for Coordinating Team,Coordinating Team,Koordinācijas komanda,Yes
I18N_COPY,I18NCode for Copy,Copy,Kopēt,Yes
I18N_CORE,I18NCode for Core,Core,Kodols,Yes
I18N_CORE_CHAPTER,I18NCode for Core Chapter Caption,Core Chapters,Galvenās nodaļas,Yes
I18N_CORE_CHAPTER_NO_NEW_MEMBER,I18NCode for Core Chapter No New Member,Core Chapter No New Member,Pamatnodaļa Nav jaunu dalībnieku,Yes
I18N_CORE_CHAPTERS_IS_REQUIRED,I18NCode for Core chapters is required,Core chapters is required,Nepieciešamas galvenās nodaļas,Yes
I18N_CORE_CHAPTERS_THE_REGION,I18NCode for Core Chapters The Region,Core Chapters,Galvenās nodaļas,Yes
I18N_CORE_GROUP,I18NCode for Core Group,Core,Kodols,Yes
I18N_CORE_GROUP_MEMBERS,I18NCode for Core Group Members,Core Members,Pamata locekļi,Yes
I18N_CORE_MEMBER,I18NCode for Core Member Caption,Core Members,Pamata locekļi,Yes
I18N_CORE_MEMBERS,I18NCode for Code Members Kpi Graph,Core Members,Pamata locekļi,Yes
I18N_CORE_MEMBERS_IS_REQUIRED,I18NCode for Core members is required,Core Members is required,Nepieciešami galvenie locekļi,Yes
I18N_CORE_MEMBERS_THE_REGION,I18NCode for Core Members The Region,Core Members,Pamata locekļi,Yes
I18N_COUNTRY,I18NCode for Country,Country,Valsts,Yes
I18N_COUNTRY_AVG,I18NCode for Country AVG,Country Avg,Valsts vid,Yes
I18N_COUNTRY_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Country cannot exceed 50 characters,Country cannot exceed 50 characteres,Valsts nedrīkst pārsniegt 50 rakstzīmes,Yes
I18N_COUNTRY_DEVELOPMENT,I18nCode for Country Development,Country Development,Valsts attīstība,Yes
I18N_COUNTRY_EVOLUTION,I18NCode for Country Evolution Page,Country Evolution,Valsts evolūcija,Yes
I18N_COUNTRY_GOAL_EDIT,I18NCode for Country GOAL EDIT,Edit Country Goal,Rediģēt valsts mērķi,Yes
I18N_COUNTRY_GOAL_MENU,I18NCode for Country Goal Menu,Country,Valsts,Yes
I18N_COUNTRY_IS_REQUIRED,I18NCode for Country is required,Country is required,Valsts ir obligāta,Yes
I18N_COUNTRY_LAST_MONTH,I18NCode for Country Last Month,Country Last Month,Valsts pagājušajā mēnesī,Yes
I18N_COUNTRY_TABLE,I18NCode for Country Label,Country,Valsts,Yes
I18N_CREATE,I18NCode for Create,Create,Izveidot,Yes
I18N_CREATE_A_GROUP_FOR_YOUR_CONTACTS,I18NCode for Create a group for your contacts,Create a group chat for your contacts,Izveidojiet grupas tērzēšanu savām kontaktpersonām,Yes
I18N_CREATE_AN_ACCOUNT,I18NCode for Create an Account,Create an account,Izveidojiet kontu,Yes
I18N_CREATE_CHAT,i18NCode for Create Chat,Create chat,Izveidojiet tērzēšanu,Yes
I18N_CREATE_GROUP,I18NCode for Create group,Create group,Izveidot grupu,Yes
I18N_CREATE_NEW_CHAT,I18NCode for Create New Chat,Create New Chat,Izveidojiet jaunu tērzēšanu,Yes
I18N_CREATE_POLL,I18NCode for Create Poll,Create Poll,Izveidot aptauju,Yes
I18N_CREATE_USER_ERROR_MESSAGE,I18NCode for Create User Error Message,"System could not find the profile with this email, please contact our support.","Sistēma nevarēja atrast profilu ar šo e-pastu. Lūdzu, sazinieties ar mūsu atbalsta dienestu.",Yes
I18N_CREATED_AT,,Created at,Izveidots plkst,Yes
I18N_CURRENCY,I18Ncode for currency ,$,$,Yes
I18N_CURRENT,I18NCode for Current,Current,Pašreizējais,Yes
I18N_CURRENT_COUNT,"I18NCode for Current Count
",Current Count,Pašreizējais skaits,Yes
I18N_CURRENT_MONTH,I18NCodefor Current Month,Current Month,Pašreizējais mēnesis,Yes
I18N_CURRENT_MOTH,I18NCode to represent current moth,Current Month,Pašreizējais mēnesis,Yes
I18N_CURRENT_REPORTS,I18NCode for Current Reports,Current reports,Pašreizējie pārskati,Yes
I18N_CURRENT_STATUS,I18NCode for Current Status,Current status,Pašreizējais statuss,Yes
I18N_DA,I18NCode for Area Director,Area Director,Apgabala direktors,Yes
I18N_DA_SHORTNAME_,I18NCode for DA ShortName	,AD,AD,Yes
I18N_DASHBOARDS,I18NCode for dashboards,Dashboard,Informācijas panelis,Yes
I18N_DATA_ANALYSIS,,Data Analysis,Datu analīze,Yes
I18N_DATE,I18NCode for Date,Date,Datums,Yes
I18N_DAYS,I18NCode for Days,Days,Dienas,Yes
I18N_DAYS_TO_END,I18NCode for Days to end,Days till End,Dienas līdz beigām,Yes
I18N_DAYS_TO_START,I18NCode for Days to start,Days to start,Dienas līdz beigām,Yes
I18N_DAYS_TOTAL,I18NCode for Days Total,Total Days,Kopējais dienu skaits,Yes
I18N_DC,I18NCode for Consultant Director,Consultant Director,Direktors konsultants,Yes
I18N_DC_PROFILE,I18NCode for DC,DC,DC,Yes
I18N_DC_SHORTNAME,I18NCode for DC ShortName,CD,CD,Yes
I18N_DC_TOTAL,I18NCode for DC Total,DC,DC,Yes
I18N_DECEMBER,I18NCode for December,December,decembris,Yes
I18N_DEFINE_GOALS__TRACK_AND_IMPROVE_PRODUCTIVITY_AND_MONITORING_INDICATORS_FOR_ALL_,"I18NCode for Define goals, track and improve Productivity and Monitoring indicators for all.","Define goals, track and improve Productivity and Monitoring indicators for all","Definējiet mērķus, izsekojiet un uzlabojiet produktivitātes un uzraudzības rādītājus visiem",Yes
I18N_DEFINED,I18NCode for Defined,defined.,definēts.,Yes
I18N_DEFINED_GOALS,I18NCode for Defined Goals,,,Yes
I18N_DELETE_CANCEL_BUTTON,I18NCode for Delete Cancel Button,"No, cancel","Nē, atcelt",Yes
I18N_DELETE_CHAT,I18NCode for Delete Chat,Delete Chat,Dzēst tērzēšanu,Yes
I18N_DELETE_CHAT_MESSAGE_MODAL,I18NCode for Delete Chat Message Modal,Are you sure you want to delete this chat?,Vai tiešām vēlaties dzēst šo tērzēšanu?,Yes
I18N_DELETE_CONFIRM_BUTTON,I18NCode for Delete Confirm Button,"Yes, delete it!","Jā, izdzēsiet to!",Yes
I18N_DELETE_MESSAGE_MODAL,I18NCode for Delete Message Modal,Are you sure you want to delete this message?,Vai tiešām vēlaties dzēst šo ziņojumu?,Yes
I18N_DELETE_MESSAGE_SUCCESS,I18NCode for Delete Message Success,Message delete with success,Ziņojumu dzēst veiksmīgi,Yes
I18N_DELETE_MODAL,I18NCode for Delete Modal Text,Are you sure you want to delete this item?,Vai tiešām vēlaties dzēst šo vienumu?,Yes
I18N_DELETE_SUCCESS_MODAL,I18NCode for Delete Success Modal Text,Deleted with Success,Izdzēsts ar panākumiem,Yes
I18N_DELETE_WARNING_TEXT,I18NCode for Delete Warning Text,The item was not deleted!,Vienums netika izdzēsts!,Yes
I18N_DEMOTE_TO_MEMBER,"I18NCode for Demote to member
",Demote to member,Pazemināt par dalībnieku,Yes
I18N_DESCRIPTION,,Description,Apraksts,Yes
I18N_DETAILS,I18NCode for details,Details,Sīkāka informācija,Yes
I18N_DEVELOPMENT,I18NCode for Franchise Development,Development,Attīstība,Yes
I18N_DEX,I18NCode for DEX,DEX,DEX,Yes
I18N_DIF,I18NCode for Dif,Dif.,Dif.,Yes
I18N_DIFUSION,I18NCode for Difusion,Difusion,Difūzija,Yes
I18N_DIRECTOR,I18NCode fo Director,Director,Difūzija,Yes
I18N_DIRECTOR_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Director cannot exceed 50 characters,Director cannot exceed 50 characters,Režisors nedrīkst pārsniegt 50 rakstzīmes,Yes
I18N_DIRECTOR_CONSULTANTS,I18NCode for Director Consultants,Director Consultants,Direktoru konsultanti,Yes
I18N_DIRECTOR_DO_NOT_PAY,I18NCode for Director Don´t Pay label,Allow the Director not to pay,Ļaujiet direktoram nemaksāt,Yes
I18N_DIRECTOR_DO_NOT_PAY_MEMBERSHIP,I18NCode for Director Don't Pay Membership,Director Don't Pay Membership,Direktors nemaksā dalību,Yes
I18N_DIRECTOR_GOAL,I18NCode for Director Goal ,Edit Director Goal,Rediģēt direktora mērķi,Yes
I18N_DIRECTOR_GOAL_MENU,I18NCode for Diretor Goals Menu,Director,Direktors,Yes
I18N_DIRECTOR_IS_REQUIRED,I18NCode for Director is required,Director is required,Nepieciešams direktors,Yes
I18N_DIRECTOR_PROFILE_PAGE,I18NCode for Director Profile Page,,,Yes
I18N_DIRECTOR_TYPE,I18NCode for Director Type,Director Type,Režisora tips,Yes
I18N_DIRECTOR_TYPE_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Director Type cannot exceed 50 characters,Director type cannot exceed 50 characters,Režisora veids nedrīkst pārsniegt 50 rakstzīmes,Yes
I18N_DIRECTOR_TYPE_IS_REQUIRED,I18NCode for Director Type is Required,Director type is required,Jānorāda direktora veids,Yes
I18N_DIRECTORS,I18NCode for Directors,Directors,Direktori,Yes
I18N_DISCARD,I18NCode for the discard button,Cancel,Atcelt,Yes
I18N_DO_MEMBERS_HAVE_ACCESS_TO_R2Y,I18NCode for Do members have access to R2Y,Do members have access to R2Y,Vai dalībniekiem ir piekļuve R2Y,Yes
I18N_DOLAR_MEMBER,I18NCode for $ /Member,/Member,/Biedrs,Yes
I18N_DOLAR12M,I18NCode for $ /12m,/12m,/12m,Yes
I18N_DONT_EXIST_MEMBERS,I18NCode for Dont Exist Members,Don't exist members,Neeksistē dalībnieki,Yes
I18N_DOWN,I18NCode for Down,Down,Uz leju,Yes
I18N_DOWNLOAD_COMPLETED,"I18NCode for Download completed
",Download completed,Lejupielāde pabeigta,Yes
I18N_DOWNLOAD_DOCUMENT_HERE,I18NCode for Download Document here,Download the document here,Lejupielādējiet dokumentu šeit,Yes
I18N_DOWNLOAD_FAILED,I18NCode for Download failed,Download failed,Lejupielāde neizdevās,Yes
I18N_DOWNLOADED_SUCCESSFULLY,"I18NCode for Downloaded Successfully

",Downloaded successfully,Veiksmīgi lejupielādēts,Yes
I18N_DROP_TYPE,I18NCode for Drop Type,Drop Type,Piliena veids,Yes
I18N_DROPPED,I18NCode for Dropped,Dropped,Nokrita,Yes
I18N_DROPPED_MEMBERS,I18NCode for Dropped Members,Dropped Members,Atkrituši deputāti,Yes
I18N_DROPPED_MEMBERS_ACTIVE_CHAPTERS,I18NCode for Dropped Members Active Chapters,Dropped Members / Active Chapters,Atmestie dalībnieki / aktīvās nodaļas,Yes
I18N_DROPS,I18NCode for Drops,Drops,Pilieni,Yes
I18N_DROPS_IS_REQUIRED,I18NCode for Drops is required,Drops is required,Nepieciešami pilieni,Yes
I18N_DROPS_THE_REGION,I18NCode for Drops The Region,Drops,Pilieni,Yes
I18N_DROPSS,I18NCode for Drops,Drops,Pilieni,Yes
I18N_DUPLICATE_CONFIRM_BUTTON,I18NCode for Duplicate Confirm Button,"Yes, duplicate!","Jā, dublikāts!",Yes
I18N_DUPLICATE_VALUE,I18NCode for Duplicate Value,Duplicate Value,Dublēta vērtība,Yes
I18N_DURATION_OF_COOKIES,"I18NCode for Duration of cookies
",Duration of cookies,Sīkdatņu ilgums,Yes
I18N_ED,I18NCode for ED,ED,ED,Yes
I18N_EDIT,I18NCode for Edit ,Edit,Rediģēt,Yes
I18N_EDIT_CHAPTER_NAME,I18NCode for Edit Chapter Name,Edit Chapter Name,Rediģēt nodaļas nosaukumu,Yes
I18N_EDIT_MEMBER_NAME,I18NCode for Edit Member Name,Edit Member Name,Rediģēt nodaļas nosaukumu,Yes
I18N_EDIT_REGION_NAME,I18NCode for Edit Region Name,Edit Region Name,Rediģēt reģiona nosaukumu,Yes
I18N_EDIT_TEAM,I18NCode for Edit Team,Editing Team,Rediģēt reģiona nosaukumu,Yes
I18N_EDIT_VALUES,I18NCode for Edit Values,Edit Value,Rediģēt vērtību,Yes
I18N_EL,I18NCode for EL,LT,LT,Yes
I18N_ELECTRONIC_CONTACT,"I18NCode for Electronic contact
",Electronic Contact,Elektroniskā saziņa,Yes
I18N_EMAIL,I18NCode for Email label,Email,E-pasts,Yes
I18N_EMAIL_IS_REQUIRED,I18NCode for Email Is Required,Email is a required field,E-pasts ir obligāts lauks,Yes
I18N_EMAIL_SENT_SUCCESSFULLY,I18NCode for Email Sent Successfully,Email sent successfully!,E-pasts veiksmīgi nosūtīts!,Yes
I18N_EMPTY_TEAM,I18NCode for Empty Team,Empty Team,Tukša komanda,Yes
I18N_EMPTY_TRANSLATIONS,No translations available for the selected item.,No translations available for the selected item.,Atlasītajam vienumam nav pieejams tulkojums.,Yes
I18N_ENABLE_CALCULATIONS,I18NCode for Enable Calculations,Enable Calculations,Iespējot aprēķinus,Yes
I18N_END_DATE,I18NCode for End Date,End Date,Beigu datums,Yes
I18N_END_DATE_IS_REQUIRED,I18NCode for  End Date is required,End date is required,Jānorāda beigu datums,Yes
I18N_ENTER_YOUR_EMAIL_TO_RESET_YOUR_PASSWORD_,"I18NCode for Enter your email to reset your password.
",Enter your email to reset your password,"Ievadiet savu e-pastu, lai atiestatītu paroli",Yes
I18N_ENTREPRISE,I18NCode for hidden row in Upcoming Renewels Page,Company,Uzņēmums,Yes
I18N_EQUAL,I18NCode for Equal,Equal,Vienlīdzīgi,Yes
I18N_ERROR,I18NCode for Error,Error,Kļūda,Yes
I18N_ERROR_PROCESSING_REQUEST,I18NCode for Error Processing Request,Erros processing your request,"Apstrādājot jūsu pieprasījumu, radās kļūda",Yes
I18N_EVENT_NAME,18NCode for Event Name,Event Name,Pasākuma nosaukums,Yes
I18N_EVOLUCAO,I18NCode for Evolution,Evolution,Evolūcija,Yes
I18N_EVOLUTION_REPORT,I18NCode for Evolution Report,Evolution Report,Evolūcijas ziņojums,Yes
I18N_EVOLUTIONS,I18NCode for Evolution page title,Evolutions,Evolūcijas,Yes
I18N_EXCLUDED,I18NCode for Excluded,Excluded,Izslēgts,Yes
I18N_EXECUTIVE_DIRECTOR,I18NCode for Executive Director,Executive Director,Izslēgts,Yes
I18N_EXISTING_REPORTS,I18NCode for Existing Reports,Existing Reports,Esošie pārskati,Yes
I18N_EXIT,I18NCode for Exit,Exit,Iziet,Yes
I18N_EXPIRED,I18NCode for Expired Tasks,Expired,Beidzies derīguma termiņš,Yes
I18N_EXPORT,I18NCode for Export,Export,Eksportēt,Yes
I18N_EXPORT_COPY,I18NCode user for copy  on export dropdown,Copy to clipboard,Kopēt starpliktuvē,Yes
I18N_EXPORT_CSV,I18NCode user for export as csv on dropdown,Export as CSV,Eksportēt kā CSV,Yes
I18N_EXPORT_EVOLUTION_PDF,I18NCode for Export Evolution Pdf Button,Export Evolution PDF,Eksportēt Evolution PDF,Yes
I18N_EXPORT_EXCEL,I18NCode user for export as excel on dropdown,Export as Excel,Eksportēt kā Excel,Yes
I18N_EXPORT_GENERAL_REPORT,I18NCode for Export General Report in Notable Networkers Page,Export General Report,Eksporta vispārīgais ziņojums,Yes
I18N_EXPORT_PDF,I18NCode user for export as pdf on dropdown,Export as PDF,Eksportēt kā PDF,Yes
I18N_EXPORT_REPORT,I18NCode for label on export dropdown,Export Report,Eksporta ziņojums,Yes
I18N_EXPORT_TRANSLATIONS,I18NCode for Export Translations,Export Translations,Eksportēt tulkojumus,Yes
I18N_EXTERNAL,I18NCode for External,External,Ārējais,Yes
I18N_FAILED_TO_CREATE_ACCOUNT,I18NCode for Failed To Create Account,Failed to create account,Neizdevās izveidot kontu,Yes
I18N_FAILED_TO_RESET_PASSWORD,I18NCode for Failed to reset Password,Failed to reset Password,Neizdevās atiestatīt paroli,Yes
I18N_FAILED_TO_SEND_EMAIL,I18NCode for Failed To Send Email,Failed to send email,Neizdevās nosūtīt e-pastu,Yes
I18N_FALLING_MEMBERS,I18NCode for Falling members,Falling,Krīt,Yes
I18N_FAQ_1,I18NCode for Faq 1,"Chapter President shows as ""N/A"", why?","Nodaļas priekšsēdētājs parāda kā ""N/A"", kāpēc?",Yes
I18N_FAQ_1_ANSWER,I18NCode for Faq 1 Answer,"When Chapter Leadership name shows as ""N/A"" it means that his/her email was changed. Need to update his/her email on reporting2you","Ja nodaļas vadītāja vārds tiek rādīts kā ""N/A"", tas nozīmē, ka viņa/viņas e-pasts ir mainīts.",Yes
I18N_FAQ_2,I18NCode for Faq 2,Where can I find Chapter Reports?,Kur es varu atrast nodaļas pārskatus?,Yes
I18N_FAQ_2_ANSWER,I18NCode for Faq 2 Answer,"Go to Reports Menu click the plus sign (""+"") to open Chapters tree and then click on the chapters name, you will get the list of reports from current month to that chapter.<br/> If you want to get a previous report you should click the ""History"" item in the Chapters list and you will be able to get reports from the past 12 month.","Atveriet izvēlni Pārskati noklikšķiniet uz pluszīmes (""+""), lai atvērtu nodaļu koku, un pēc tam noklikšķiniet uz nodaļu nosaukuma, jūs iegūsit pārskatu sarakstu no pašreizējā mēneša līdz šai nodaļai.<br/> Ja vēlaties iegūt iepriekšējo pārskatu, nodaļu sarakstā noklikšķiniet uz vienuma ""Vēsture"", un jūs varēsit iegūt pārskatus par pēdējiem 12 mēnešiem.",Yes
I18N_FAQS,I18NCode for Faqs,Faqs,Bieži uzdotie jautājumi,Yes
I18N_FAST__EFFICIENT_AND_PRODUCTIVE,"I18NCode for Fast, Efficient and Productive
","Fast, Efficient and Productive","Ātri, efektīvi un produktīvi",Yes
I18N_FEBRUARY,I18NCode for February,February,februāris,Yes
I18N_FEE,I18NCode for Fee,Fee,Maksa,Yes
I18N_FILES,I18NCode for Files,Files,Faili,Yes
I18N_FILL,I18NCode for Fill,Fill,Aizpildiet,Yes
I18N_FILL_CHAPTERS,I18NCode for Fill Chapters,Fill Chapters,Aizpildiet nodaļas,Yes
I18N_FILTER,I18NCode for Filter,Filter,Filtrs,Yes
I18N_FILTER_OPTIONS,I18NCode for Filter Options,Filter options,Filtra opcijas,Yes
I18N_FIRST,I18NCode for First,First,Pirmkārt,Yes
I18N_FIRST_MEMBERS_IN_TRAFFIC_LIGHTS,I18NCode for First Members in Traffic Lights,First Members in Traffic Lights,Pirmie dalībnieki luksoforos,Yes
I18N_FIRST_NAME,I18NCode for First Name label,First Name,Vārds,Yes
I18N_FIRST_YEAR_RETAIN,I18NCode for First Year Retain,First Year,Pirmais gads,Yes
I18N_FIRST_YEAR_RETENTION,I18NCode for First Year Retention,First Year Retention,Pirmā gada saglabāšana,Yes
