Code,Description,Default_Translation (en-en),Target_Translation (bg-bg),Has_Translation
I18N_CANCEL_CANCEL_BUTTON,I18NCode for Cancel Cancel Button,"No, return",Отказ,Yes
I18N_CANCEL_CONFIRM_BUTTON,I18NCode for Cancel Confirm Button,"Yes, cancel it!","Да, отмени го!",Yes
I18N_CANCEL_MODAL,I18NCode for Cancel Modal,Are you sure you would like to cancel?,"Сигурни ли сте, че искате да отмените?",Yes
I18N_CANCEL_WARNING_TEXT,I18NCode for Cancel Warning Text,Your form has not been cancelled!,Вашият формуляр не е анулиран!,Yes
I18N_CC,I18NCode for #CC,#CC,#CC,Yes
I18N_CC_NONEWMEMBERS_15_DAYS,I18NCode for Core Chapters with no new members in the last 15 days,Core Chapters with no new members in the last 15 days,Основни глави без нови членове през последните 15 дни,Yes
I18N_CELLPHONE,I18NCode for Cellphone,Cellphone,Мобилен телефон,Yes
I18N_CEU,I18NCode for CEU,CEU,CEU,Yes
I18N_CEU_IS_REQUIRED,I18NCode for CEU is required,Ceu is required,Изисква се Ceu,Yes
I18N_CEU_THE_REGION,I18NCode for CEU The Region,CEU,CEU,Yes
I18N_CHAIR_VALUE,I18NCode for chair value,Chair Value,Стойност на стола,Yes
I18N_CHANGE_IMAGE,I18NCode for Change Image,Change image,Промяна на изображението,Yes
I18N_CHANGE_SEARCH,I18NCode for Change Search Message,Change your search,Променете търсенето си,Yes
I18N_CHANGES_MAKE_MESSAGE,I18NCode for Changes Make Message in Modal Confirmation,Changes successfully saved!,Промените са запазени успешно!,Yes
I18N_CHAPTER_AVG,Chapter AVG,Chapter AVG,Глава AVG,Yes
I18N_CHAPTER_DETAIL_PAGE,I18NCode for Chapter detail page,Chapter Detail Page,Страница с подробности за глава,Yes
I18N_CHAPTER_GOAL,I18NCode for Chapter Goal,Chapter Goal,Глава Цел,Yes
I18N_CHAPTER_GOAL_EDIT,I18NCode for Chapter Goal Edit,Edit Chapter Goal ,Редактиране на целта на глава,Yes
I18N_CHAPTER_GOAL_MENU,I18NCode for Chapter Goal Menu,Chapter,Глава,Yes
I18N_CHAPTER_HEALTH_FORMATION,I18NCode for Chapter Health & Formation,Chapter Health & Formation,Глава Здраве и формиране,Yes
I18N_CHAPTER_IS_REQUIRED,I18NCode for Chapter is required,Chapter is required,Изисква се глава,Yes
I18N_CHAPTER_LAUNCH_MONTHS,I18NCode for Chapter Launch Months on tooltip in Kpi Correlation page,Time After Launch,Време след стартиране,Yes
I18N_CHAPTER_SINGULAR,I18NCode for Chapter in singular,Chapter,Глава,Yes
I18N_CHAPTERS,I18nCode for chapters,Chapters,глави,Yes
I18N_CHAT_GROUP_NAME,I18NCode for Chat group name,Chat group name,Име на групата за чат,Yes
I18N_CHAT_PRIVATELY_WITH_A_CONTACT,I18NCode for Chat privately with a contact,Chat privately with a contact,Разговаряйте насаме с контакт,Yes
I18N_CHATS,i18NCode for Chats,chats,чатове,Yes
I18N_CHOOSE_THE_TYPE_OF_CHAT,I18NCode for Choose the type of chat,Choose the type of chat,Изберете типа чат,Yes
I18N_CITY,I18NCode for City,City,град,Yes
I18N_CLASSIFICATION,I18N for Member Activity Classification (Category),Category,Категория,Yes
I18N_CLEAR_SELECTION,"I18NCode for Clear selection
",Clear selection,Изчистване на селекцията,Yes
I18N_CLICK_BELOW_TO_SELECT,I18NCode for Click below to select,Click below to select,"Кликнете по-долу, за да изберете",Yes
I18N_CLICK_TO_SEND_AN_EMAIL,I18NCode for Click to send an email,Click to send an email,"Кликнете, за да изпратите имейл",Yes
I18N_CLOSE,I18Ncode button close,Close,затвори,Yes
I18N_CLOSE_ADVANCED_SEARCH,"I18NCode for Close advanced search
",Close advanced search,Затваряне на разширено търсене,Yes
I18N_CLOSE_CONFIRM_BUTTON,I18NCode for Close Confirm Button,"Yes, close it!","Да, затвори го!",Yes
I18N_CLOSE_MODAL,I18NCode for Close Modal Text,Are you sure you would like to close?,"Сигурни ли сте, че искате да затворите?",Yes
I18N_CLOSED_CHAPTERS,I18NCode for Closed Chapters,Closed,Затворено,Yes
I18N_CM,I18NCode for #CM,#CM,#CM,Yes
I18N_CODE,,Code,Код,Yes
I18N_COMPANY,I18NCode for Company,Company,Компания,Yes
I18N_COMPANY_INFORMATION,I18NCode for Company Information,Company information,Фирмена информация,Yes
I18N_COMPANY_NAME,I18NCode for Company Name,Company Name,Име на компанията,Yes
I18N_COMPLETE_THE_ACCOUNT_SETUP_PROCESS_TO_GET_STARTED,I18NCode for Complete the account setup process to get started.,Complete the account setup process to get started,"Завършете процеса на настройка на акаунта, за да започнете",Yes
I18N_COMPLETED,I18NCode to Completed,Completed,Завършено,Yes
I18N_CONFIG,I18NCode for Config,Config,Конфиг,Yes
I18N_CONFIGURATION_AND_GAME_PERIOD,I18NCode for Configuration and Game Period,Configuration and Game Period,Период на конфигурация и игра,Yes
I18N_CONFIRM_PASSWORD,i18NCode for Confirm Password,Confirm Password,,Yes
I18N_CONSISTENT_GROWTH,I18NCode for Consistent Growth,Consistent Growth,Последователен растеж,Yes
I18N_CONTACT,I18NCode for Contact,Contact,Контакт,Yes
I18N_CONTACT_DETAILS_OF_OUR_DATA_PROTECTION_OFFICER,I18NCode for Contact details of our Data Protection Officer,Contact details of our Data Protection Officer,Данни за контакт с нашия служител по защита на данните,Yes
I18N_CONTACT_INFORMATION,I18NCode for Contact Information,Contact Information,Информация за контакт,Yes
I18N_CONTACT_SPHERE,I18NCode for Contact Sphere,Contact Sphere,Сфера за контакт,Yes
I18N_CONTACT_SPHERES,I18NCode for Contact Spheres,Contact Spheres,Контактни сфери,Yes
I18N_CONTACT_SPHERES_OPTION_NO_DATA,I18NCode Contact Spheres Option no data,"To activate Contact Spheres Option please send and email to info@reporting2you.com asking to activate it for your region.  By default only DCs and EDs will have access to it, to change it you need to go to Regional Administration\Regional Settings\Reports and set it after it has been activated.","За да активирате опцията Contact Spheres, моля, изпратете имейл до info@reporting2you.com с молба да я активирате за вашия регион.",Yes
I18N_CONTACT_US,I18NCode for ContactUs,Contact Us,Свържете се с нас,Yes
I18N_CONTACTS,I18NCode for Contacts,Contacts,Контакти,Yes
I18N_CONTENT_MANANGMENT,I18NCodes for Content managment,Content Manangment,Управление на съдържанието,Yes
I18N_CONTEXT,I18NCode for Context,Context,Контекст,Yes
I18N_CONTEXT_CODE,,Context,Контекст,Yes
I18N_CONTEXT_DESCRIPTION,,Context description,Описание на контекста,Yes
I18N_CONTEXT_NAME,,Context Name,Име на контекста,Yes
I18N_CONTEXTS,I18NCodes for Contexts,Contexts,Контексти,Yes
I18N_CONTRACT_DATE,I18NCode for Contract Date,Contract Date,Дата на договора,Yes
I18N_CONV,I18NCode for Conv,Conv.,Реал.,Yes
I18N_CONVERSION,I18NCode for Conversion,Conversion,Преобразуване,Yes
I18N_CONVERSION_6_MONTHS,I18NCode Conversion 6 months,Conversion (6 month),Преобразуване (6 месеца),Yes
I18N_CONVERSION_IS_REQUIRED,I18NCode for Conversion is required,Conversion is required,Изисква се преобразуване,Yes
I18N_COOKIE_MANAGEMENT,I18NCode for Cookie management,Cookie management,Управление на бисквитки,Yes
I18N_COOKIES_POLICY,I18NCode for Cookies Policy,Cookies Policy,Политика за бисквитки,Yes
I18N_COORDINATING_TEAM,I18N for Coordinating Team,Coordinating Team,Координационен екип,Yes
I18N_COPY,I18NCode for Copy,Copy,копие,Yes
I18N_CORE,I18NCode for Core,Core,Ядро,Yes
I18N_CORE_CHAPTER,I18NCode for Core Chapter Caption,Core Chapters,Основни глави,Yes
I18N_CORE_CHAPTER_NO_NEW_MEMBER,I18NCode for Core Chapter No New Member,Core Chapter No New Member,Основна глава Няма нов член,Yes
I18N_CORE_CHAPTERS_IS_REQUIRED,I18NCode for Core chapters is required,Core chapters is required,Необходими са основни глави,Yes
I18N_CORE_CHAPTERS_THE_REGION,I18NCode for Core Chapters The Region,Core Chapters,Основни глави,Yes
I18N_CORE_GROUP,I18NCode for Core Group,Core,Ядро,Yes
I18N_CORE_GROUP_MEMBERS,I18NCode for Core Group Members,Core Members,Основни членове,Yes
I18N_CORE_MEMBER,I18NCode for Core Member Caption,Core Members,Основни членове,Yes
I18N_CORE_MEMBERS,I18NCode for Code Members Kpi Graph,Core Members,Основни членове,Yes
I18N_CORE_MEMBERS_IS_REQUIRED,I18NCode for Core members is required,Core Members is required,Необходими са основни членове,Yes
I18N_CORE_MEMBERS_THE_REGION,I18NCode for Core Members The Region,Core Members,Основни членове,Yes
I18N_COUNTRY,I18NCode for Country,Country,държава,Yes
I18N_COUNTRY_AVG,I18NCode for Country AVG,Country Avg,Ср,Yes
I18N_COUNTRY_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Country cannot exceed 50 characters,Country cannot exceed 50 characteres,Държавата не може да надвишава 50 знака,Yes
I18N_COUNTRY_DEVELOPMENT,I18nCode for Country Development,Country Development,Развитие на страната,Yes
I18N_COUNTRY_EVOLUTION,I18NCode for Country Evolution Page,Country Evolution,Еволюция на страната,Yes
I18N_COUNTRY_GOAL_EDIT,I18NCode for Country GOAL EDIT,Edit Country Goal,Редактиране на цел за държава,Yes
I18N_COUNTRY_GOAL_MENU,I18NCode for Country Goal Menu,Country,държава,Yes
I18N_COUNTRY_IS_REQUIRED,I18NCode for Country is required,Country is required,Изисква се държава,Yes
I18N_COUNTRY_LAST_MONTH,I18NCode for Country Last Month,Country Last Month,Държава миналия месец,Yes
I18N_COUNTRY_TABLE,I18NCode for Country Label,Country,държава,Yes
I18N_CREATE,I18NCode for Create,Create,Създавайте,Yes
I18N_CREATE_A_GROUP_FOR_YOUR_CONTACTS,I18NCode for Create a group for your contacts,Create a group chat for your contacts,Създайте групов чат за вашите контакти,Yes
I18N_CREATE_AN_ACCOUNT,I18NCode for Create an Account,Create an account,Създайте акаунт,Yes
I18N_CREATE_CHAT,i18NCode for Create Chat,Create chat,Създайте чат,Yes
I18N_CREATE_GROUP,I18NCode for Create group,Create group,Създайте група,Yes
I18N_CREATE_NEW_CHAT,I18NCode for Create New Chat,Create New Chat,Създаване на нов чат,Yes
I18N_CREATE_POLL,I18NCode for Create Poll,Create Poll,Създаване на анкета,Yes
I18N_CREATE_USER_ERROR_MESSAGE,I18NCode for Create User Error Message,"System could not find the profile with this email, please contact our support.","Системата не можа да намери профила с този имейл, моля, свържете се с нашата поддръжка.",Yes
I18N_CREATED_AT,,Created at,"Системата не можа да намери профила с този имейл, моля, свържете се с нашата поддръжка.",Yes
I18N_CURRENCY,I18Ncode for currency ,$,$,Yes
I18N_CURRENT,I18NCode for Current,Current,Текущ,Yes
I18N_CURRENT_COUNT,"I18NCode for Current Count
",Current Count,Текущ брой,Yes
I18N_CURRENT_MONTH,I18NCodefor Current Month,Current Month,Текущ месец,Yes
I18N_CURRENT_MOTH,I18NCode to represent current moth,Current Month,Текущ месец,Yes
I18N_CURRENT_REPORTS,I18NCode for Current Reports,Current reports,Текущи отчети,Yes
I18N_CURRENT_STATUS,I18NCode for Current Status,Current status,Текущо състояние,Yes
I18N_DA,I18NCode for Area Director,Area Director,Областен директор,Yes
I18N_DA_SHORTNAME_,I18NCode for DA ShortName	,AD,AD,Yes
I18N_DASHBOARDS,I18NCode for dashboards,Dashboard,Табло за управление,Yes
I18N_DATA_ANALYSIS,,Data Analysis,Анализ на данни,Yes
I18N_DATE,I18NCode for Date,Date,Дата,Yes
I18N_DAYS,I18NCode for Days,Days,Дни,Yes
I18N_DAYS_TO_END,I18NCode for Days to end,Days till End,Дни до края,Yes
I18N_DAYS_TO_START,I18NCode for Days to start,Days to start,Дни за начало,Yes
I18N_DAYS_TOTAL,I18NCode for Days Total,Total Days,Общо дни,Yes
I18N_DC,I18NCode for Consultant Director,Consultant Director,Директор консултант,Yes
I18N_DC_PROFILE,I18NCode for DC,DC,DC,Yes
I18N_DC_SHORTNAME,I18NCode for DC ShortName,CD,CD,Yes
I18N_DC_TOTAL,I18NCode for DC Total,DC,DC,Yes
I18N_DECEMBER,I18NCode for December,December,декември,Yes
I18N_DEFINE_GOALS__TRACK_AND_IMPROVE_PRODUCTIVITY_AND_MONITORING_INDICATORS_FOR_ALL_,"I18NCode for Define goals, track and improve Productivity and Monitoring indicators for all.","Define goals, track and improve Productivity and Monitoring indicators for all","Дефинирайте цели, проследявайте и подобрявайте показателите за продуктивност и мониторинг за всички",Yes
I18N_DEFINED,I18NCode for Defined,defined.,дефинирани.,Yes
I18N_DEFINED_GOALS,I18NCode for Defined Goals,,,Yes
I18N_DELETE_CANCEL_BUTTON,I18NCode for Delete Cancel Button,"No, cancel","Не, отмени",Yes
I18N_DELETE_CHAT,I18NCode for Delete Chat,Delete Chat,Изтриване на чат,Yes
I18N_DELETE_CHAT_MESSAGE_MODAL,I18NCode for Delete Chat Message Modal,Are you sure you want to delete this chat?,"Сигурни ли сте, че искате да изтриете този чат?",Yes
I18N_DELETE_CONFIRM_BUTTON,I18NCode for Delete Confirm Button,"Yes, delete it!","Да, изтрий го!",Yes
I18N_DELETE_MESSAGE_MODAL,I18NCode for Delete Message Modal,Are you sure you want to delete this message?,"Сигурни ли сте, че искате да изтриете това съобщение?",Yes
I18N_DELETE_MESSAGE_SUCCESS,I18NCode for Delete Message Success,Message delete with success,Съобщението се изтрива успешно,Yes
I18N_DELETE_MODAL,I18NCode for Delete Modal Text,Are you sure you want to delete this item?,"Сигурни ли сте, че искате да изтриете този елемент?",Yes
I18N_DELETE_SUCCESS_MODAL,I18NCode for Delete Success Modal Text,Deleted with Success,Изтрито с успех,Yes
I18N_DELETE_WARNING_TEXT,I18NCode for Delete Warning Text,The item was not deleted!,Артикулът не е изтрит!,Yes
I18N_DEMOTE_TO_MEMBER,"I18NCode for Demote to member
",Demote to member,Понижаване до член,Yes
I18N_DESCRIPTION,,Description,Описание,Yes
I18N_DETAILS,I18NCode for details,Details,Подробности,Yes
I18N_DEVELOPMENT,I18NCode for Franchise Development,Development,развитие,Yes
I18N_DEX,I18NCode for DEX,DEX,DEX,Yes
I18N_DIF,I18NCode for Dif,Dif.,Диф.,Yes
I18N_DIFUSION,I18NCode for Difusion,Difusion,Дифузия,Yes
I18N_DIRECTOR,I18NCode fo Director,Director,Директор,Yes
I18N_DIRECTOR_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Director cannot exceed 50 characters,Director cannot exceed 50 characters,Директорът не може да надвишава 50 знака,Yes
I18N_DIRECTOR_CONSULTANTS,I18NCode for Director Consultants,Director Consultants,Директор консултанти,Yes
I18N_DIRECTOR_DO_NOT_PAY,I18NCode for Director Don´t Pay label,Allow the Director not to pay,Позволете на директора да не плаща,Yes
I18N_DIRECTOR_DO_NOT_PAY_MEMBERSHIP,I18NCode for Director Don't Pay Membership,Director Don't Pay Membership,Директорът не плаща членство,Yes
I18N_DIRECTOR_GOAL,I18NCode for Director Goal ,Edit Director Goal,Редактиране на режисьорската цел,Yes
I18N_DIRECTOR_GOAL_MENU,I18NCode for Diretor Goals Menu,Director,Директор,Yes
I18N_DIRECTOR_IS_REQUIRED,I18NCode for Director is required,Director is required,Изисква се директор,Yes
I18N_DIRECTOR_PROFILE_PAGE,I18NCode for Director Profile Page,,,Yes
I18N_DIRECTOR_TYPE,I18NCode for Director Type,Director Type,Тип директор,Yes
I18N_DIRECTOR_TYPE_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Director Type cannot exceed 50 characters,Director type cannot exceed 50 characters,Типът директор не може да надвишава 50 знака,Yes
I18N_DIRECTOR_TYPE_IS_REQUIRED,I18NCode for Director Type is Required,Director type is required,Изисква се тип директор,Yes
I18N_DIRECTORS,I18NCode for Directors,Directors,директори,Yes
I18N_DISCARD,I18NCode for the discard button,Cancel,Отказ,Yes
I18N_DO_MEMBERS_HAVE_ACCESS_TO_R2Y,I18NCode for Do members have access to R2Y,Do members have access to R2Y,Членовете имат ли достъп до R2Y,Yes
I18N_DOLAR_MEMBER,I18NCode for $ /Member,/Member,/Член,Yes
I18N_DOLAR12M,I18NCode for $ /12m,/12m,/12м,Yes
I18N_DONT_EXIST_MEMBERS,I18NCode for Dont Exist Members,Don't exist members,Не съществуващи членове,Yes
I18N_DOWN,I18NCode for Down,Down,Надолу,Yes
I18N_DOWNLOAD_COMPLETED,"I18NCode for Download completed
",Download completed,Изтеглянето завърши,Yes
I18N_DOWNLOAD_DOCUMENT_HERE,I18NCode for Download Document here,Download the document here,Изтеглете документа тук,Yes
I18N_DOWNLOAD_FAILED,I18NCode for Download failed,Download failed,Неуспешно изтегляне,Yes
I18N_DOWNLOADED_SUCCESSFULLY,"I18NCode for Downloaded Successfully

",Downloaded successfully,Изтеглено успешно,Yes
I18N_DROP_TYPE,I18NCode for Drop Type,Drop Type,Тип капка,Yes
I18N_DROPPED,I18NCode for Dropped,Dropped,Изпуснат,Yes
I18N_DROPPED_MEMBERS,I18NCode for Dropped Members,Dropped Members,Отпаднали членове,Yes
I18N_DROPPED_MEMBERS_ACTIVE_CHAPTERS,I18NCode for Dropped Members Active Chapters,Dropped Members / Active Chapters,Отпаднали членове / Активни глави,Yes
I18N_DROPS,I18NCode for Drops,Drops,Капки,Yes
I18N_DROPS_IS_REQUIRED,I18NCode for Drops is required,Drops is required,Необходими са капки,Yes
I18N_DROPS_THE_REGION,I18NCode for Drops The Region,Drops,Капки,Yes
I18N_DROPSS,I18NCode for Drops,Drops,Капки,Yes
I18N_DUPLICATE_CONFIRM_BUTTON,I18NCode for Duplicate Confirm Button,"Yes, duplicate!","Да, дубликат!",Yes
I18N_DUPLICATE_VALUE,I18NCode for Duplicate Value,Duplicate Value,Дублирана стойност,Yes
I18N_DURATION_OF_COOKIES,"I18NCode for Duration of cookies
",Duration of cookies,Продължителност на бисквитките,Yes
I18N_ED,I18NCode for ED,ED,ЕД,Yes
I18N_EDIT,I18NCode for Edit ,Edit,Редактиране,Yes
I18N_EDIT_CHAPTER_NAME,I18NCode for Edit Chapter Name,Edit Chapter Name,Редактиране на името на глава,Yes
I18N_EDIT_MEMBER_NAME,I18NCode for Edit Member Name,Edit Member Name,Редактиране на име на член,Yes
I18N_EDIT_REGION_NAME,I18NCode for Edit Region Name,Edit Region Name,Редактиране на името на региона,Yes
I18N_EDIT_TEAM,I18NCode for Edit Team,Editing Team,Екип за редактиране,Yes
I18N_EDIT_VALUES,I18NCode for Edit Values,Edit Value,Редактиране на стойност,Yes
I18N_EL,I18NCode for EL,LT,LT,Yes
I18N_ELECTRONIC_CONTACT,"I18NCode for Electronic contact
",Electronic Contact,Електронен контакт,Yes
I18N_EMAIL,I18NCode for Email label,Email,Имейл,Yes
I18N_EMAIL_IS_REQUIRED,I18NCode for Email Is Required,Email is a required field,Имейлът е задължително поле,Yes
I18N_EMAIL_SENT_SUCCESSFULLY,I18NCode for Email Sent Successfully,Email sent successfully!,Имейлът е изпратен успешно!,Yes
I18N_EMPTY_TEAM,I18NCode for Empty Team,Empty Team,Празен отбор,Yes
I18N_EMPTY_TRANSLATIONS,No translations available for the selected item.,No translations available for the selected item.,Няма налични преводи за избрания елемент.,Yes
I18N_ENABLE_CALCULATIONS,I18NCode for Enable Calculations,Enable Calculations,Активиране на изчисленията,Yes
I18N_END_DATE,I18NCode for End Date,End Date,Крайна дата,Yes
I18N_END_DATE_IS_REQUIRED,I18NCode for  End Date is required,End date is required,Изисква се крайна дата,Yes
I18N_ENTER_YOUR_EMAIL_TO_RESET_YOUR_PASSWORD_,"I18NCode for Enter your email to reset your password.
",Enter your email to reset your password,"Въведете своя имейл, за да нулирате паролата си",Yes
I18N_ENTREPRISE,I18NCode for hidden row in Upcoming Renewels Page,Company,Компания,Yes
I18N_EQUAL,I18NCode for Equal,Equal,Равен,Yes
I18N_ERROR,I18NCode for Error,Error,Грешка,Yes
I18N_ERROR_PROCESSING_REQUEST,I18NCode for Error Processing Request,Erros processing your request,Грешка при обработката на вашата заявка,Yes
I18N_EVENT_NAME,18NCode for Event Name,Event Name,Име на събитието,Yes
I18N_EVOLUCAO,I18NCode for Evolution,Evolution,Еволюция,Yes
I18N_EVOLUTION_REPORT,I18NCode for Evolution Report,Evolution Report,Доклад за еволюцията,Yes
I18N_EVOLUTIONS,I18NCode for Evolution page title,Evolutions,Еволюции,Yes
I18N_EXCLUDED,I18NCode for Excluded,Excluded,Изключено,Yes
I18N_EXECUTIVE_DIRECTOR,I18NCode for Executive Director,Executive Director,Изпълнителен директор,Yes
I18N_EXISTING_REPORTS,I18NCode for Existing Reports,Existing Reports,Съществуващи отчети,Yes
I18N_EXIT,I18NCode for Exit,Exit,Изход,Yes
I18N_EXPIRED,I18NCode for Expired Tasks,Expired,Изтекъл,Yes
I18N_EXPORT,I18NCode for Export,Export,Експортиране,Yes
I18N_EXPORT_COPY,I18NCode user for copy  on export dropdown,Copy to clipboard,Копиране в клипборда,Yes
I18N_EXPORT_CSV,I18NCode user for export as csv on dropdown,Export as CSV,Експортиране като CSV,Yes
I18N_EXPORT_EVOLUTION_PDF,I18NCode for Export Evolution Pdf Button,Export Evolution PDF,Експортиране на Evolution PDF,Yes
I18N_EXPORT_EXCEL,I18NCode user for export as excel on dropdown,Export as Excel,Експортиране като Excel,Yes
I18N_EXPORT_GENERAL_REPORT,I18NCode for Export General Report in Notable Networkers Page,Export General Report,Общ отчет за експортиране,Yes
I18N_EXPORT_PDF,I18NCode user for export as pdf on dropdown,Export as PDF,Експортиране като PDF,Yes
I18N_EXPORT_REPORT,I18NCode for label on export dropdown,Export Report,Доклад за експортиране,Yes
I18N_EXPORT_TRANSLATIONS,I18NCode for Export Translations,Export Translations,Експортиране на преводи,Yes
I18N_EXTERNAL,I18NCode for External,External,Външен,Yes
I18N_FAILED_TO_CREATE_ACCOUNT,I18NCode for Failed To Create Account,Failed to create account,Неуспешно създаване на акаунт,Yes
I18N_FAILED_TO_RESET_PASSWORD,I18NCode for Failed to reset Password,Failed to reset Password,Неуспешно задаване на парола,Yes
I18N_FAILED_TO_SEND_EMAIL,I18NCode for Failed To Send Email,Failed to send email,Неуспешно изпращане на имейл,Yes
I18N_FALLING_MEMBERS,I18NCode for Falling members,Falling,падане,Yes
I18N_FAQ_1,I18NCode for Faq 1,"Chapter President shows as ""N/A"", why?","Президентът на глава се показва като „N/A“, защо?",Yes
I18N_FAQ_1_ANSWER,I18NCode for Faq 1 Answer,"When Chapter Leadership name shows as ""N/A"" it means that his/her email was changed. Need to update his/her email on reporting2you","Когато името на ръководството на глава се показва като „N/A“, това означава, че неговият/нейният имейл е променен.",Yes
I18N_FAQ_2,I18NCode for Faq 2,Where can I find Chapter Reports?,Къде мога да намеря Chapter Reports?,Yes
I18N_FAQ_2_ANSWER,I18NCode for Faq 2 Answer,"Go to Reports Menu click the plus sign (""+"") to open Chapters tree and then click on the chapters name, you will get the list of reports from current month to that chapter.<br/> If you want to get a previous report you should click the ""History"" item in the Chapters list and you will be able to get reports from the past 12 month.","Отидете в менюто ""Отчети"", щракнете върху знака плюс (""+""), за да отворите дървото на главите и след това щракнете върху името на главите, ще получите списък с отчети от текущия месец до тази глава.<br/> Ако искате да получите предишен отчет, трябва да щракнете върху елемента ""История"" в списъка с глави и ще можете да получите отчети от последните 12 месеца.",Yes
I18N_FAQS,I18NCode for Faqs,Faqs,Често задавани въпроси,Yes
I18N_FAST__EFFICIENT_AND_PRODUCTIVE,"I18NCode for Fast, Efficient and Productive
","Fast, Efficient and Productive","Бързо, ефикасно и продуктивно",Yes
I18N_FEBRUARY,I18NCode for February,February,февруари,Yes
I18N_FEE,I18NCode for Fee,Fee,Такса,Yes
I18N_FILES,I18NCode for Files,Files,файлове,Yes
I18N_FILL,I18NCode for Fill,Fill,Напълнете,Yes
I18N_FILL_CHAPTERS,I18NCode for Fill Chapters,Fill Chapters,Попълване на глави,Yes
I18N_FILTER,I18NCode for Filter,Filter,Филтър,Yes
I18N_FILTER_OPTIONS,I18NCode for Filter Options,Filter options,Опции за филтриране,Yes
I18N_FIRST,I18NCode for First,First,Първо,Yes
I18N_FIRST_MEMBERS_IN_TRAFFIC_LIGHTS,I18NCode for First Members in Traffic Lights,First Members in Traffic Lights,Първи членове в Светофари,Yes
I18N_FIRST_NAME,I18NCode for First Name label,First Name,Първо име,Yes
I18N_FIRST_YEAR_RETAIN,I18NCode for First Year Retain,First Year,Първа година,Yes
I18N_FIRST_YEAR_RETENTION,I18NCode for First Year Retention,First Year Retention,Задържане през първата година,Yes
I18N_FLAG,I18NCode for the flag,Flag,Флаг,Yes
I18N_FOLLOW_UP,I18NCode for Follow Up Page in Tasks Menu,Follow Up,Последване,Yes
I18N_FOR,"i18NCode for ""For""",for,за,Yes
I18N_FOR_SUBSTITUTION,"I18NCode for ""For Substitution""",For Substitution,За заместване,Yes
I18N_FORGOT_PASSWORD_,I18NCode for Forgot Password?,Forgot Password?,Забравена парола?,Yes
I18N_FORMATION,I18NCode for Formation,Formation,Формиране,Yes
I18N_FORMATIONS,I18NCode for Formations,Formations,Формации,Yes
I18N_FORMATS,I18NCode for Formats,Formats,Формати,Yes
I18N_FRANCHISE,I18NCode for Franchise,Franchise,Франчайз,Yes
I18N_FROM,I18Code for From,From,от,Yes
I18N_FUNCTIONAL_COOKIES,"I18NCode for Functional cookies
",Functional cookies,Функционални бисквитки,Yes
I18N_FUTURE_RENEWALS,I18NCode for Future Renewals,Future Renewals,Бъдещи подновявания,Yes
I18N_GAME_RESULT,I18NCode for Game Result,Game result for,Резултат от играта за,Yes
I18N_GAMES,I18NCode for Games,Games,игри,Yes
I18N_GENERATE,I18NCode for Generate,Generate,Генерирай,Yes
I18N_GENERATE_TEAMS,I18NCode for Generate Teams,Automatically generate teams,Автоматично генериране на екипи,Yes
I18N_GET_DEFAULT,I18NCode for Get Default,Get Default,Вземи по подразбиране,Yes
I18N_GIVE_NO_REFERRALS_ON_LAST,I18NCode for Give No Referrals On Last,Give No Referrals On Last,Не давайте препоръки на последно,Yes
I18N_GIVEN_BUSINESS,I18NCode for Given Business Chart,Given Business,Даден бизнес,Yes
I18N_GIVEN_REFERRALS,I18NCode for Given Referrals Chart,Given Referrals,Дадени препоръки,Yes
I18N_GOAL,I18NCode for Goal,Goal,гол,Yes
I18N_GOAL_ABREV,I18NCode for Goal,Goal,гол,Yes
I18N_GOAL_ABSENTISM_TOOLTIP,I18NCode for Goal Absentism Tooltip,Expected absence at the end of the period (ex: 2.5),Очаквано отсъствие в края на периода (напр.: 2.5),Yes
I18N_GOAL_CEU_TOOLTIP,I18Ncode for Goal Ceu Tooltip,Chapter Education Units/member/week,Глава Образователни единици/член/седмица,Yes
I18N_GOAL_CONVERSIONTOOLTIP,I18NCode for Goal ConversionTooltip,Average Conversion (ex: 17.5),"Средна реализация (напр.: 17,5)",Yes
I18N_GOAL_ENTRIES_TOOLTIP,I18NCode for Goal Entries Tooltip,Number of expected new members in the period for all the context,Брой очаквани нови членове за периода за целия контекст,Yes
I18N_GOAL_EXIT_TOOLTIP,I18NNCode for Goal Exit Tooltip,Number of expected dropouts in the period for all the context,Брой очаквани отпаднали през периода за целия контекст,Yes
I18N_GOAL_OTO_TOOLTIP,I18NCode for Goal oto Tooltip,1-2-1s/member/month,1-2-1s/член/месец,Yes
I18N_GOAL_REFERRALS_TOOLTIP,I18NCode for Goal Referrals Tooltip,Referrals/member/week,Реферали/член/седмица,Yes
I18N_GOAL_RENEWALS,I18NCode for Goal Renewals in graphic,Renewals Goal,Цел за подновяване,Yes
I18N_GOAL_RENOVATION_TOOLTIP,I18NCode for Goal Renovation Tooltip,Total submitted renewals at the end of the period,Общо подадени подновявания в края на периода,Yes
I18N_GOAL_RETENTIONTOOLTIP,Goal RetentionTooltip,Desired Retention at the end of the period (ex: 70),Желано задържане в края на периода (напр.: 70),Yes
