Code,Description,Default_Translation (en-en),Target_Translation (pl-pl),Has_Translation
I18N_BEST_PRATICES_NOTE,I18NCode for Best Pratices Note,NOTE: Reporting2You is not responsible for any report based on faulty or incomplete information resulting from noncompliance with any of the points shown above.,UWAGA: Reporting2You nie ponosi odpowiedzialności za jakiekolwiek raporty oparte na błędnych lub niekompletnych informacjach wynikających z nieprzestrzegania któregokolwiek z punktów wskazanych powyżej.,Yes
I18N_BNI_DAYS,I18NCode for BNI Days,BNI Days,Dni BNI,Yes
I18N_BNI_GAME_INFORMATION,I18NCode for Bni Game Information,BNI Game Information,Informacje o grze BNI,Yes
I18N_BNI_GAME_NAME,I18NCode for BNI Game Name,BNI Game Name,Nazwa gry BNI,Yes
I18N_BNI_GAMES,I18NCode for Bni Games Menu,BNI Games,Gry BNI,Yes
I18N_BNI_KPI_VIEW,I18NCode for Bni KPI View,KPI Vision in the Game,Wizja KPI w grze,Yes
I18N_BNI_TEAM_NAME,I18NCode for Bni Team Name,Team Name,Nazwa zespołu,Yes
I18N_BNI_TEAM_VIEW,I18NCode for Bni Team View,Bni Teams Vision,Wizja Zespołów Bni,Yes
I18N_BROUGHT_NO_VISITOR_ON_LAST,I18NCode for Brought No Visitor On Last,Brought No Visitor On Last,Ostatnio nie przyprowadzono gościa,Yes
I18N_BUSINESS_PROFILE,I18NCode for Business Profile,Business profile,Profil biznesowy,Yes
I18N_CANCEL,I18NCode for Cancel,Cancel,Anulować,Yes
I18N_CANCEL_CANCEL_BUTTON,I18NCode for Cancel Cancel Button,"No, return","Nie, wróć",Yes
I18N_CANCEL_CONFIRM_BUTTON,I18NCode for Cancel Confirm Button,"Yes, cancel it!","Tak, anuluj to!",Yes
I18N_CANCEL_MODAL,I18NCode for Cancel Modal,Are you sure you would like to cancel?,Czy na pewno chcesz anulować?,Yes
I18N_CANCEL_WARNING_TEXT,I18NCode for Cancel Warning Text,Your form has not been cancelled!,Twój formularz nie został anulowany!,Yes
I18N_CC,I18NCode for #CC,#CC,#CC,Yes
I18N_CC_NONEWMEMBERS_15_DAYS,I18NCode for Core Chapters with no new members in the last 15 days,Core Chapters with no new members in the last 15 days,Główne oddziały bez nowych członków w ciągu ostatnich 15 dni,Yes
I18N_CELLPHONE,I18NCode for Cellphone,Cellphone,Telefon komórkowy,Yes
I18N_CEU,I18NCode for CEU,CEU,CEU,Yes
I18N_CEU_IS_REQUIRED,I18NCode for CEU is required,Ceu is required,Ceu jest wymagany,Yes
I18N_CEU_THE_REGION,I18NCode for CEU The Region,CEU,CEU,Yes
I18N_CHAIR_VALUE,I18NCode for chair value,Chair Value,Wartość krzesła,Yes
I18N_CHANGE_IMAGE,I18NCode for Change Image,Change image,Zmień obraz,Yes
I18N_CHANGE_SEARCH,I18NCode for Change Search Message,Change your search,Zmień wyszukiwanie,Yes
I18N_CHANGES_MAKE_MESSAGE,I18NCode for Changes Make Message in Modal Confirmation,Changes successfully saved!,Zmiany zostały pomyślnie zapisane!,Yes
I18N_CHAPTER_AVG,Chapter AVG,Chapter AVG,Rozdział AVG,Yes
I18N_CHAPTER_DETAIL_PAGE,I18NCode for Chapter detail page,Chapter Detail Page,Strona ze szczegółami rozdziału,Yes
I18N_CHAPTER_GOAL,I18NCode for Chapter Goal,Chapter Goal,Cel rozdziału,Yes
I18N_CHAPTER_GOAL_EDIT,I18NCode for Chapter Goal Edit,Edit Chapter Goal ,Edytuj cel rozdziału,Yes
I18N_CHAPTER_GOAL_MENU,I18NCode for Chapter Goal Menu,Chapter,Rozdział,Yes
I18N_CHAPTER_HEALTH_FORMATION,I18NCode for Chapter Health & Formation,Chapter Health & Formation,Rozdział Zdrowie i Formacja,Yes
I18N_CHAPTER_IS_REQUIRED,I18NCode for Chapter is required,Chapter is required,Rozdział jest wymagany,Yes
I18N_CHAPTER_LAUNCH_MONTHS,I18NCode for Chapter Launch Months on tooltip in Kpi Correlation page,Time After Launch,Czas po uruchomieniu,Yes
I18N_CHAPTER_SINGULAR,I18NCode for Chapter in singular,Chapter,Rozdział,Yes
I18N_CHAPTERS,I18nCode for chapters,Chapters,Rozdziały,Yes
I18N_CHAT_GROUP_NAME,I18NCode for Chat group name,Chat group name,Nazwa grupy czatu,Yes
I18N_CHAT_PRIVATELY_WITH_A_CONTACT,I18NCode for Chat privately with a contact,Chat privately with a contact,Czatuj prywatnie z kontaktem,Yes
I18N_CHATS,i18NCode for Chats,chats,czaty,Yes
I18N_CHOOSE_THE_TYPE_OF_CHAT,I18NCode for Choose the type of chat,Choose the type of chat,Wybierz rodzaj czatu,Yes
I18N_CITY,I18NCode for City,City,Miasto,Yes
I18N_CLASSIFICATION,I18N for Member Activity Classification (Category),Category,Kategoria,Yes
I18N_CLEAR_SELECTION,"I18NCode for Clear selection
",Clear selection,Wyczyść wybór,Yes
I18N_CLICK_BELOW_TO_SELECT,I18NCode for Click below to select,Click below to select,"Kliknij poniżej, aby wybrać",Yes
I18N_CLICK_TO_SEND_AN_EMAIL,I18NCode for Click to send an email,Click to send an email,"Kliknij, aby wysłać e-mail",Yes
I18N_CLOSE,I18Ncode button close,Close,Zamknąć,Yes
I18N_CLOSE_ADVANCED_SEARCH,"I18NCode for Close advanced search
",Close advanced search,Zamknij wyszukiwanie zaawansowane,Yes
I18N_CLOSE_CONFIRM_BUTTON,I18NCode for Close Confirm Button,"Yes, close it!","Tak, zamknij!",Yes
I18N_CLOSE_MODAL,I18NCode for Close Modal Text,Are you sure you would like to close?,Czy na pewno chcesz zamknąć?,Yes
I18N_CLOSED_CHAPTERS,I18NCode for Closed Chapters,Closed,Zamknięte,Yes
I18N_CM,I18NCode for #CM,#CM,#CM,Yes
I18N_CODE,,Code,Kod,Yes
I18N_COMPANY,I18NCode for Company,Company,Firma,Yes
I18N_COMPANY_INFORMATION,I18NCode for Company Information,Company information,Informacje o firmie,Yes
I18N_COMPANY_NAME,I18NCode for Company Name,Company Name,Nazwa firmy,Yes
I18N_COMPLETE_THE_ACCOUNT_SETUP_PROCESS_TO_GET_STARTED,I18NCode for Complete the account setup process to get started.,Complete the account setup process to get started,"Aby rozpocząć, dokończ proces konfiguracji konta",Yes
I18N_COMPLETED,I18NCode to Completed,Completed,Zakończony,Yes
I18N_CONFIG,I18NCode for Config,Config,Konfig,Yes
I18N_CONFIGURATION_AND_GAME_PERIOD,I18NCode for Configuration and Game Period,Configuration and Game Period,Konfiguracja i okres gry,Yes
I18N_CONFIRM_PASSWORD,i18NCode for Confirm Password,Confirm Password,Potwierdź hasło,Yes
I18N_CONSISTENT_GROWTH,I18NCode for Consistent Growth,Consistent Growth,Stały wzrost,Yes
I18N_CONTACT,I18NCode for Contact,Contact,Kontakt,Yes
I18N_CONTACT_DETAILS_OF_OUR_DATA_PROTECTION_OFFICER,I18NCode for Contact details of our Data Protection Officer,Contact details of our Data Protection Officer,Dane kontaktowe naszego Inspektora Ochrony Danych,Yes
I18N_CONTACT_INFORMATION,I18NCode for Contact Information,Contact Information,Informacje kontaktowe,Yes
I18N_CONTACT_SPHERE,I18NCode for Contact Sphere,Contact Sphere,Sfera kontaktowa,Yes
I18N_CONTACT_SPHERES,I18NCode for Contact Spheres,Contact Spheres,Sfery kontaktowe,Yes
I18N_CONTACT_SPHERES_OPTION_NO_DATA,I18NCode Contact Spheres Option no data,"To activate Contact Spheres Option please send and email to info@reporting2you.com asking to activate it for your region.  By default only DCs and EDs will have access to it, to change it you need to go to Regional Administration\Regional Settings\Reports and set it after it has been activated.","Aby aktywować opcję Sfer Kontaktowych, wyślij wiadomość e-mail na adres info@reporting2you.com z prośbą o aktywację jej dla Twojego regionu.",Yes
I18N_CONTACT_US,I18NCode for ContactUs,Contact Us,Skontaktuj się z nami,Yes
I18N_CONTACTS,I18NCode for Contacts,Contacts,Łączność,Yes
I18N_CONTENT_MANANGMENT,I18NCodes for Content managment,Content Manangment,Zarządzanie treścią,Yes
I18N_CONTEXT,I18NCode for Context,Context,Kontekst,Yes
I18N_CONTEXT_CODE,,Context,Kontekst,Yes
I18N_CONTEXT_DESCRIPTION,,Context description,Opis kontekstu,Yes
I18N_CONTEXT_NAME,,Context Name,Nazwa kontekstu,Yes
I18N_CONTEXTS,I18NCodes for Contexts,Contexts,Konteksty,Yes
I18N_CONTRACT_DATE,I18NCode for Contract Date,Contract Date,Data umowy,Yes
I18N_CONV,I18NCode for Conv,Conv.,Konw.,Yes
I18N_CONVERSION,I18NCode for Conversion,Conversion,Konwersja,Yes
I18N_CONVERSION_6_MONTHS,I18NCode Conversion 6 months,Conversion (6 month),Konwersja (6 miesięcy),Yes
I18N_CONVERSION_IS_REQUIRED,I18NCode for Conversion is required,Conversion is required,Wymagana jest konwersja,Yes
I18N_COOKIE_MANAGEMENT,I18NCode for Cookie management,Cookie management,Zarządzanie plikami cookie,Yes
I18N_COOKIES_POLICY,I18NCode for Cookies Policy,Cookies Policy,Polityka plików cookies,Yes
I18N_COORDINATING_TEAM,I18N for Coordinating Team,Coordinating Team,Zespół Koordynujący,Yes
I18N_COPY,I18NCode for Copy,Copy,Kopia,Yes
I18N_CORE,I18NCode for Core,Core,Rdzeń,Yes
I18N_CORE_CHAPTER,I18NCode for Core Chapter Caption,Core Chapters,Podstawowe rozdziały,Yes
I18N_CORE_CHAPTER_NO_NEW_MEMBER,I18NCode for Core Chapter No New Member,Core Chapter No New Member,Oddział główny nie ma nowego członka,Yes
I18N_CORE_CHAPTERS_IS_REQUIRED,I18NCode for Core chapters is required,Core chapters is required,Wymagane są podstawowe rozdziały,Yes
I18N_CORE_CHAPTERS_THE_REGION,I18NCode for Core Chapters The Region,Core Chapters,Podstawowe rozdziały,Yes
I18N_CORE_GROUP,I18NCode for Core Group,Core,Rdzeń,Yes
I18N_CORE_GROUP_MEMBERS,I18NCode for Core Group Members,Core Members,Członkowie rdzenia,Yes
I18N_CORE_MEMBER,I18NCode for Core Member Caption,Core Members,Członkowie rdzenia,Yes
I18N_CORE_MEMBERS,I18NCode for Code Members Kpi Graph,Core Members,Członkowie rdzenia,Yes
I18N_CORE_MEMBERS_IS_REQUIRED,I18NCode for Core members is required,Core Members is required,Wymagani są członkowie rdzeniowi,Yes
I18N_CORE_MEMBERS_THE_REGION,I18NCode for Core Members The Region,Core Members,Członkowie rdzenia,Yes
I18N_COUNTRY,I18NCode for Country,Country,Kraj,Yes
I18N_COUNTRY_AVG,I18NCode for Country AVG,Country Avg,Kraj Średnia,Yes
I18N_COUNTRY_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Country cannot exceed 50 characters,Country cannot exceed 50 characteres,Kraj nie może przekraczać 50 znaków,Yes
I18N_COUNTRY_DEVELOPMENT,I18nCode for Country Development,Country Development,Rozwój Kraju,Yes
I18N_COUNTRY_EVOLUTION,I18NCode for Country Evolution Page,Country Evolution,Ewolucja kraju,Yes
I18N_COUNTRY_GOAL_EDIT,I18NCode for Country GOAL EDIT,Edit Country Goal,Edytuj cel kraju,Yes
I18N_COUNTRY_GOAL_MENU,I18NCode for Country Goal Menu,Country,Kraj,Yes
I18N_COUNTRY_IS_REQUIRED,I18NCode for Country is required,Country is required,Kraj jest wymagany,Yes
I18N_COUNTRY_LAST_MONTH,I18NCode for Country Last Month,Country Last Month,Kraj w zeszłym miesiącu,Yes
I18N_COUNTRY_TABLE,I18NCode for Country Label,Country,Kraj,Yes
I18N_CREATE,I18NCode for Create,Create,Tworzyć,Yes
I18N_CREATE_A_GROUP_FOR_YOUR_CONTACTS,I18NCode for Create a group for your contacts,Create a group chat for your contacts,Utwórz czat grupowy dla swoich kontaktów,Yes
I18N_CREATE_AN_ACCOUNT,I18NCode for Create an Account,Create an account,Utwórz konto,Yes
I18N_CREATE_CHAT,i18NCode for Create Chat,Create chat,Utwórz czat,Yes
I18N_CREATE_GROUP,I18NCode for Create group,Create group,Utwórz grupę,Yes
I18N_CREATE_NEW_CHAT,I18NCode for Create New Chat,Create New Chat,Utwórz nowy czat,Yes
I18N_CREATE_POLL,I18NCode for Create Poll,Create Poll,Utwórz ankietę,Yes
I18N_CREATE_USER_ERROR_MESSAGE,I18NCode for Create User Error Message,"System could not find the profile with this email, please contact our support.",System nie mógł znaleźć profilu o tym e-mailu. Skontaktuj się z naszym wsparciem.,Yes
I18N_CREATED_AT,,Created at,Utworzono o godz,Yes
I18N_CURRENCY,I18Ncode for currency ,$,$,Yes
I18N_CURRENT,I18NCode for Current,Current,Aktualny,Yes
I18N_CURRENT_COUNT,"I18NCode for Current Count
",Current Count,Aktualna liczba,Yes
I18N_CURRENT_MONTH,I18NCodefor Current Month,Current Month,Bieżący miesiąc,Yes
I18N_CURRENT_MOTH,I18NCode to represent current moth,Current Month,Bieżący miesiąc,Yes
I18N_CURRENT_REPORTS,I18NCode for Current Reports,Current reports,Bieżące raporty,Yes
I18N_CURRENT_STATUS,I18NCode for Current Status,Current status,Aktualny stan,Yes
I18N_DA,I18NCode for Area Director,Area Director,Dyrektor Obszaru,Yes
I18N_DA_SHORTNAME_,I18NCode for DA ShortName	,AD,OGŁOSZENIE,Yes
I18N_DASHBOARDS,I18NCode for dashboards,Dashboard,Panel,Yes
I18N_DATA_ANALYSIS,,Data Analysis,Analiza danych,Yes
I18N_DATE,I18NCode for Date,Date,Data,Yes
I18N_DAYS,I18NCode for Days,Days,Dni,Yes
I18N_DAYS_TO_END,I18NCode for Days to end,Days till End,Dni do końca,Yes
I18N_DAYS_TO_START,I18NCode for Days to start,Days to start,Dni na start,Yes
I18N_DAYS_TOTAL,I18NCode for Days Total,Total Days,Całkowita liczba dni,Yes
I18N_DC,I18NCode for Consultant Director,Consultant Director,Konsultant Dyrektor,Yes
I18N_DC_PROFILE,I18NCode for DC,DC,DC,Yes
I18N_DC_SHORTNAME,I18NCode for DC ShortName,CD,płyta CD,Yes
I18N_DC_TOTAL,I18NCode for DC Total,DC,DC,Yes
I18N_DECEMBER,I18NCode for December,December,Grudzień,Yes
I18N_DEFINE_GOALS__TRACK_AND_IMPROVE_PRODUCTIVITY_AND_MONITORING_INDICATORS_FOR_ALL_,"I18NCode for Define goals, track and improve Productivity and Monitoring indicators for all.","Define goals, track and improve Productivity and Monitoring indicators for all","Definiuj cele, śledź i ulepszaj wskaźniki produktywności i monitorowania dla wszystkich",Yes
I18N_DEFINED,I18NCode for Defined,defined.,zdefiniowany.,Yes
I18N_DEFINED_GOALS,I18NCode for Defined Goals,,,Yes
I18N_DELETE_CANCEL_BUTTON,I18NCode for Delete Cancel Button,"No, cancel","Nie, anuluj",Yes
I18N_DELETE_CHAT,I18NCode for Delete Chat,Delete Chat,Usuń czat,Yes
I18N_DELETE_CHAT_MESSAGE_MODAL,I18NCode for Delete Chat Message Modal,Are you sure you want to delete this chat?,Czy na pewno chcesz usunąć ten czat?,Yes
I18N_DELETE_CONFIRM_BUTTON,I18NCode for Delete Confirm Button,"Yes, delete it!","Tak, usuń to!",Yes
I18N_DELETE_MESSAGE_MODAL,I18NCode for Delete Message Modal,Are you sure you want to delete this message?,Czy na pewno chcesz usunąć tę wiadomość?,Yes
I18N_DELETE_MESSAGE_SUCCESS,I18NCode for Delete Message Success,Message delete with success,Wiadomość została pomyślnie usunięta,Yes
I18N_DELETE_MODAL,I18NCode for Delete Modal Text,Are you sure you want to delete this item?,Czy na pewno chcesz usunąć ten element?,Yes
I18N_DELETE_SUCCESS_MODAL,I18NCode for Delete Success Modal Text,Deleted with Success,Usunięto pomyślnie,Yes
I18N_DELETE_WARNING_TEXT,I18NCode for Delete Warning Text,The item was not deleted!,Element nie został usunięty!,Yes
I18N_DEMOTE_TO_MEMBER,"I18NCode for Demote to member
",Demote to member,Zdegraduj do członka,Yes
I18N_DESCRIPTION,,Description,Opis,Yes
I18N_DETAILS,I18NCode for details,Details,Bliższe dane,Yes
I18N_DEVELOPMENT,I18NCode for Franchise Development,Development,Rozwój,Yes
I18N_DEX,I18NCode for DEX,DEX,DEX,Yes
I18N_DIF,I18NCode for Dif,Dif.,Różn.,Yes
I18N_DIFUSION,I18NCode for Difusion,Difusion,Dyfuzja,Yes
I18N_DIRECTOR,I18NCode fo Director,Director,Dyrektor,Yes
I18N_DIRECTOR_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Director cannot exceed 50 characters,Director cannot exceed 50 characters,Dyrektor nie może przekraczać 50 znaków,Yes
I18N_DIRECTOR_CONSULTANTS,I18NCode for Director Consultants,Director Consultants,Dyrektor Konsultanci,Yes
I18N_DIRECTOR_DO_NOT_PAY,I18NCode for Director Don´t Pay label,Allow the Director not to pay,Pozwól dyrektorowi nie płacić,Yes
I18N_DIRECTOR_DO_NOT_PAY_MEMBERSHIP,I18NCode for Director Don't Pay Membership,Director Don't Pay Membership,Dyrektor nie płać członkostwa,Yes
I18N_DIRECTOR_GOAL,I18NCode for Director Goal ,Edit Director Goal,Edytuj cel dyrektora,Yes
I18N_DIRECTOR_GOAL_MENU,I18NCode for Diretor Goals Menu,Director,Dyrektor,Yes
I18N_DIRECTOR_IS_REQUIRED,I18NCode for Director is required,Director is required,Dyrektor jest wymagany,Yes
I18N_DIRECTOR_PROFILE_PAGE,I18NCode for Director Profile Page,,,Yes
I18N_DIRECTOR_TYPE,I18NCode for Director Type,Director Type,Typ reżysera,Yes
I18N_DIRECTOR_TYPE_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Director Type cannot exceed 50 characters,Director type cannot exceed 50 characters,Typ dyrektora nie może przekraczać 50 znaków,Yes
I18N_DIRECTOR_TYPE_IS_REQUIRED,I18NCode for Director Type is Required,Director type is required,Typ dyrektora jest wymagany,Yes
I18N_DIRECTORS,I18NCode for Directors,Directors,Dyrektorzy,Yes
I18N_DISCARD,I18NCode for the discard button,Cancel,Anulować,Yes
I18N_DO_MEMBERS_HAVE_ACCESS_TO_R2Y,I18NCode for Do members have access to R2Y,Do members have access to R2Y,Czy członkowie mają dostęp do R2Y,Yes
I18N_DOLAR_MEMBER,I18NCode for $ /Member,/Member,/Członek,Yes
I18N_DOLAR12M,I18NCode for $ /12m,/12m,/12m,Yes
I18N_DONT_EXIST_MEMBERS,I18NCode for Dont Exist Members,Don't exist members,Nie istnieją członkowie,Yes
I18N_DOWN,I18NCode for Down,Down,W dół,Yes
I18N_DOWNLOAD_COMPLETED,"I18NCode for Download completed
",Download completed,Pobieranie zakończone,Yes
I18N_DOWNLOAD_DOCUMENT_HERE,I18NCode for Download Document here,Download the document here,Pobierz dokument tutaj,Yes
I18N_DOWNLOAD_FAILED,I18NCode for Download failed,Download failed,Pobieranie nie powiodło się,Yes
I18N_DOWNLOADED_SUCCESSFULLY,"I18NCode for Downloaded Successfully

",Downloaded successfully,Pobrano pomyślnie,Yes
I18N_DROP_TYPE,I18NCode for Drop Type,Drop Type,Typ kropli,Yes
I18N_DROPPED,I18NCode for Dropped,Dropped,Upuszczony,Yes
I18N_DROPPED_MEMBERS,I18NCode for Dropped Members,Dropped Members,Opuszczeni członkowie,Yes
I18N_DROPPED_MEMBERS_ACTIVE_CHAPTERS,I18NCode for Dropped Members Active Chapters,Dropped Members / Active Chapters,Usunięci członkowie/aktywne rozdziały,Yes
I18N_DROPS,I18NCode for Drops,Drops,Krople,Yes
I18N_DROPS_IS_REQUIRED,I18NCode for Drops is required,Drops is required,Wymagane są krople,Yes
I18N_DROPS_THE_REGION,I18NCode for Drops The Region,Drops,Krople,Yes
I18N_DROPSS,I18NCode for Drops,Drops,Krople,Yes
I18N_DUPLICATE_CONFIRM_BUTTON,I18NCode for Duplicate Confirm Button,"Yes, duplicate!","Tak, duplikat!",Yes
I18N_DUPLICATE_VALUE,I18NCode for Duplicate Value,Duplicate Value,Zduplikowana wartość,Yes
I18N_DURATION_OF_COOKIES,"I18NCode for Duration of cookies
",Duration of cookies,Czas trwania plików cookie,Yes
I18N_ED,I18NCode for ED,ED,ED,Yes
I18N_EDIT,I18NCode for Edit ,Edit,Redagować,Yes
I18N_EDIT_CHAPTER_NAME,I18NCode for Edit Chapter Name,Edit Chapter Name,Edytuj nazwę rozdziału,Yes
I18N_EDIT_MEMBER_NAME,I18NCode for Edit Member Name,Edit Member Name,Edytuj nazwę członka,Yes
I18N_EDIT_REGION_NAME,I18NCode for Edit Region Name,Edit Region Name,Edytuj nazwę regionu,Yes
I18N_EDIT_TEAM,I18NCode for Edit Team,Editing Team,Zespół Redakcyjny,Yes
I18N_EDIT_VALUES,I18NCode for Edit Values,Edit Value,Edytuj wartość,Yes
I18N_EL,I18NCode for EL,LT,LT,Yes
I18N_ELECTRONIC_CONTACT,"I18NCode for Electronic contact
",Electronic Contact,Kontakt elektroniczny,Yes
I18N_EMAIL,I18NCode for Email label,Email,E-mail,Yes
I18N_EMAIL_IS_REQUIRED,I18NCode for Email Is Required,Email is a required field,Adres e-mail jest polem wymaganym,Yes
I18N_EMAIL_SENT_SUCCESSFULLY,I18NCode for Email Sent Successfully,Email sent successfully!,E-mail wysłany pomyślnie!,Yes
I18N_EMPTY_TEAM,I18NCode for Empty Team,Empty Team,Pusty zespół,Yes
I18N_EMPTY_TRANSLATIONS,No translations available for the selected item.,No translations available for the selected item.,Brak dostępnych tłumaczeń dla wybranego elementu.,Yes
I18N_ENABLE_CALCULATIONS,I18NCode for Enable Calculations,Enable Calculations,Włącz obliczenia,Yes
I18N_END_DATE,I18NCode for End Date,End Date,Data zakończenia,Yes
I18N_END_DATE_IS_REQUIRED,I18NCode for  End Date is required,End date is required,Data zakończenia,Yes
I18N_ENTER_YOUR_EMAIL_TO_RESET_YOUR_PASSWORD_,"I18NCode for Enter your email to reset your password.
",Enter your email to reset your password,"Wpisz swój adres e-mail, aby zresetować hasło",Yes
I18N_ENTREPRISE,I18NCode for hidden row in Upcoming Renewels Page,Company,Firma,Yes
I18N_EQUAL,I18NCode for Equal,Equal,Równy,Yes
I18N_ERROR,I18NCode for Error,Error,Błąd,Yes
I18N_ERROR_PROCESSING_REQUEST,I18NCode for Error Processing Request,Erros processing your request,Błąd podczas przetwarzania Twojego żądania,Yes
I18N_EVENT_NAME,18NCode for Event Name,Event Name,Nazwa wydarzenia,Yes
I18N_EVOLUCAO,I18NCode for Evolution,Evolution,Ewolucja,Yes
I18N_EVOLUTION_REPORT,I18NCode for Evolution Report,Evolution Report,Raport ewolucji,Yes
I18N_EVOLUTIONS,I18NCode for Evolution page title,Evolutions,Ewolucje,Yes
I18N_EXCLUDED,I18NCode for Excluded,Excluded,Wyłączony,Yes
I18N_EXECUTIVE_DIRECTOR,I18NCode for Executive Director,Executive Director,Dyrektor wykonawczy,Yes
I18N_EXISTING_REPORTS,I18NCode for Existing Reports,Existing Reports,Istniejące raporty,Yes
I18N_EXIT,I18NCode for Exit,Exit,Wyjście,Yes
I18N_EXPIRED,I18NCode for Expired Tasks,Expired,Wygasły,Yes
I18N_EXPORT,I18NCode for Export,Export,Eksport,Yes
I18N_EXPORT_COPY,I18NCode user for copy  on export dropdown,Copy to clipboard,Skopiuj do schowka,Yes
I18N_EXPORT_CSV,I18NCode user for export as csv on dropdown,Export as CSV,Eksportuj jako CSV,Yes
I18N_EXPORT_EVOLUTION_PDF,I18NCode for Export Evolution Pdf Button,Export Evolution PDF,Eksportuj plik PDF dotyczący ewolucji,Yes
I18N_EXPORT_EXCEL,I18NCode user for export as excel on dropdown,Export as Excel,Eksportuj jako Excel,Yes
I18N_EXPORT_GENERAL_REPORT,I18NCode for Export General Report in Notable Networkers Page,Export General Report,Eksportuj raport ogólny,Yes
I18N_EXPORT_PDF,I18NCode user for export as pdf on dropdown,Export as PDF,Eksportuj jako plik PDF,Yes
I18N_EXPORT_REPORT,I18NCode for label on export dropdown,Export Report,Eksportuj raport,Yes
I18N_EXPORT_TRANSLATIONS,I18NCode for Export Translations,Export Translations,Eksportuj tłumaczenia,Yes
I18N_EXTERNAL,I18NCode for External,External,Zewnętrzny,Yes
I18N_FAILED_TO_CREATE_ACCOUNT,I18NCode for Failed To Create Account,Failed to create account,Nie udało się utworzyć konta,Yes
I18N_FAILED_TO_RESET_PASSWORD,I18NCode for Failed to reset Password,Failed to reset Password,Nie udało się zresetować hasła,Yes
I18N_FAILED_TO_SEND_EMAIL,I18NCode for Failed To Send Email,Failed to send email,Nie udało się wysłać e-maila,Yes
I18N_FALLING_MEMBERS,I18NCode for Falling members,Falling,Spadający,Yes
I18N_FAQ_1,I18NCode for Faq 1,"Chapter President shows as ""N/A"", why?","Przewodniczący oddziału wyświetla się jako „nie dotyczy”, dlaczego?",Yes
I18N_FAQ_1_ANSWER,I18NCode for Faq 1 Answer,"When Chapter Leadership name shows as ""N/A"" it means that his/her email was changed. Need to update his/her email on reporting2you","Kiedy imię i nazwisko przywódcy oddziału wyświetla się jako „nie dotyczy”, oznacza to, że jego/jej adres e-mail został zmieniony.",Yes
I18N_FAQ_2,I18NCode for Faq 2,Where can I find Chapter Reports?,Gdzie mogę znaleźć raporty rozdziałów?,Yes
I18N_FAQ_2_ANSWER,I18NCode for Faq 2 Answer,"Go to Reports Menu click the plus sign (""+"") to open Chapters tree and then click on the chapters name, you will get the list of reports from current month to that chapter.<br/> If you want to get a previous report you should click the ""History"" item in the Chapters list and you will be able to get reports from the past 12 month.","Przejdź do Menu Raportów, kliknij znak plusa („+”), aby otworzyć drzewo Rozdziałów, a następnie kliknij nazwę rozdziału, wyświetli się lista raportów od bieżącego miesiąca do tego rozdziału.<br/> Jeśli chcesz otrzymać poprzedni raport, kliknij pozycję „Historia” na liście Rozdziałów, a będziesz mógł uzyskać raporty z ostatnich 12 miesięcy.",Yes
I18N_FAQS,I18NCode for Faqs,Faqs,Często zadawane pytania,Yes
I18N_FAST__EFFICIENT_AND_PRODUCTIVE,"I18NCode for Fast, Efficient and Productive
","Fast, Efficient and Productive","Szybko, wydajnie i produktywnie",Yes
I18N_FEBRUARY,I18NCode for February,February,Luty,Yes
I18N_FEE,I18NCode for Fee,Fee,Opłata,Yes
I18N_FILES,I18NCode for Files,Files,Akta,Yes
I18N_FILL,I18NCode for Fill,Fill,Wypełnić,Yes
I18N_FILL_CHAPTERS,I18NCode for Fill Chapters,Fill Chapters,Wypełniaj rozdziały,Yes
I18N_FILTER,I18NCode for Filter,Filter,Filtr,Yes
I18N_FILTER_OPTIONS,I18NCode for Filter Options,Filter options,Opcje filtrowania,Yes
I18N_FIRST,I18NCode for First,First,Pierwszy,Yes
I18N_FIRST_MEMBERS_IN_TRAFFIC_LIGHTS,I18NCode for First Members in Traffic Lights,First Members in Traffic Lights,Pierwsi członkowie w sygnalizacji świetlnej,Yes
I18N_FIRST_NAME,I18NCode for First Name label,First Name,Imię,Yes
I18N_FIRST_YEAR_RETAIN,I18NCode for First Year Retain,First Year,Pierwszy rok,Yes
I18N_FIRST_YEAR_RETENTION,I18NCode for First Year Retention,First Year Retention,Utrzymanie pierwszego roku,Yes
I18N_FLAG,I18NCode for the flag,Flag,Flaga,Yes
I18N_FOLLOW_UP,I18NCode for Follow Up Page in Tasks Menu,Follow Up,Podejmować właściwe kroki,Yes
I18N_FOR,"i18NCode for ""For""",for,Do,Yes
I18N_FOR_SUBSTITUTION,"I18NCode for ""For Substitution""",For Substitution,Do substytucji,Yes
I18N_FORGOT_PASSWORD_,I18NCode for Forgot Password?,Forgot Password?,Zapomniałeś hasła?,Yes
I18N_FORMATION,I18NCode for Formation,Formation,Tworzenie,Yes
I18N_FORMATIONS,I18NCode for Formations,Formations,Formacje,Yes
I18N_FORMATS,I18NCode for Formats,Formats,Formaty,Yes
I18N_FRANCHISE,I18NCode for Franchise,Franchise,Koncesja,Yes
I18N_FROM,I18Code for From,From,Z,Yes
I18N_FUNCTIONAL_COOKIES,"I18NCode for Functional cookies
",Functional cookies,Funkcjonalne pliki cookie,Yes
I18N_FUTURE_RENEWALS,I18NCode for Future Renewals,Future Renewals,Funkcjonalne pliki cookie,Yes
