Code,Description,Default_Translation (en-en),Target_Translation (nl-nl),Has_Translation
I18N_BNI_TEAM_NAME,I18NCode for Bni Team Name,Team Name,Teamnaam,Yes
I18N_BNI_TEAM_VIEW,I18NCode for Bni Team View,Bni Teams Vision,Bni Teams Visie,Yes
I18N_BROUGHT_NO_VISITOR_ON_LAST,I18NCode for Brought No Visitor On Last,Brought No Visitor On Last,Geen bezoeker als laatste gebracht,Yes
I18N_BUSINESS_PROFILE,I18NCode for Business Profile,Business profile,Zakelijk profiel,Yes
I18N_CANCEL,I18NCode for Cancel,Cancel,Annuleren,Yes
I18N_CANCEL_CANCEL_BUTTON,I18NCode for Cancel Cancel Button,"No, return","Nee, terug",Yes
I18N_CANCEL_CONFIRM_BUTTON,I18NCode for Cancel Confirm Button,"Yes, cancel it!","Ja, annuleer het!",Yes
I18N_CANCEL_MODAL,I18NCode for Cancel Modal,Are you sure you would like to cancel?,Weet u zeker dat u wilt annuleren?,Yes
I18N_CANCEL_WARNING_TEXT,I18NCode for Cancel Warning Text,Your form has not been cancelled!,Uw formulier is niet geannuleerd!,Yes
I18N_CC,I18NCode for #CC,#CC,#CC,Yes
I18N_CC_NONEWMEMBERS_15_DAYS,I18NCode for Core Chapters with no new members in the last 15 days,Core Chapters with no new members in the last 15 days,Kernhoofdstukken zonder nieuwe leden in de afgelopen 15 dagen,Yes
I18N_CELLPHONE,I18NCode for Cellphone,Cellphone,Mobiel,Yes
I18N_CEU,I18NCode for CEU,CEU,CEU,Yes
I18N_CEU_IS_REQUIRED,I18NCode for CEU is required,Ceu is required,Ceu is vereist,Yes
I18N_CEU_THE_REGION,I18NCode for CEU The Region,CEU,CEU,Yes
I18N_CHAIR_VALUE,I18NCode for chair value,Chair Value,Stoelwaarde,Yes
I18N_CHANGE_IMAGE,I18NCode for Change Image,Change image,Afbeelding wijzigen,Yes
I18N_CHANGE_SEARCH,I18NCode for Change Search Message,Change your search,Wijzig uw zoekopdracht,Yes
I18N_CHANGES_MAKE_MESSAGE,I18NCode for Changes Make Message in Modal Confirmation,Changes successfully saved!,Wijzigingen succesvol opgeslagen!,Yes
I18N_CHAPTER_AVG,Chapter AVG,Chapter AVG,Hoofdstuk AVG,Yes
I18N_CHAPTER_DETAIL_PAGE,I18NCode for Chapter detail page,Chapter Detail Page,Hoofdstukdetailpagina,Yes
I18N_CHAPTER_GOAL,I18NCode for Chapter Goal,Chapter Goal,Hoofdstuk Doel,Yes
I18N_CHAPTER_GOAL_EDIT,I18NCode for Chapter Goal Edit,Edit Chapter Goal ,Hoofdstukdoel bewerken,Yes
I18N_CHAPTER_GOAL_MENU,I18NCode for Chapter Goal Menu,Chapter,Hoofdstuk,Yes
I18N_CHAPTER_HEALTH_FORMATION,I18NCode for Chapter Health & Formation,Chapter Health & Formation,Hoofdstuk,Yes
I18N_CHAPTER_IS_REQUIRED,I18NCode for Chapter is required,Chapter is required,Hoofdstuk is vereist,Yes
I18N_CHAPTER_LAUNCH_MONTHS,I18NCode for Chapter Launch Months on tooltip in Kpi Correlation page,Time After Launch,Tijd na lancering,Yes
I18N_CHAPTER_SINGULAR,I18NCode for Chapter in singular,Chapter,Hoofdstuk,Yes
I18N_CHAPTERS,I18nCode for chapters,Chapters,Hoofdstukken,Yes
I18N_CHAT_GROUP_NAME,I18NCode for Chat group name,Chat group name,Naam van chatgroep,Yes
I18N_CHAT_PRIVATELY_WITH_A_CONTACT,I18NCode for Chat privately with a contact,Chat privately with a contact,Privé chatten met een contactpersoon,Yes
I18N_CHATS,i18NCode for Chats,chats,chats,Yes
I18N_CHOOSE_THE_TYPE_OF_CHAT,I18NCode for Choose the type of chat,Choose the type of chat,Kies het type chat,Yes
I18N_CITY,I18NCode for City,City,Stad,Yes
I18N_CLASSIFICATION,I18N for Member Activity Classification (Category),Category,Categorie,Yes
I18N_CLEAR_SELECTION,"I18NCode for Clear selection
",Clear selection,Duidelijke selectie,Yes
I18N_CLICK_BELOW_TO_SELECT,I18NCode for Click below to select,Click below to select,Klik hieronder om te selecteren,Yes
I18N_CLICK_TO_SEND_AN_EMAIL,I18NCode for Click to send an email,Click to send an email,Klik om een e-mail te verzenden,Yes
I18N_CLOSE,I18Ncode button close,Close,Dichtbij,Yes
I18N_CLOSE_ADVANCED_SEARCH,"I18NCode for Close advanced search
",Close advanced search,Sluit geavanceerd zoeken,Yes
I18N_CLOSE_CONFIRM_BUTTON,I18NCode for Close Confirm Button,"Yes, close it!","Ja, sluit het!",Yes
I18N_CLOSE_MODAL,I18NCode for Close Modal Text,Are you sure you would like to close?,"Ja, sluit het!",Yes
I18N_CLOSED_CHAPTERS,I18NCode for Closed Chapters,Closed,Gesloten,Yes
I18N_CM,I18NCode for #CM,#CM,#CM,Yes
I18N_CODE,,Code,Code,Yes
I18N_COMPANY,I18NCode for Company,Company,Bedrijf,Yes
I18N_COMPANY_INFORMATION,I18NCode for Company Information,Company information,Bedrijfsinformatie,Yes
I18N_COMPANY_NAME,I18NCode for Company Name,Company Name,Bedrijfsnaam,Yes
I18N_COMPLETE_THE_ACCOUNT_SETUP_PROCESS_TO_GET_STARTED,I18NCode for Complete the account setup process to get started.,Complete the account setup process to get started,Voltooi het accountconfiguratieproces om aan de slag te gaan,Yes
I18N_COMPLETED,I18NCode to Completed,Completed,Voltooid,Yes
I18N_CONFIG,I18NCode for Config,Config,Configuratie,Yes
I18N_CONFIGURATION_AND_GAME_PERIOD,I18NCode for Configuration and Game Period,Configuration and Game Period,Configuratie en spelperiode,Yes
I18N_CONFIRM_PASSWORD,i18NCode for Confirm Password,Confirm Password,Bevestig wachtwoord,Yes
I18N_CONSISTENT_GROWTH,I18NCode for Consistent Growth,Consistent Growth,Consistente groei,Yes
I18N_CONTACT,I18NCode for Contact,Contact,Contact,Yes
I18N_CONTACT_DETAILS_OF_OUR_DATA_PROTECTION_OFFICER,I18NCode for Contact details of our Data Protection Officer,Contact details of our Data Protection Officer,Contactgegevens van onze functionaris voor gegevensbescherming,Yes
I18N_CONTACT_INFORMATION,I18NCode for Contact Information,Contact Information,Contactgegevens,Yes
I18N_CONTACT_SPHERE,I18NCode for Contact Sphere,Contact Sphere,Neem contact op met Bol,Yes
I18N_CONTACT_SPHERES,I18NCode for Contact Spheres,Contact Spheres,Neem contact op met Bollen,Yes
I18N_CONTACT_SPHERES_OPTION_NO_DATA,I18NCode Contact Spheres Option no data,"To activate Contact Spheres Option please send and email to info@reporting2you.com asking to activate it for your region.  By default only DCs and EDs will have access to it, to change it you need to go to Regional Administration\Regional Settings\Reports and set it after it has been activated.","Om de Contact Spheres-optie te activeren, stuurt u een e-mail naar info@reporting2you.com met het verzoek deze voor uw regio te activeren.",Yes
I18N_CONTACT_US,I18NCode for ContactUs,Contact Us,Neem contact met ons op,Yes
I18N_CONTACTS,I18NCode for Contacts,Contacts,Contacten,Yes
I18N_CONTENT_MANANGMENT,I18NCodes for Content managment,Content Manangment,Inhoudsbeheer,Yes
I18N_CONTEXT,I18NCode for Context,Context,Context,Yes
I18N_CONTEXT_CODE,,Context,Context,Yes
I18N_CONTEXT_DESCRIPTION,,Context description,Contextbeschrijving,Yes
I18N_CONTEXT_NAME,,Context Name,Contextnaam,Yes
I18N_CONTEXTS,I18NCodes for Contexts,Contexts,Contexten,Yes
I18N_CONTRACT_DATE,I18NCode for Contract Date,Contract Date,Contractdatum,Yes
I18N_CONV,I18NCode for Conv,Conv.,Conv.,Yes
I18N_CONVERSION,I18NCode for Conversion,Conversion,Conversie,Yes
I18N_CONVERSION_6_MONTHS,I18NCode Conversion 6 months,Conversion (6 month),Conversie (6 maanden),Yes
I18N_CONVERSION_IS_REQUIRED,I18NCode for Conversion is required,Conversion is required,Conversie is vereist,Yes
I18N_COOKIE_MANAGEMENT,I18NCode for Cookie management,Cookie management,Cookiebeheer,Yes
I18N_COOKIES_POLICY,I18NCode for Cookies Policy,Cookies Policy,Cookiebeleid,Yes
I18N_COORDINATING_TEAM,I18N for Coordinating Team,Coordinating Team,Coördinerend team,Yes
I18N_COPY,I18NCode for Copy,Copy,Kopiëren,Yes
I18N_CORE,I18NCode for Core,Core,Kern,Yes
I18N_CORE_CHAPTER,I18NCode for Core Chapter Caption,Core Chapters,Kernhoofdstukken,Yes
I18N_CORE_CHAPTER_NO_NEW_MEMBER,I18NCode for Core Chapter No New Member,Core Chapter No New Member,Kernhoofdstuk Geen nieuw lid,Yes
I18N_CORE_CHAPTERS_IS_REQUIRED,I18NCode for Core chapters is required,Core chapters is required,Kernhoofdstukken zijn vereist,Yes
I18N_CORE_CHAPTERS_THE_REGION,I18NCode for Core Chapters The Region,Core Chapters,Kernhoofdstukken,Yes
I18N_CORE_GROUP,I18NCode for Core Group,Core,Kern,Yes
I18N_CORE_GROUP_MEMBERS,I18NCode for Core Group Members,Core Members,Kern leden,Yes
I18N_CORE_MEMBER,I18NCode for Core Member Caption,Core Members,Kern leden,Yes
I18N_CORE_MEMBERS,I18NCode for Code Members Kpi Graph,Core Members,Kern leden,Yes
I18N_CORE_MEMBERS_IS_REQUIRED,I18NCode for Core members is required,Core Members is required,Kernleden zijn vereist,Yes
I18N_CORE_MEMBERS_THE_REGION,I18NCode for Core Members The Region,Core Members,Kern leden,Yes
I18N_COUNTRY,I18NCode for Country,Country,Land,Yes
I18N_COUNTRY_AVG,I18NCode for Country AVG,Country Avg,Land Gem,Yes
I18N_COUNTRY_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Country cannot exceed 50 characters,Country cannot exceed 50 characteres,Land mag niet langer zijn dan 50 tekens,Yes
I18N_COUNTRY_DEVELOPMENT,I18nCode for Country Development,Country Development,Landontwikkeling,Yes
I18N_COUNTRY_EVOLUTION,I18NCode for Country Evolution Page,Country Evolution,Evolutie van landen,Yes
I18N_COUNTRY_GOAL_EDIT,I18NCode for Country GOAL EDIT,Edit Country Goal,Landdoel bewerken,Yes
I18N_COUNTRY_GOAL_MENU,I18NCode for Country Goal Menu,Country,Land,Yes
I18N_COUNTRY_IS_REQUIRED,I18NCode for Country is required,Country is required,Land is vereist,Yes
I18N_COUNTRY_LAST_MONTH,I18NCode for Country Last Month,Country Last Month,Land Vorige maand,Yes
I18N_COUNTRY_TABLE,I18NCode for Country Label,Country,Land,Yes
I18N_CREATE,I18NCode for Create,Create,Creëren,Yes
I18N_CREATE_A_GROUP_FOR_YOUR_CONTACTS,I18NCode for Create a group for your contacts,Create a group chat for your contacts,Maak een groepschat voor uw contacten,Yes
I18N_CREATE_AN_ACCOUNT,I18NCode for Create an Account,Create an account,Maak een account aan,Yes
I18N_CREATE_CHAT,i18NCode for Create Chat,Create chat,Chat maken,Yes
I18N_CREATE_GROUP,I18NCode for Create group,Create group,Groep aanmaken,Yes
I18N_CREATE_NEW_CHAT,I18NCode for Create New Chat,Create New Chat,Maak een nieuwe chat,Yes
I18N_CREATE_POLL,I18NCode for Create Poll,Create Poll,Poll maken,Yes
I18N_CREATE_USER_ERROR_MESSAGE,I18NCode for Create User Error Message,"System could not find the profile with this email, please contact our support.",Systeem kan het profiel met deze e-mail niet vinden. Neem contact op met onze ondersteuning.,Yes
I18N_CREATED_AT,,Created at,Gemaakt op,Yes
I18N_CURRENCY,I18Ncode for currency ,$,$,Yes
I18N_CURRENT,I18NCode for Current,Current,Huidig,Yes
I18N_CURRENT_COUNT,"I18NCode for Current Count
",Current Count,Huidige telling,Yes
I18N_CURRENT_MONTH,I18NCodefor Current Month,Current Month,Huidige maand,Yes
I18N_CURRENT_MOTH,I18NCode to represent current moth,Current Month,Huidige maand,Yes
I18N_CURRENT_REPORTS,I18NCode for Current Reports,Current reports,Actuele rapporten,Yes
I18N_CURRENT_STATUS,I18NCode for Current Status,Current status,Huidige status,Yes
I18N_DA,I18NCode for Area Director,Area Director,Gebiedsdirecteur,Yes
I18N_DA_SHORTNAME_,I18NCode for DA ShortName	,AD,ADVERTENTIE,Yes
I18N_DASHBOARDS,I18NCode for dashboards,Dashboard,Dashboard,Yes
I18N_DATA_ANALYSIS,,Data Analysis,Gegevensanalyse,Yes
I18N_DATE,I18NCode for Date,Date,Datum,Yes
I18N_DAYS,I18NCode for Days,Days,Dagen,Yes
I18N_DAYS_TO_END,I18NCode for Days to end,Days till End,Dagen tot einde,Yes
I18N_DAYS_TO_START,I18NCode for Days to start,Days to start,Dagen tot einde,Yes
I18N_DAYS_TOTAL,I18NCode for Days Total,Total Days,Totaal aantal dagen,Yes
I18N_DC,I18NCode for Consultant Director,Consultant Director,Adviseur Directeur,Yes
I18N_DC_PROFILE,I18NCode for DC,DC,gelijkstroom,Yes
I18N_DC_SHORTNAME,I18NCode for DC ShortName,CD,CD,Yes
I18N_DC_TOTAL,I18NCode for DC Total,DC,gelijkstroom,Yes
I18N_DECEMBER,I18NCode for December,December,December,Yes
I18N_DEFINE_GOALS__TRACK_AND_IMPROVE_PRODUCTIVITY_AND_MONITORING_INDICATORS_FOR_ALL_,"I18NCode for Define goals, track and improve Productivity and Monitoring indicators for all.","Define goals, track and improve Productivity and Monitoring indicators for all","Definieer doelen, volg en verbeter productiviteits- en monitoringindicatoren voor iedereen",Yes
I18N_DEFINED,I18NCode for Defined,defined.,gedefinieerd.,Yes
I18N_DEFINED_GOALS,I18NCode for Defined Goals,,,Yes
I18N_DELETE_CANCEL_BUTTON,I18NCode for Delete Cancel Button,"No, cancel","Nee, annuleer",Yes
I18N_DELETE_CHAT,I18NCode for Delete Chat,Delete Chat,Chat verwijderen,Yes
I18N_DELETE_CHAT_MESSAGE_MODAL,I18NCode for Delete Chat Message Modal,Are you sure you want to delete this chat?,Weet je zeker dat je deze chat wilt verwijderen?,Yes
I18N_DELETE_CONFIRM_BUTTON,I18NCode for Delete Confirm Button,"Yes, delete it!","Ja, verwijder het!",Yes
I18N_DELETE_MESSAGE_MODAL,I18NCode for Delete Message Modal,Are you sure you want to delete this message?,Weet je zeker dat je dit bericht wilt verwijderen?,Yes
I18N_DELETE_MESSAGE_SUCCESS,I18NCode for Delete Message Success,Message delete with success,Bericht verwijderen met succes,Yes
I18N_DELETE_MODAL,I18NCode for Delete Modal Text,Are you sure you want to delete this item?,Weet u zeker dat u dit item wilt verwijderen?,Yes
I18N_DELETE_SUCCESS_MODAL,I18NCode for Delete Success Modal Text,Deleted with Success,Met succes verwijderd,Yes
I18N_DELETE_WARNING_TEXT,I18NCode for Delete Warning Text,The item was not deleted!,Het item is niet verwijderd!,Yes
I18N_DEMOTE_TO_MEMBER,"I18NCode for Demote to member
",Demote to member,Degraderen tot lid,Yes
I18N_DESCRIPTION,,Description,Beschrijving,Yes
I18N_DETAILS,I18NCode for details,Details,Details,Yes
I18N_DEVELOPMENT,I18NCode for Franchise Development,Development,Ontwikkeling,Yes
I18N_DEX,I18NCode for DEX,DEX,DEX,Yes
I18N_DIF,I18NCode for Dif,Dif.,Verschillend,Yes
I18N_DIFUSION,I18NCode for Difusion,Difusion,Verspreiding,Yes
I18N_DIRECTOR,I18NCode fo Director,Director,Directeur,Yes
I18N_DIRECTOR_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Director cannot exceed 50 characters,Director cannot exceed 50 characters,Directeur,Yes
I18N_DIRECTOR_CONSULTANTS,I18NCode for Director Consultants,Director Consultants,Directeur Adviseurs,Yes
I18N_DIRECTOR_DO_NOT_PAY,I18NCode for Director Don´t Pay label,Allow the Director not to pay,Laat de directeur niet betalen,Yes
I18N_DIRECTOR_DO_NOT_PAY_MEMBERSHIP,I18NCode for Director Don't Pay Membership,Director Don't Pay Membership,Directeur Betaal geen lidmaatschap,Yes
I18N_DIRECTOR_GOAL,I18NCode for Director Goal ,Edit Director Goal,Director-doel bewerken,Yes
I18N_DIRECTOR_GOAL_MENU,I18NCode for Diretor Goals Menu,Director,Directeur,Yes
I18N_DIRECTOR_IS_REQUIRED,I18NCode for Director is required,Director is required,Directeur is vereist,Yes
I18N_DIRECTOR_PROFILE_PAGE,I18NCode for Director Profile Page,,,Yes
I18N_DIRECTOR_TYPE,I18NCode for Director Type,Director Type,Directeur is vereist,Yes
I18N_DIRECTOR_TYPE_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Director Type cannot exceed 50 characters,Director type cannot exceed 50 characters,Het regisseurtype mag niet langer zijn dan 50 tekens,Yes
I18N_DIRECTOR_TYPE_IS_REQUIRED,I18NCode for Director Type is Required,Director type is required,Regisseurtype is vereist,Yes
I18N_DIRECTORS,I18NCode for Directors,Directors,Directeuren,Yes
I18N_DISCARD,I18NCode for the discard button,Cancel,Annuleren,Yes
I18N_DO_MEMBERS_HAVE_ACCESS_TO_R2Y,I18NCode for Do members have access to R2Y,Do members have access to R2Y,Hebben leden toegang tot R2Y,Yes
I18N_DOLAR_MEMBER,I18NCode for $ /Member,/Member,/Lid,Yes
I18N_DOLAR12M,I18NCode for $ /12m,/12m,/12m,Yes
I18N_DONT_EXIST_MEMBERS,I18NCode for Dont Exist Members,Don't exist members,Bestaan geen leden,Yes
I18N_DOWN,I18NCode for Down,Down,Omlaag,Yes
I18N_DOWNLOAD_COMPLETED,"I18NCode for Download completed
",Download completed,Downloaden voltooid,Yes
I18N_DOWNLOAD_DOCUMENT_HERE,I18NCode for Download Document here,Download the document here,Download het document hier,Yes
I18N_DOWNLOAD_FAILED,I18NCode for Download failed,Download failed,Downloaden mislukt,Yes
I18N_DOWNLOADED_SUCCESSFULLY,"I18NCode for Downloaded Successfully

",Downloaded successfully,Succesvol gedownload,Yes
I18N_DROP_TYPE,I18NCode for Drop Type,Drop Type,Drop-type,Yes
I18N_DROPPED,I18NCode for Dropped,Dropped,Gelaten,Yes
I18N_DROPPED_MEMBERS,I18NCode for Dropped Members,Dropped Members,Gedropte leden,Yes
I18N_DROPPED_MEMBERS_ACTIVE_CHAPTERS,I18NCode for Dropped Members Active Chapters,Dropped Members / Active Chapters,Verwijderde leden / actieve hoofdstukken,Yes
I18N_DROPS,I18NCode for Drops,Drops,Druppels,Yes
I18N_DROPS_IS_REQUIRED,I18NCode for Drops is required,Drops is required,Druppels zijn vereist,Yes
I18N_DROPS_THE_REGION,I18NCode for Drops The Region,Drops,Druppels,Yes
I18N_DROPSS,I18NCode for Drops,Drops,Druppels,Yes
I18N_DUPLICATE_CONFIRM_BUTTON,I18NCode for Duplicate Confirm Button,"Yes, duplicate!","Ja, duplicaat!",Yes
I18N_DUPLICATE_VALUE,I18NCode for Duplicate Value,Duplicate Value,Dubbele waarde,Yes
I18N_DURATION_OF_COOKIES,"I18NCode for Duration of cookies
",Duration of cookies,Duur van cookies,Yes
I18N_ED,I18NCode for ED,ED,ED,Yes
I18N_EDIT,I18NCode for Edit ,Edit,Bewerking,Yes
I18N_EDIT_CHAPTER_NAME,I18NCode for Edit Chapter Name,Edit Chapter Name,Hoofdstuknaam bewerken,Yes
I18N_EDIT_MEMBER_NAME,I18NCode for Edit Member Name,Edit Member Name,Lidnaam bewerken,Yes
I18N_EDIT_REGION_NAME,I18NCode for Edit Region Name,Edit Region Name,Regionaam bewerken,Yes
I18N_EDIT_TEAM,I18NCode for Edit Team,Editing Team,Redactieteam,Yes
I18N_EDIT_VALUES,I18NCode for Edit Values,Edit Value,Waarde bewerken,Yes
I18N_EL,I18NCode for EL,LT,LT,Yes
I18N_ELECTRONIC_CONTACT,"I18NCode for Electronic contact
",Electronic Contact,Elektronisch contact,Yes
I18N_EMAIL,I18NCode for Email label,Email,E-mail,Yes
I18N_EMAIL_IS_REQUIRED,I18NCode for Email Is Required,Email is a required field,E-mail is een verplicht veld,Yes
I18N_EMAIL_SENT_SUCCESSFULLY,I18NCode for Email Sent Successfully,Email sent successfully!,E-mail succesvol verzonden!,Yes
I18N_EMPTY_TEAM,I18NCode for Empty Team,Empty Team,Leeg team,Yes
I18N_EMPTY_TRANSLATIONS,No translations available for the selected item.,No translations available for the selected item.,Er zijn geen vertalingen beschikbaar voor het geselecteerde item.,Yes
I18N_ENABLE_CALCULATIONS,I18NCode for Enable Calculations,Enable Calculations,Schakel berekeningen in,Yes
I18N_END_DATE,I18NCode for End Date,End Date,Einddatum,Yes
I18N_END_DATE_IS_REQUIRED,I18NCode for  End Date is required,End date is required,Einddatum is vereist,Yes
I18N_ENTER_YOUR_EMAIL_TO_RESET_YOUR_PASSWORD_,"I18NCode for Enter your email to reset your password.
",Enter your email to reset your password,Voer uw e-mailadres in om uw wachtwoord opnieuw in te stellen,Yes
I18N_ENTREPRISE,I18NCode for hidden row in Upcoming Renewels Page,Company,Bedrijf,Yes
I18N_EQUAL,I18NCode for Equal,Equal,Gelijkwaardig,Yes
I18N_ERROR,I18NCode for Error,Error,Fout,Yes
I18N_ERROR_PROCESSING_REQUEST,I18NCode for Error Processing Request,Erros processing your request,Fout bij het verwerken van uw verzoek,Yes
I18N_EVENT_NAME,18NCode for Event Name,Event Name,Naam van evenement,Yes
I18N_EVOLUCAO,I18NCode for Evolution,Evolution,Evolutie,Yes
I18N_EVOLUTION_REPORT,I18NCode for Evolution Report,Evolution Report,Evolutie,Yes
I18N_EVOLUTIONS,I18NCode for Evolution page title,Evolutions,Evoluties,Yes
I18N_EXCLUDED,I18NCode for Excluded,Excluded,Uitgesloten,Yes
I18N_EXECUTIVE_DIRECTOR,I18NCode for Executive Director,Executive Director,Uitvoerend directeur,Yes
I18N_EXISTING_REPORTS,I18NCode for Existing Reports,Existing Reports,Bestaande rapporten,Yes
I18N_EXIT,I18NCode for Exit,Exit,Uitgang,Yes
I18N_EXPIRED,I18NCode for Expired Tasks,Expired,Verlopen,Yes
I18N_EXPORT,I18NCode for Export,Export,Exporteren,Yes
I18N_EXPORT_COPY,I18NCode user for copy  on export dropdown,Copy to clipboard,Kopiëren naar klembord,Yes
I18N_EXPORT_CSV,I18NCode user for export as csv on dropdown,Export as CSV,Exporteren als CSV,Yes
I18N_EXPORT_EVOLUTION_PDF,I18NCode for Export Evolution Pdf Button,Export Evolution PDF,Evolutie PDF exporteren,Yes
I18N_EXPORT_EXCEL,I18NCode user for export as excel on dropdown,Export as Excel,Exporteren als Excel,Yes
I18N_EXPORT_GENERAL_REPORT,I18NCode for Export General Report in Notable Networkers Page,Export General Report,Algemeen rapport exporteren,Yes
I18N_EXPORT_PDF,I18NCode user for export as pdf on dropdown,Export as PDF,Exporteren als PDF,Yes
I18N_EXPORT_REPORT,I18NCode for label on export dropdown,Export Report,Rapport exporteren,Yes
I18N_EXPORT_TRANSLATIONS,I18NCode for Export Translations,Export Translations,Vertalingen exporteren,Yes
I18N_EXTERNAL,I18NCode for External,External,Extern,Yes
I18N_FAILED_TO_CREATE_ACCOUNT,I18NCode for Failed To Create Account,Failed to create account,Kan account niet aanmaken,Yes
I18N_FAILED_TO_RESET_PASSWORD,I18NCode for Failed to reset Password,Failed to reset Password,Kan het wachtwoord niet opnieuw instellen,Yes
I18N_FAILED_TO_SEND_EMAIL,I18NCode for Failed To Send Email,Failed to send email,Kan geen e-mail verzenden,Yes
I18N_FALLING_MEMBERS,I18NCode for Falling members,Falling,Vallen,Yes
I18N_FAQ_1,I18NCode for Faq 1,"Chapter President shows as ""N/A"", why?","Chapter President wordt weergegeven als ""N.v.t."", waarom?",Yes
I18N_FAQ_1_ANSWER,I18NCode for Faq 1 Answer,"When Chapter Leadership name shows as ""N/A"" it means that his/her email was changed. Need to update his/her email on reporting2you","Wanneer de naam van het Chapter Leadership wordt weergegeven als ""N/A"", betekent dit dat zijn/haar e-mailadres is gewijzigd.",Yes
I18N_FAQ_2,I18NCode for Faq 2,Where can I find Chapter Reports?,"Wanneer de naam van het Chapter Leadership wordt weergegeven als ""N/A"", betekent dit dat zijn/haar e-mailadres is gewijzigd.",Yes
I18N_FAQ_2_ANSWER,I18NCode for Faq 2 Answer,"Go to Reports Menu click the plus sign (""+"") to open Chapters tree and then click on the chapters name, you will get the list of reports from current month to that chapter.<br/> If you want to get a previous report you should click the ""History"" item in the Chapters list and you will be able to get reports from the past 12 month.",Waar kan ik hoofdstukrapporten vinden?,Yes
I18N_FAQS,I18NCode for Faqs,Faqs,Veelgestelde vragen,Yes
I18N_FAST__EFFICIENT_AND_PRODUCTIVE,"I18NCode for Fast, Efficient and Productive
","Fast, Efficient and Productive","Snel, efficiënt en productief",Yes
I18N_FEBRUARY,I18NCode for February,February,Februari,Yes
I18N_FEE,I18NCode for Fee,Fee,Tarief,Yes
I18N_FILES,I18NCode for Files,Files,Bestanden,Yes
I18N_FILL,I18NCode for Fill,Fill,Vullen,Yes
I18N_FILL_CHAPTERS,I18NCode for Fill Chapters,Fill Chapters,Vul hoofdstukken in,Yes
I18N_FILTER,I18NCode for Filter,Filter,Filter,Yes
I18N_FILTER_OPTIONS,I18NCode for Filter Options,Filter options,Filteropties,Yes
I18N_FIRST,I18NCode for First,First,Eerst,Yes
I18N_FIRST_MEMBERS_IN_TRAFFIC_LIGHTS,I18NCode for First Members in Traffic Lights,First Members in Traffic Lights,Eerst,Yes
I18N_FIRST_NAME,I18NCode for First Name label,First Name,Voornaam,Yes
I18N_FIRST_YEAR_RETAIN,I18NCode for First Year Retain,First Year,Eerste jaar,Yes
I18N_FIRST_YEAR_RETENTION,I18NCode for First Year Retention,First Year Retention,Retentie van het eerste jaar,Yes
I18N_FLAG,I18NCode for the flag,Flag,Vlag,Yes
I18N_FOLLOW_UP,I18NCode for Follow Up Page in Tasks Menu,Follow Up,Vervolg,Yes
I18N_FOR,"i18NCode for ""For""",for,voor,Yes
I18N_FOR_SUBSTITUTION,"I18NCode for ""For Substitution""",For Substitution,Voor vervanging,Yes
I18N_FORGOT_PASSWORD_,I18NCode for Forgot Password?,Forgot Password?,Wachtwoord vergeten?,Yes
I18N_FORMATION,I18NCode for Formation,Formation,Vorming,Yes
I18N_FORMATIONS,I18NCode for Formations,Formations,Formaties,Yes
I18N_FORMATS,I18NCode for Formats,Formats,Formaten,Yes
I18N_FRANCHISE,I18NCode for Franchise,Franchise,Franchise,Yes
I18N_FROM,I18Code for From,From,Van,Yes
I18N_FUNCTIONAL_COOKIES,"I18NCode for Functional cookies
",Functional cookies,Functionele cookies,Yes
I18N_FUTURE_RENEWALS,I18NCode for Future Renewals,Future Renewals,Toekomstige verlengingen,Yes
I18N_GAME_RESULT,I18NCode for Game Result,Game result for,Spelresultaat voor,Yes
I18N_GAMES,I18NCode for Games,Games,Spellen,Yes
I18N_GENERATE,I18NCode for Generate,Generate,Genereer,Yes
I18N_GENERATE_TEAMS,I18NCode for Generate Teams,Automatically generate teams,Genereer,Yes
I18N_GET_DEFAULT,I18NCode for Get Default,Get Default,Standaard krijgen,Yes
I18N_GIVE_NO_REFERRALS_ON_LAST,I18NCode for Give No Referrals On Last,Give No Referrals On Last,Geef geen verwijzingen op het laatst,Yes
I18N_GIVEN_BUSINESS,I18NCode for Given Business Chart,Given Business,Gezien zaken,Yes
I18N_GIVEN_REFERRALS,I18NCode for Given Referrals Chart,Given Referrals,Gegeven verwijzingen,Yes
I18N_GOAL,I18NCode for Goal,Goal,Doel,Yes
I18N_GOAL_ABREV,I18NCode for Goal,Goal,Doel,Yes
I18N_GOAL_ABSENTISM_TOOLTIP,I18NCode for Goal Absentism Tooltip,Expected absence at the end of the period (ex: 2.5),"Verwacht verzuim aan het einde van de periode (bijvoorbeeld: 2,5)",Yes
I18N_GOAL_CEU_TOOLTIP,I18Ncode for Goal Ceu Tooltip,Chapter Education Units/member/week,Hoofdstuk Onderwijseenheden/lid/week,Yes
I18N_GOAL_CONVERSIONTOOLTIP,I18NCode for Goal ConversionTooltip,Average Conversion (ex: 17.5),"Gemiddelde conversie (bijvoorbeeld: 17,5)",Yes
I18N_GOAL_ENTRIES_TOOLTIP,I18NCode for Goal Entries Tooltip,Number of expected new members in the period for all the context,"Gemiddelde conversie (bijvoorbeeld: 17,5)",Yes
